geo_level,geo_code,geoid,name,total,Both parents,Both parents-Female,Both parents-Male,Father only,Father only-Female,Father only-Male,Mother only,Mother only-Female,Mother only-Male,Neither parent,Neither parent-Female,Neither parent-Male
municipality,KZN213,municipality-KZN213,Umzumbe,19712,3164,1516,1648,726,329,397,6776,3404,3372,9046,4421,4625
municipality,KZN214,municipality-KZN214,UMuziwabantu,12464,1872,883,989,404,164,240,4488,2209,2279,5700,2936,2764
municipality,KZN215,municipality-KZN215,Ezingoleni,6526,1068,495,573,231,98,133,2505,1255,1250,2722,1343,1379
municipality,KZN221,municipality-KZN221,uMshwathi,12122,1582,742,840,396,159,237,3994,2072,1922,6150,3112,3038
municipality,KZN222,municipality-KZN222,uMngeni,7463,1433,734,699,314,134,180,2658,1371,1287,3058,1570,1488
municipality,KZN223,municipality-KZN223,Mpofana,3518,615,318,297,141,61,80,1249,578,671,1513,766,747
municipality,KZN224,municipality-KZN224,Impendle,4013,304,147,157,145,83,62,1130,580,550,2434,1161,1273
municipality,KZN225,municipality-KZN225,The Msunduzi,60738,12801,6364,6437,2638,1183,1455,20172,10300,9872,25127,12876,12251
municipality,KZN226,municipality-KZN226,Mkhambathini,6482,1237,600,637,259,120,139,2303,1172,1131,2683,1308,1375
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,24651,3990,1990,2000,1001,455,546,8808,4559,4249,10852,5420,5432
municipality,KZN233,municipality-KZN233,Indaka,13432,1753,885,868,354,145,209,5036,2533,2503,6289,3222,3067
municipality,KZN234,municipality-KZN234,Umtshezi,8681,1872,938,934,300,149,151,3224,1684,1540,3285,1663,1622
municipality,KZN235,municipality-KZN235,Okhahlamba,15630,2146,1035,1111,447,205,242,5538,2748,2790,7499,3665,3834
municipality,KZN236,municipality-KZN236,Imbabazane,13670,2290,1183,1107,480,211,269,4613,2378,2235,6287,3088,3199
municipality,KZN242,municipality-KZN242,Nqutu,21217,2843,1422,1421,703,312,391,7600,3776,3824,10071,4924,5147
municipality,KZN244,municipality-KZN244,Msinga,23217,2995,1512,1483,666,297,369,9795,4958,4837,9761,5072,4689
municipality,KZN245,municipality-KZN245,Umvoti,11954,1643,819,824,461,222,239,4424,2275,2149,5426,2800,2626
municipality,KZN252,municipality-KZN252,Newcastle,39864,6622,3245,3377,1631,758,873,13718,6965,6753,17893,8927,8966
municipality,KZN254,municipality-KZN254,Dannhauser,12482,1763,874,889,415,183,232,4109,2120,1989,6195,2928,3267
municipality,KZN261,municipality-KZN261,eDumbe,9633,1225,571,654,351,165,186,3247,1665,1582,4810,2295,2515
municipality,KZN262,municipality-KZN262,UPhongolo,15608,1835,918,917,499,226,273,5243,2711,2532,8031,3916,4115
municipality,KZN263,municipality-KZN263,Abaqulusi,24044,2992,1466,1526,795,343,452,7824,3902,3922,12433,6055,6378
municipality,KZN265,municipality-KZN265,Nongoma,25641,3202,1580,1622,870,391,479,8749,4384,4365,12820,6239,6581
municipality,KZN266,municipality-KZN266,Ulundi,23059,3106,1536,1570,904,452,452,8113,4069,4044,10936,5439,5497
municipality,KZN272,municipality-KZN272,Jozini,24079,3502,1675,1827,1011,474,537,8783,4432,4351,10783,5502,5281
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,4213,436,193,243,140,46,94,1426,701,725,2211,1110,1101
municipality,KZN274,municipality-KZN274,Hlabisa,9495,1125,540,585,329,144,185,3394,1695,1699,4647,2247,2400
municipality,KZN275,municipality-KZN275,Mtubatuba,21034,2666,1303,1363,753,345,408,7394,3708,3686,10221,5208,5013
municipality,KZN281,municipality-KZN281,Mfolozi,14056,2289,1135,1154,693,292,401,4709,2359,2350,6365,3141,3224
municipality,KZN283,municipality-KZN283,Ntambanana,9684,1313,596,717,349,152,197,3567,1754,1813,4455,2229,2226
municipality,KZN284,municipality-KZN284,uMlalazi,26022,3043,1521,1522,930,454,476,9074,4609,4465,12975,6361,6614
municipality,KZN285,municipality-KZN285,Mthonjaneni,5390,584,280,304,205,89,116,1910,980,930,2691,1334,1357
municipality,KZN286,municipality-KZN286,Nkandla,14972,1692,847,845,467,196,271,5264,2686,2578,7549,3793,3756
municipality,KZN291,municipality-KZN291,Mandeni,15078,2489,1256,1233,718,323,395,5121,2595,2526,6750,3338,3412
municipality,KZN293,municipality-KZN293,Ndwedwe,17340,2549,1290,1259,748,358,390,5896,2972,2924,8147,3976,4171
municipality,KZN294,municipality-KZN294,Maphumulo,12945,1450,700,750,444,186,258,4592,2307,2285,6459,3321,3138
municipality,KZN431,municipality-KZN431,Ingwe,12221,1657,812,845,335,155,180,4386,2117,2269,5843,2887,2956
municipality,KZN432,municipality-KZN432,Kwa Sani,964,103,51,52,19,6,13,318,156,162,524,233,291
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,12209,1650,765,885,355,160,195,4505,2292,2213,5699,2817,2882
municipality,KZN435,municipality-KZN435,Umzimkhulu,23989,2747,1304,1443,692,298,394,8269,4099,4170,12281,6380,5901
municipality,LIM331,municipality-LIM331,Greater Giyani,32498,6207,2938,3269,874,389,485,12851,6278,6573,12566,6461,6105
municipality,LIM332,municipality-LIM332,Greater Letaba,28322,4263,2116,2147,710,310,400,11104,5538,5566,12245,5859,6386
municipality,LIM333,municipality-LIM333,Greater Tzaneen,43232,9166,4513,4653,1267,597,670,16554,8425,8129,16245,8048,8197
municipality,LIM335,municipality-LIM335,Maruleng,11343,2106,1055,1051,315,143,172,4828,2423,2405,4094,1981,2113
municipality,LIM341,municipality-LIM341,Musina,5017,855,458,397,147,69,78,1549,801,748,2466,1275,1191
