geo_level,geo_code,geoid,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male
municipality,EC131,municipality-EC131,Inxuba Yethemba,10739,9354,4613,4741,1385,752,633
municipality,EC132,municipality-EC132,Tsolwana,6155,4968,2372,2596,1187,650,537
municipality,EC133,municipality-EC133,Inkwanca,3994,3211,1533,1678,783,429,354
municipality,EC134,municipality-EC134,Lukanji,35292,29379,14358,15021,5913,3141,2772
municipality,EC136,municipality-EC136,Emalahleni,21656,15165,6828,8337,6491,3347,3144
municipality,EC137,municipality-EC137,Engcobo,28024,12781,6096,6685,15243,7828,7415
municipality,EC138,municipality-EC138,Sakhisizwe,11778,8213,3796,4417,3565,1805,1760
municipality,EC141,municipality-EC141,Elundini,26807,19108,8659,10449,7699,4035,3664
municipality,EC142,municipality-EC142,Senqu,26823,19246,9161,10085,7577,4139,3438
municipality,EC143,municipality-EC143,Maletswai,7640,6213,3122,3091,1427,818,609
municipality,EC153,municipality-EC153,Ngquza Hill,56457,43141,20833,22308,13316,7299,6017
municipality,EC154,municipality-EC154,Port St Johns,32090,24506,12073,12433,7584,4142,3442
municipality,EC155,municipality-EC155,Nyandeni,63438,37864,18160,19704,25574,13478,12096
municipality,EC156,municipality-EC156,Mhlontlo,38870,28774,13449,15325,10096,5315,4781
municipality,EC441,municipality-EC441,Matatiele,36505,25859,12147,13712,10646,5683,4963
municipality,EC442,municipality-EC442,Umzimvubu,36722,29930,14396,15534,6792,3839,2953
municipality,EC443,municipality-EC443,Mbizana,51518,31943,15874,16069,19575,10487,9088
municipality,EC444,municipality-EC444,Ntabankulu,24132,15998,7922,8076,8134,4327,3807
municipality,FS161,municipality-FS161,Letsemeng,6670,6035,3006,3029,635,312,323
municipality,FS162,municipality-FS162,Kopanong,8205,7237,3597,3640,968,542,426
municipality,FS163,municipality-FS163,Mohokare,6348,5256,2587,2669,1092,631,461
municipality,FS181,municipality-FS181,Masilonyana,10464,8817,4442,4375,1647,947,700
municipality,FS182,municipality-FS182,Tokologo,4882,4115,2058,2057,767,425,342
municipality,FS183,municipality-FS183,Tswelopele,8490,7166,3587,3579,1324,736,588
municipality,FS184,municipality-FS184,Matjhabeng,73518,65703,33015,32688,7815,4305,3510
municipality,FS185,municipality-FS185,Nala,14629,13509,6912,6597,1120,617,503
municipality,FS192,municipality-FS192,Dihlabeng,21943,18099,9139,8960,3844,2158,1686
municipality,FS193,municipality-FS193,Nketoana,11264,9320,4612,4708,1944,1079,865
municipality,FS194,municipality-FS194,Maluti a Phofung,72288,66971,33877,33094,5317,3042,2275
municipality,FS195,municipality-FS195,Phumelela,8776,7918,3959,3959,858,494,364
municipality,FS201,municipality-FS201,Moqhaka,26041,24136,12058,12078,1905,1068,837
municipality,FS203,municipality-FS203,Ngwathe,20832,19396,9777,9619,1436,795,641
municipality,FS204,municipality-FS204,Metsimaholo,25478,24075,11796,12279,1403,781,622
municipality,FS205,municipality-FS205,Mafube,10525,9674,4889,4785,851,486,365
municipality,GT421,municipality-GT421,Emfuleni,131722,117475,58558,58917,14247,7863,6384
municipality,GT423,municipality-GT423,Lesedi,16574,15457,7611,7846,1117,635,482
municipality,GT481,municipality-GT481,Mogale City,57255,48323,23384,24939,8932,4929,4003
municipality,GT482,municipality-GT482,Randfontein,23596,19881,9786,10095,3715,2013,1702
municipality,GT483,municipality-GT483,Westonaria,19145,13801,6452,7349,5344,2971,2373
municipality,KZN211,municipality-KZN211,Vulamehlo,15763,11540,5690,5850,4223,2282,1941
municipality,KZN212,municipality-KZN212,Umdoni,14402,11623,5745,5878,2779,1543,1236
municipality,KZN213,municipality-KZN213,Umzumbe,33195,23859,11553,12306,9336,4911,4425
municipality,KZN214,municipality-KZN214,UMuziwabantu,20193,16236,8082,8154,3957,2148,1809
municipality,KZN215,municipality-KZN215,Ezingoleni,10732,6898,3301,3597,3834,2048,1786
municipality,KZN221,municipality-KZN221,uMshwathi,21916,18151,9036,9115,3765,2059,1706
municipality,KZN222,municipality-KZN222,uMngeni,14803,12540,6197,6343,2263,1258,1005
municipality,KZN223,municipality-KZN223,Mpofana,7026,5769,2790,2979,1257,700,557
municipality,KZN224,municipality-KZN224,Impendle,6785,6369,3123,3246,416,241,175
municipality,KZN225,municipality-KZN225,The Msunduzi,120545,104981,52536,52445,15564,8816,6748
municipality,KZN226,municipality-KZN226,Mkhambathini,12010,9521,4629,4892,2489,1377,1112
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,45402,37615,19048,18567,7787,4373,3414
municipality,KZN233,municipality-KZN233,Indaka,21800,14249,7369,6880,7551,4194,3357
