geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male
municipality,FS183,municipality-FS183,Tswelopele,1358,38,13,25,920,279,641,176,39,137,224,52,172
municipality,FS184,municipality-FS184,Matjhabeng,10445,305,98,207,7755,3177,4578,1318,428,890,1067,346,721
municipality,FS185,municipality-FS185,Nala,1927,57,18,39,1236,454,782,424,98,326,210,53,157
municipality,FS192,municipality-FS192,Dihlabeng,3730,81,26,55,2785,1043,1742,451,166,285,413,142,271
municipality,FS193,municipality-FS193,Nketoana,1666,20,2,18,1192,356,836,299,92,207,155,53,102
municipality,FS194,municipality-FS194,Maluti a Phofung,6033,209,82,127,4026,1844,2182,1185,426,759,613,225,388
municipality,FS195,municipality-FS195,Phumelela,1523,40,14,26,1168,287,881,210,42,168,105,39,66
municipality,FS201,municipality-FS201,Moqhaka,3936,86,32,54,2503,922,1581,824,192,632,523,151,372
municipality,FS203,municipality-FS203,Ngwathe,3154,79,34,45,2137,891,1246,624,161,463,314,94,220
municipality,FS204,municipality-FS204,Metsimaholo,5106,160,55,105,3966,1355,2611,493,147,346,487,171,316
municipality,FS205,municipality-FS205,Mafube,1396,53,12,41,823,258,565,349,68,281,171,41,130
municipality,GT421,municipality-GT421,Emfuleni,22778,541,205,336,17703,7485,10218,2403,841,1562,2131,817,1314
municipality,GT423,municipality-GT423,Lesedi,4021,176,65,111,2933,1085,1848,513,147,366,399,119,280
municipality,GT481,municipality-GT481,Mogale City,15985,518,199,319,11571,4855,6716,1886,676,1210,2010,758,1252
municipality,GT482,municipality-GT482,Randfontein,6063,196,75,121,4689,1942,2747,623,205,418,555,186,369
municipality,GT483,municipality-GT483,Westonaria,4609,112,28,84,3472,1114,2358,621,150,471,404,108,296
municipality,KZN211,municipality-KZN211,Vulamehlo,885,16,10,6,619,306,313,167,45,122,83,34,49
municipality,KZN212,municipality-KZN212,Umdoni,2296,65,28,37,1660,760,900,369,137,232,202,88,114
municipality,KZN213,municipality-KZN213,Umzumbe,1686,18,6,12,1150,574,576,371,156,215,147,77,70
municipality,KZN214,municipality-KZN214,UMuziwabantu,1752,39,12,27,1306,585,721,302,96,206,105,38,67
municipality,KZN215,municipality-KZN215,Ezingoleni,784,23,10,13,529,245,284,124,51,73,108,52,56
municipality,KZN221,municipality-KZN221,uMshwathi,3798,233,105,128,2460,1196,1264,796,326,470,309,137,172
municipality,KZN222,municipality-KZN222,uMngeni,4213,138,51,87,3219,1447,1772,486,197,289,370,170,200
municipality,KZN223,municipality-KZN223,Mpofana,1683,89,43,46,1067,485,582,411,139,272,116,36,80
municipality,KZN224,municipality-KZN224,Impendle,342,21,5,16,258,115,143,46,19,27,17,8,9
municipality,KZN225,municipality-KZN225,The Msunduzi,18982,524,223,301,14390,6807,7583,2308,921,1387,1760,902,858
municipality,KZN226,municipality-KZN226,Mkhambathini,2190,91,31,60,1452,630,822,472,206,266,175,72,103
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,5979,135,51,84,4575,2111,2464,844,350,494,425,196,229
municipality,KZN233,municipality-KZN233,Indaka,700,7,1,6,591,328,263,81,36,45,21,9,12
municipality,KZN234,municipality-KZN234,Umtshezi,1620,59,27,32,1216,543,673,256,103,153,89,38,51
municipality,KZN235,municipality-KZN235,Okhahlamba,1909,48,23,25,1323,585,738,394,131,263,144,37,107
municipality,KZN236,municipality-KZN236,Imbabazane,1611,52,17,35,1285,591,694,192,74,118,82,35,47
municipality,KZN242,municipality-KZN242,Nqutu,1789,19,6,13,1227,630,597,214,86,128,329,201,128
municipality,KZN244,municipality-KZN244,Msinga,1389,11,6,5,1165,659,506,152,81,71,61,28,33
municipality,KZN245,municipality-KZN245,Umvoti,2779,96,52,44,1636,843,793,815,414,401,232,118,114
municipality,KZN252,municipality-KZN252,Newcastle,7587,289,111,178,5633,2549,3084,1103,452,651,562,241,321
municipality,KZN254,municipality-KZN254,Dannhauser,1542,59,28,31,961,442,519,336,125,211,186,37,149
municipality,KZN261,municipality-KZN261,eDumbe,1698,46,18,28,1038,452,586,491,126,365,123,41,82
municipality,KZN262,municipality-KZN262,UPhongolo,3097,251,116,135,1835,818,1017,772,311,461,239,119,120
municipality,KZN263,municipality-KZN263,Abaqulusi,3863,78,38,40,2942,1358,1584,578,189,389,265,135,130
municipality,KZN265,municipality-KZN265,Nongoma,2204,19,11,8,1831,1018,813,241,105,136,113,75,38
municipality,KZN266,municipality-KZN266,Ulundi,2032,25,10,15,1574,832,742,257,122,135,176,98,78
municipality,KZN272,municipality-KZN272,Jozini,2672,58,25,33,2103,1124,979,332,161,171,179,81,98
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,897,34,16,18,595,298,297,129,60,69,139,71,68
municipality,KZN274,municipality-KZN274,Hlabisa,895,21,9,12,706,383,323,110,50,60,58,25,33
municipality,KZN275,municipality-KZN275,Mtubatuba,3531,181,73,108,2331,1201,1130,632,278,354,387,225,162
municipality,KZN281,municipality-KZN281,Mfolozi,2325,51,22,29,1745,735,1010,413,147,266,116,56,60
municipality,KZN283,municipality-KZN283,Ntambanana,1054,21,11,10,857,433,424,134,48,86,42,18,24
municipality,KZN284,municipality-KZN284,uMlalazi,3844,207,76,131,2764,1332,1432,531,233,298,342,158,184
municipality,KZN285,municipality-KZN285,Mthonjaneni,1361,64,38,26,1091,549,542,134,56,78,72,37,35
municipality,KZN286,municipality-KZN286,Nkandla,1077,23,11,12,918,498,420,111,54,57,25,15,10
municipality,KZN291,municipality-KZN291,Mandeni,4864,88,40,48,3881,1785,2096,634,288,346,261,137,124
municipality,KZN293,municipality-KZN293,Ndwedwe,1802,35,10,25,1145,562,583,534,175,359,88,45,43
municipality,KZN294,municipality-KZN294,Maphumulo,1113,6,2,4,955,493,462,122,59,63,30,22,8
municipality,KZN431,municipality-KZN431,Ingwe,1567,95,29,66,979,434,545,356,114,242,137,45,92
municipality,KZN432,municipality-KZN432,Kwa Sani,902,116,26,90,570,226,344,132,38,94,84,34,50
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,1886,67,17,50,1404,619,785,323,119,204,92,39,53
municipality,KZN435,municipality-KZN435,Umzimkhulu,2161,50,25,25,1655,847,808,302,112,190,154,77,77
municipality,LIM331,municipality-LIM331,Greater Giyani,2665,44,26,18,1942,944,998,416,141,275,263,91,172
municipality,LIM332,municipality-LIM332,Greater Letaba,4015,116,30,86,2372,856,1516,1185,350,835,342,84,258
municipality,LIM333,municipality-LIM333,Greater Tzaneen,7792,208,81,127,4879,1934,2945,1550,452,1098,1155,322,833
municipality,LIM335,municipality-LIM335,Maruleng,1529,38,8,30,930,410,520,362,119,243,199,49,150
municipality,LIM341,municipality-LIM341,Musina,4961,157,67,90,2874,1152,1722,1340,459,881,590,233,357
municipality,LIM342,municipality-LIM342,Mutale,965,5,2,3,589,234,355,193,49,144,178,22,156
municipality,LIM343,municipality-LIM343,Thulamela,7159,93,23,70,3958,1725,2233,1935,459,1476,1173,284,889
municipality,LIM344,municipality-LIM344,Makhado,8197,158,59,99,4665,1971,2694,1985,516,1469,1389,374,1015
municipality,LIM351,municipality-LIM351,Blouberg,2398,37,14,23,1142,473,669,732,249,483,487,145,342
municipality,LIM353,municipality-LIM353,Molemole,1943,23,6,17,990,403,587,444,142,302,486,129,357
municipality,LIM354,municipality-LIM354,Polokwane,17100,411,129,282,11988,4982,7006,2498,770,1728,2203,794,1409
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,2491,40,17,23,1675,728,947,499,154,345,277,120,157
municipality,LIM361,municipality-LIM361,Thabazimbi,4488,166,39,127,3105,934,2171,630,168,462,587,146,441
municipality,LIM362,municipality-LIM362,Lephalale,5736,105,36,69,3894,1189,2705,881,258,623,856,291,565
municipality,LIM365,municipality-LIM365,Modimolle,2867,91,29,62,1989,744,1245,463,130,333,324,100,224
municipality,LIM366,municipality-LIM366,Bela-Bela,2632,108,43,65,1590,617,973,544,166,378,390,102,288
municipality,BUF,municipality-BUF,Buffalo City,18708,471,214,257,13706,6692,7014,2462,1079,1383,2069,1048,1021
municipality,EC101,municipality-EC101,Camdeboo,1755,62,14,48,1159,446,713,407,99,308,127,77,50
municipality,EC105,municipality-EC105,Ndlambe,1698,56,17,39,1161,506,655,269,101,168,212,94,118
municipality,EC122,municipality-EC122,Mnquma,2706,33,12,21,1758,839,919,532,216,316,383,182,201
municipality,EC128,municipality-EC128,Nxuba,508,1,0,1,307,115,192,126,26,100,74,14,60
municipality,EC135,municipality-EC135,Intsika Yethu,1494,47,17,30,922,378,544,320,117,203,205,99,106
municipality,EC144,municipality-EC144,Gariep,1244,16,6,10,702,260,442,313,93,220,213,44,169
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,8135,148,69,79,5417,2759,2658,1359,642,717,1211,758,453
municipality,NMA,municipality-NMA,Nelson Mandela Bay,30783,909,380,529,24428,11366,13062,3031,1171,1860,2415,1072,1343
municipality,FS164,municipality-FS164,Naledi,608,6,2,4,345,174,171,114,32,82,143,38,105
municipality,FS191,municipality-FS191,Setsoto,2447,88,30,58,1564,593,971,370,100,270,425,152,273
municipality,FS196,municipality-FS196,Mantsopa,1533,55,21,34,959,353,606,324,112,212,195,65,130
municipality,MAN,municipality-MAN,Mangaung,25022,839,340,499,17092,7455,9637,3648,1308,2340,3443,1304,2139
municipality,EKU,municipality-EKU,Ekurhuleni,134583,4019,1536,2483,106734,44122,62612,12625,4074,8551,11205,4536,6669
municipality,GT422,municipality-GT422,Midvaal,4866,197,78,119,3383,1356,2027,500,170,330,786,218,568
municipality,GT484,municipality-GT484,Merafong City,7062,135,38,97,5509,1956,3553,804,216,588,614,203,411
municipality,JHB,municipality-JHB,City of Johannesburg,209263,5582,2151,3431,164014,73876,90138,18599,6570,12029,21068,9450,11618
municipality,TSH,municipality-TSH,City of Tshwane,124168,3683,1532,2151,93810,42591,51219,13630,4909,8721,13045,5703,7342
municipality,ETH,municipality-ETH,eThekwini,139920,3894,1533,2361,113882,51726,62156,12146,4667,7479,9998,4881,5117
municipality,KZN216,municipality-KZN216,Hibiscus Coast,8279,173,79,94,5980,2819,3161,1330,558,772,796,416,380
municipality,KZN227,municipality-KZN227,Richmond,2222,90,36,54,1402,616,786,580,179,401,150,52,98
municipality,KZN241,municipality-KZN241,Endumeni,2074,38,11,27,1577,630,947,228,63,165,231,94,137
municipality,KZN253,municipality-KZN253,Emadlangeni,810,8,2,6,436,217,219,309,74,235,57,8,49
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,1702,43,23,20,1272,677,595,270,120,150,117,54,63
municipality,KZN282,municipality-KZN282,uMhlathuze,11114,224,94,130,8613,3929,4684,1357,534,823,920,524,396
municipality,KZN292,municipality-KZN292,KwaDukuza,11322,217,83,134,7589,3143,4446,2552,877,1675,964,447,517
municipality,KZN433,municipality-KZN433,Greater Kokstad,2784,41,11,30,1927,846,1081,466,186,280,350,148,202
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,3074,75,23,52,2270,912,1358,388,114,274,341,122,219
municipality,LIM352,municipality-LIM352,Aganang,1101,30,8,22,685,314,371,231,67,164,155,50,105
municipality,LIM364,municipality-LIM364,Mookgopong,2009,77,27,50,889,345,544,601,196,405,442,124,318
municipality,LIM367,municipality-LIM367,Mogalakwena,4946,86,19,67,3473,1435,2038,861,236,625,526,186,340
municipality,LIM471,municipality-LIM471,Ephraim Mogale,2879,69,27,42,1922,733,1189,493,146,347,395,124,271
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,4235,104,37,67,2768,1138,1630,857,283,574,506,166,340
municipality,LIM473,municipality-LIM473,Makhuduthamaga,1984,43,15,28,1362,651,711,425,107,318,154,54,100
municipality,LIM474,municipality-LIM474,Fetakgomo,746,8,0,8,524,219,305,156,37,119,58,19,39
municipality,LIM475,municipality-LIM475,Greater Tubatse,5414,130,43,87,3772,1388,2384,1032,278,754,480,145,335
municipality,MP301,municipality-MP301,Albert Luthuli,4141,145,41,104,2816,1197,1619,879,305,574,301,115,186
municipality,MP302,municipality-MP302,Msukaligwa,6126,152,45,107,4258,1666,2592,1173,339,834,543,171,372
municipality,MP304,municipality-MP304,Pixley Ka Seme,1801,21,9,12,1294,521,773,332,62,270,154,55,99
municipality,MP305,municipality-MP305,Lekwa,4358,115,36,79,3098,1144,1954,823,160,663,322,120,202
municipality,MP306,municipality-MP306,Dipaleseng,1365,13,5,8,1071,325,746,157,34,123,124,40,84
municipality,MP307,municipality-MP307,Govan Mbeki,13214,405,139,266,10367,3676,6691,1265,351,914,1177,380,797
municipality,MP312,municipality-MP312,Emalahleni,17431,430,122,308,13428,4852,8576,2030,517,1513,1543,468,1075
municipality,MP313,municipality-MP313,Steve Tshwete,11390,368,113,255,8365,3030,5335,1460,382,1078,1197,416,781
municipality,MP314,municipality-MP314,Emakhazeni,1831,39,18,21,1096,376,720,423,120,303,273,78,195
municipality,MP315,municipality-MP315,Thembisile,6235,145,43,102,3642,1602,2040,1594,517,1077,854,322,532
municipality,MP316,municipality-MP316,Dr JS Moroka,2946,60,13,47,1728,762,966,779,239,540,379,108,271
municipality,MP321,municipality-MP321,Thaba Chweu,4823,199,66,133,3282,1288,1994,714,190,524,628,181,447
municipality,MP323,municipality-MP323,Umjindi,2576,60,23,37,1611,689,922,495,158,337,410,119,291
municipality,MP324,municipality-MP324,Nkomazi,11591,279,66,213,7090,2982,4108,3273,941,2332,949,317,632
municipality,MP325,municipality-MP325,Bushbuckridge,6156,62,13,49,4089,1902,2187,1230,430,800,775,271,504
municipality,NW371,municipality-NW371,Moretele,3172,79,17,62,2072,817,1255,607,168,439,414,120,294
municipality,NW372,municipality-NW372,Madibeng,19738,581,178,403,13287,4356,8931,3221,840,2381,2649,725,1924
municipality,NW374,municipality-NW374,Kgetlengrivier,2241,74,18,56,1137,368,769,643,139,504,387,70,317
municipality,NW375,municipality-NW375,Moses Kotane,5238,67,16,51,3891,1383,2508,815,270,545,465,119,346
municipality,NW381,municipality-NW381,Ratlou,1297,39,10,29,695,262,433,261,74,187,302,61,241
municipality,NW382,municipality-NW382,Tswaing,2647,33,8,25,1525,480,1045,654,118,536,435,86,349
municipality,NW383,municipality-NW383,Mafikeng,5812,100,26,74,3700,1695,2005,1211,374,837,801,276,525
municipality,NW385,municipality-NW385,Ramotshere Moiloa,2616,59,15,44,1702,569,1133,421,88,333,434,116,318
municipality,NW392,municipality-NW392,Naledi,2306,74,22,52,1253,494,759,453,138,315,526,115,411
municipality,NW393,municipality-NW393,Mamusa,1430,51,14,37,824,317,507,312,50,262,243,67,176
municipality,NW394,municipality-NW394,Greater Taung,1790,41,7,34,1183,531,652,357,82,275,209,55,154
municipality,NW397,municipality-NW397,Kagisano/Molopo,2132,72,8,64,915,331,584,742,141,601,403,95,308
municipality,NW401,municipality-NW401,Ventersdorp,1744,47,11,36,884,273,611,578,121,457,235,58,177
municipality,NW402,municipality-NW402,Tlokwe City Council,6618,226,99,127,4296,1931,2365,1240,412,828,856,271,585
municipality,NW403,municipality-NW403,City of Matlosana,12123,290,97,193,9072,3613,5459,1516,425,1091,1245,399,846
municipality,NW404,municipality-NW404,Maquassi Hills,2098,62,15,47,1214,388,826,547,80,467,275,76,199
municipality,NC061,municipality-NC061,Richtersveld,621,17,9,8,524,225,299,72,36,36,8,2,6
municipality,NC064,municipality-NC064,Kamiesberg,265,0,0,0,215,84,131,38,12,26,12,4,8
municipality,NC065,municipality-NC065,Hantam,928,25,10,15,587,227,360,190,47,143,126,41,85
municipality,NC066,municipality-NC066,Karoo Hoogland,470,10,5,5,332,100,232,103,35,68,25,14,11
municipality,NC067,municipality-NC067,Khâi-Ma,994,5,3,2,809,337,472,130,50,80,50,21,29
municipality,NC072,municipality-NC072,Umsobomvu,841,30,14,16,568,232,336,158,43,115,85,31,54
municipality,NC073,municipality-NC073,Emthanjeni,1265,23,8,15,785,334,451,299,95,204,158,75,83
municipality,NC074,municipality-NC074,Kareeberg,407,19,7,12,266,107,159,86,16,70,36,13,23
municipality,NC075,municipality-NC075,Renosterberg,453,6,1,5,264,122,142,170,61,109,13,5,8
municipality,NC076,municipality-NC076,Thembelihle,638,34,13,21,438,160,278,130,38,92,36,18,18
municipality,NC078,municipality-NC078,Siyancuma,1166,66,10,56,665,233,432,251,58,193,184,50,134
municipality,NC081,municipality-NC081,Mier,257,0,0,0,188,79,109,56,16,40,13,6,7
municipality,NC082,municipality-NC082,Kai !Garib,8025,158,81,77,5726,2495,3231,1293,454,839,848,348,500
municipality,NC083,municipality-NC083,//Khara Hais,3459,94,39,55,2423,1033,1390,672,235,437,270,93,177
municipality,NC084,municipality-NC084,!Kheis,639,6,0,6,495,180,315,123,33,90,15,5,10
municipality,NC086,municipality-NC086,Kgatelopele,750,20,6,14,600,178,422,75,22,53,55,23,32
municipality,NC091,municipality-NC091,Sol Plaatjie,7197,117,63,54,5379,2537,2842,923,287,636,778,340,438
municipality,NC092,municipality-NC092,Dikgatlong,970,52,8,44,644,218,426,171,47,124,103,19,84
municipality,NC093,municipality-NC093,Magareng,420,11,4,7,333,127,206,43,13,30,33,10,23
municipality,NC451,municipality-NC451,Joe Morolong,980,32,12,20,610,242,368,180,41,139,158,41,117
municipality,NC452,municipality-NC452,Ga-Segonyana,2064,81,19,62,1531,557,974,212,59,153,240,83,157
municipality,NC453,municipality-NC453,Gamagara,2439,64,20,44,1983,628,1355,255,57,198,137,59,78
municipality,CPT,municipality-CPT,City of Cape Town,165247,4216,1837,2379,133883,63821,70062,16494,6532,9962,10654,4791,5863
municipality,WC011,municipality-WC011,Matzikama,3895,27,17,10,3282,1358,1924,515,179,336,71,46,25
municipality,WC013,municipality-WC013,Bergrivier,4175,62,18,44,3655,1715,1940,312,127,185,146,73,73
municipality,WC014,municipality-WC014,Saldanha Bay,5227,161,69,92,4318,2043,2275,492,185,307,256,96,160
municipality,WC015,municipality-WC015,Swartland,6765,140,55,85,5826,2475,3351,565,214,351,234,125,109
municipality,WC022,municipality-WC022,Witzenberg,9654,97,35,62,8165,3390,4775,1168,491,677,224,95,129
municipality,WC023,municipality-WC023,Drakenstein,13138,215,101,114,10628,4909,5719,1744,772,972,551,214,337
municipality,WC025,municipality-WC025,Breede Valley,9512,206,124,82,7166,3595,3571,1850,856,994,290,126,164
municipality,WC026,municipality-WC026,Langeberg,6305,92,43,49,3762,1614,2148,2226,952,1274,225,84,141
municipality,WC031,municipality-WC031,Theewaterskloof,6566,181,72,109,5075,2161,2914,1174,401,773,136,46,90
municipality,WC032,municipality-WC032,Overstrand,3589,101,43,58,2530,1253,1277,634,217,417,324,132,192
municipality,WC034,municipality-WC034,Swellendam,2032,61,13,48,1609,595,1014,278,87,191,84,42,42
municipality,WC041,municipality-WC041,Kannaland,1131,57,26,31,664,252,412,365,130,235,45,16,29
municipality,WC042,municipality-WC042,Hessequa,2472,146,49,97,1574,654,920,583,189,394,169,89,80
municipality,WC043,municipality-WC043,Mossel Bay,3555,191,86,105,2606,1234,1372,575,229,346,183,74,109
