geo_level,geo_code,geoid,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male
municipality,EC442,municipality-EC442,Umzimvubu,39521,6161,3210,2951,1223,639,584,475,229,246,343,161,182,31319,15475,15844
municipality,EC443,municipality-EC443,Mbizana,59967,7114,3559,3555,1457,769,688,689,338,351,539,291,248,50168,25808,24360
municipality,EC444,municipality-EC444,Ntabankulu,26501,2841,1498,1343,352,175,177,140,75,65,182,112,70,22986,11538,11448
municipality,FS161,municipality-FS161,Letsemeng,6727,1079,480,599,430,216,214,179,91,88,98,47,51,4941,2517,2424
municipality,FS162,municipality-FS162,Kopanong,8378,1401,686,715,826,414,412,224,111,113,108,52,56,5819,2961,2858
municipality,FS163,municipality-FS163,Mohokare,6414,1041,518,523,335,175,160,184,87,97,68,30,38,4786,2430,2356
municipality,FS181,municipality-FS181,Masilonyana,10921,1868,921,947,357,193,164,256,128,128,106,60,46,8334,4320,4014
municipality,FS182,municipality-FS182,Tokologo,4969,657,325,332,208,104,104,120,52,68,50,23,27,3934,2020,1914
municipality,FS183,municipality-FS183,Tswelopele,8850,1170,588,582,394,217,177,236,102,134,85,38,47,6965,3574,3391
municipality,FS184,municipality-FS184,Matjhabeng,75794,16596,8602,7994,5047,2595,2452,4065,1982,2083,1507,795,712,48579,24500,24079
municipality,FS185,municipality-FS185,Nala,14890,2050,1028,1022,630,314,316,424,209,215,222,92,130,11564,6022,5542
municipality,FS192,municipality-FS192,Dihlabeng,22377,4826,2486,2340,1392,764,628,1260,610,650,511,254,257,14388,7399,6989
municipality,FS193,municipality-FS193,Nketoana,11374,2213,1111,1102,557,288,269,312,146,166,152,76,76,8140,4112,4028
municipality,FS194,municipality-FS194,Maluti a Phofung,72816,15471,7989,7482,4693,2486,2207,2314,1126,1188,901,468,433,49437,25089,24348
municipality,FS195,municipality-FS195,Phumelela,8896,1395,708,687,340,172,168,245,115,130,79,43,36,6837,3468,3369
municipality,FS201,municipality-FS201,Moqhaka,26425,5289,2750,2539,1482,784,698,1324,653,671,496,243,253,17834,8889,8945
municipality,FS203,municipality-FS203,Ngwathe,21120,4216,2176,2040,1389,683,706,909,455,454,314,159,155,14292,7224,7068
municipality,FS204,municipality-FS204,Metsimaholo,26553,6584,3266,3318,3098,1545,1553,1981,928,1053,864,440,424,14026,6895,7131
municipality,FS205,municipality-FS205,Mafube,10767,2177,1147,1030,1428,730,698,362,152,210,135,74,61,6665,3383,3282
municipality,GT421,municipality-GT421,Emfuleni,137421,34790,18020,16770,18192,9238,8954,9601,4780,4821,4161,2123,2038,70677,35218,35459
municipality,GT423,municipality-GT423,Lesedi,16920,3569,1819,1750,971,479,492,1266,612,654,630,332,298,10484,5145,5339
municipality,GT481,municipality-GT481,Mogale City,60929,14274,7386,6888,5153,2630,2523,5854,2850,3004,3258,1652,1606,32390,15679,16711
municipality,GT482,municipality-GT482,Randfontein,25309,6452,3328,3124,1857,940,917,1995,1027,968,1290,653,637,13715,6602,7113
municipality,GT483,municipality-GT483,Westonaria,20075,4140,2094,2046,1354,684,670,828,393,435,470,207,263,13283,6372,6911
municipality,KZN211,municipality-KZN211,Vulamehlo,15867,2838,1406,1432,596,294,302,243,113,130,185,108,77,12005,6113,5892
municipality,KZN212,municipality-KZN212,Umdoni,14762,3192,1661,1531,1008,505,503,895,438,457,316,155,161,9351,4726,4625
municipality,KZN213,municipality-KZN213,Umzumbe,33328,4844,2482,2362,1329,679,650,399,213,186,375,170,205,26381,13006,13375
municipality,KZN214,municipality-KZN214,UMuziwabantu,20483,2807,1472,1335,859,434,425,423,195,228,218,99,119,16176,8172,8004
municipality,KZN215,municipality-KZN215,Ezingoleni,10841,1583,774,809,562,270,292,228,115,113,98,42,56,8370,4207,4163
municipality,KZN221,municipality-KZN221,uMshwathi,22044,5308,2673,2635,3702,1830,1872,428,218,210,237,123,114,12369,6308,6061
municipality,KZN222,municipality-KZN222,uMngeni,15569,3248,1631,1617,1306,658,648,1464,710,754,466,261,205,9085,4573,4512
municipality,KZN223,municipality-KZN223,Mpofana,7227,1153,549,604,349,171,178,177,89,88,143,85,58,5405,2679,2726
municipality,KZN224,municipality-KZN224,Impendle,6835,1187,567,620,198,91,107,44,24,20,69,29,40,5337,2681,2656
municipality,KZN225,municipality-KZN225,The Msunduzi,123701,26822,14089,12733,9939,5115,4824,9293,4814,4479,4156,2193,1963,73491,36758,36733
municipality,KZN226,municipality-KZN226,Mkhambathini,12597,1579,792,787,738,355,383,200,85,115,178,75,103,9902,4955,4947
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,45974,9103,4661,4442,3196,1643,1553,2077,1087,990,812,414,398,30786,15884,14902
municipality,KZN233,municipality-KZN233,Indaka,21806,3494,1835,1659,531,274,257,409,201,208,190,100,90,17182,9152,8030
municipality,KZN234,municipality-KZN234,Umtshezi,16010,3758,1959,1799,431,209,222,619,314,305,288,143,145,10914,5575,5339
municipality,KZN235,municipality-KZN235,Okhahlamba,26301,5965,3082,2883,827,415,412,357,186,171,281,155,126,18871,9580,9291
municipality,KZN236,municipality-KZN236,Imbabazane,23837,5536,2846,2690,850,417,433,590,270,320,256,141,115,16605,8430,8175
municipality,KZN242,municipality-KZN242,Nqutu,34888,5492,2871,2621,570,278,292,396,188,208,246,114,132,28184,14644,13540
municipality,KZN244,municipality-KZN244,Msinga,35970,3413,1859,1554,377,217,160,279,144,135,353,188,165,31548,17095,14453
municipality,KZN245,municipality-KZN245,Umvoti,20766,3249,1784,1465,502,260,242,586,317,269,291,148,143,16138,8537,7601
municipality,KZN252,municipality-KZN252,Newcastle,74794,16031,8128,7903,6075,3064,3011,3920,1967,1953,1133,528,605,47635,23960,23675
municipality,KZN254,municipality-KZN254,Dannhauser,21571,3483,1735,1748,1123,575,548,288,122,166,173,87,86,16504,8184,8320
municipality,KZN261,municipality-KZN261,eDumbe,16936,3632,1845,1787,829,431,398,460,230,230,155,71,84,11860,5980,5880
municipality,KZN262,municipality-KZN262,UPhongolo,27988,5300,2645,2655,755,397,358,419,199,220,291,134,157,21223,10928,10295
municipality,KZN263,municipality-KZN263,Abaqulusi,42301,9125,4627,4498,1492,720,772,1353,663,690,640,300,340,29691,14896,14795
municipality,KZN265,municipality-KZN265,Nongoma,43065,10603,5568,5035,2310,1214,1096,649,332,317,404,222,182,29099,15017,14082
municipality,KZN266,municipality-KZN266,Ulundi,39549,9034,4711,4323,1348,720,628,976,487,489,618,326,292,27573,14323,13250
municipality,KZN272,municipality-KZN272,Jozini,41376,7213,3716,3497,736,375,361,546,271,275,439,236,203,32442,16896,15546
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,7404,1441,691,750,98,49,49,209,116,93,107,47,60,5549,2896,2653
municipality,KZN274,municipality-KZN274,Hlabisa,15876,3705,1911,1794,450,224,226,207,118,89,204,109,95,11310,5789,5521
municipality,KZN275,municipality-KZN275,Mtubatuba,37034,8096,4176,3920,1214,625,589,1212,650,562,599,343,256,25913,13361,12552
municipality,KZN281,municipality-KZN281,Mfolozi,26096,6622,3381,3241,1118,578,540,528,268,260,433,210,223,17395,8762,8633
municipality,KZN283,municipality-KZN283,Ntambanana,16458,2028,1036,992,421,232,189,152,87,65,166,73,93,13691,6932,6759
municipality,KZN284,municipality-KZN284,uMlalazi,45111,9029,4658,4371,1653,845,808,1093,572,521,609,317,292,32727,16757,15970
municipality,KZN285,municipality-KZN285,Mthonjaneni,9679,1535,788,747,229,119,110,161,98,63,151,79,72,7603,3923,3680
municipality,KZN286,municipality-KZN286,Nkandla,24231,4449,2379,2070,518,259,259,320,176,144,448,233,215,18496,9613,8883
municipality,KZN291,municipality-KZN291,Mandeni,29032,6542,3345,3197,1565,821,744,979,518,461,452,197,255,19494,9782,9712
municipality,KZN293,municipality-KZN293,Ndwedwe,29474,5761,2950,2811,1329,708,621,316,176,140,340,175,165,21728,10860,10868
municipality,KZN294,municipality-KZN294,Maphumulo,20570,2824,1508,1316,815,403,412,258,127,131,270,157,113,16403,8664,7739
municipality,KZN431,municipality-KZN431,Ingwe,20829,2464,1221,1243,410,212,198,138,69,69,214,104,110,17603,8880,8723
municipality,KZN432,municipality-KZN432,Kwa Sani,2249,514,254,260,26,8,18,66,27,39,25,14,11,1618,725,893
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,20945,2719,1392,1327,581,293,288,312,175,137,275,134,141,17058,8509,8549
municipality,KZN435,municipality-KZN435,Umzimkhulu,39219,5567,2952,2615,1203,636,567,415,213,202,280,158,122,31754,16601,15153
municipality,LIM331,municipality-LIM331,Greater Giyani,57423,11273,5771,5502,3063,1560,1503,1249,619,630,577,316,261,41261,21143,20118
municipality,LIM332,municipality-LIM332,Greater Letaba,49813,10390,5184,5206,1523,777,746,813,379,434,294,156,138,36793,18175,18618
municipality,LIM333,municipality-LIM333,Greater Tzaneen,82518,15277,7682,7595,3097,1536,1561,2528,1217,1311,982,515,467,60634,30402,30232
municipality,LIM335,municipality-LIM335,Maruleng,20592,2230,1111,1119,442,210,232,309,166,143,217,104,113,17394,8770,8624
municipality,LIM341,municipality-LIM341,Musina,12848,1902,1023,879,288,142,146,598,295,303,290,143,147,9770,5125,4645
municipality,LIM342,municipality-LIM342,Mutale,20327,4126,2039,2087,456,216,240,298,144,154,181,95,86,15266,7733,7533
municipality,LIM343,municipality-LIM343,Thulamela,141364,30371,15128,15243,7411,3777,3634,3186,1528,1658,1575,766,809,98821,49919,48902
municipality,LIM344,municipality-LIM344,Makhado,109247,19865,9840,10025,4533,2315,2218,2528,1204,1324,1164,606,558,81157,40482,40675
municipality,LIM351,municipality-LIM351,Blouberg,36335,4226,2179,2047,1171,608,563,328,144,184,231,111,120,30379,15388,14991
municipality,LIM353,municipality-LIM353,Molemole,22453,3773,1883,1890,3313,1652,1661,567,256,311,239,128,111,14561,7119,7442
municipality,LIM354,municipality-LIM354,Polokwane,130895,30120,15589,14531,8734,4647,4087,7134,3504,3630,4143,2208,1935,80764,40463,40301
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47496,7918,3978,3940,2407,1212,1195,1041,503,538,536,286,250,35594,17807,17787
municipality,LIM361,municipality-LIM361,Thabazimbi,12878,2613,1249,1364,352,167,185,888,438,450,481,234,247,8544,3980,4564
municipality,LIM362,municipality-LIM362,Lephalale,22339,4449,2047,2402,793,382,411,801,367,434,639,314,325,15657,7525,8132
municipality,LIM365,municipality-LIM365,Modimolle,12348,1918,949,969,446,220,226,475,234,241,301,160,141,9208,4582,4626
municipality,LIM366,municipality-LIM366,Bela-Bela,11227,2106,1088,1018,425,206,219,525,261,264,234,130,104,7937,3879,4058
municipality,BUF,municipality-BUF,Buffalo City,135670,25283,13743,11540,7655,3944,3711,9393,4826,4567,5090,2718,2372,88249,43987,44262
municipality,EC101,municipality-EC101,Camdeboo,8264,1168,594,574,129,71,58,429,193,236,173,89,84,6365,3123,3242
municipality,EC105,municipality-EC105,Ndlambe,9509,1496,756,740,388,179,209,515,265,250,248,129,119,6862,3383,3479
municipality,EC122,municipality-EC122,Mnquma,48983,6200,3238,2962,1467,781,686,649,327,322,529,283,246,40138,19227,20911
municipality,EC128,municipality-EC128,Nxuba,3874,496,244,252,30,14,16,120,65,55,49,24,25,3179,1516,1663
municipality,EC135,municipality-EC135,Intsika Yethu,26371,2820,1368,1452,613,325,288,210,121,89,167,76,91,22561,10316,12245
municipality,EC144,municipality-EC144,Gariep,5773,717,381,336,180,83,97,239,125,114,90,50,40,4547,2145,2402
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,99544,17008,8938,8070,3564,1841,1723,2153,1123,1030,1761,922,839,75058,38404,36654
municipality,NMA,municipality-NMA,Nelson Mandela Bay,207355,35640,18651,16989,12916,6677,6239,19028,9472,9556,6713,3460,3253,133058,66271,66787
municipality,FS164,municipality-FS164,Naledi,4784,878,457,421,209,92,117,147,69,78,86,45,41,3464,1780,1684
municipality,FS191,municipality-FS191,Setsoto,21326,3549,1817,1732,1080,572,508,564,295,269,291,155,136,15842,8114,7728
municipality,FS196,municipality-FS196,Mantsopa,9639,1466,767,699,697,347,350,274,126,148,184,87,97,7018,3570,3448
