geo_level,geo_code,geoid,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male
municipality,NC081,municipality-NC081,Mier,1125,179,93,86,2,0,2,29,17,12,19,8,11,896,444,452
municipality,NC082,municipality-NC082,Kai !Garib,13969,1655,789,866,216,108,108,314,155,159,189,85,104,11595,5374,6221
municipality,NC083,municipality-NC083,//Khara Hais,16624,2530,1305,1225,399,205,194,985,505,480,516,261,255,12194,6120,6074
municipality,NC084,municipality-NC084,!Kheis,2479,532,267,265,34,20,14,52,28,24,22,10,12,1839,912,927
municipality,NC086,municipality-NC086,Kgatelopele,3313,852,427,425,101,34,67,209,101,108,80,41,39,2071,1015,1056
municipality,NC091,municipality-NC091,Sol Plaatjie,43511,9365,4847,4518,2290,1189,1101,2842,1459,1383,1439,711,728,27575,13858,13717
municipality,NC092,municipality-NC092,Dikgatlong,8145,2084,1095,989,109,48,61,252,121,131,89,45,44,5611,2805,2806
municipality,NC093,municipality-NC093,Magareng,4377,1006,495,511,63,32,31,86,46,40,60,29,31,3162,1543,1619
municipality,NC451,municipality-NC451,Joe Morolong,16140,2536,1350,1186,311,147,164,219,98,121,155,69,86,12919,6723,6196
municipality,NC452,municipality-NC452,Ga-Segonyana,17842,2737,1416,1321,292,154,138,668,329,339,391,206,185,13754,6850,6904
municipality,NC453,municipality-NC453,Gamagara,7106,1960,945,1015,136,66,70,678,332,346,367,191,176,3965,1878,2087
municipality,CPT,municipality-CPT,City of Cape Town,658984,134732,72097,62635,62124,32576,29548,93499,46922,46577,29121,15169,13952,339508,171239,168269
municipality,WC011,municipality-WC011,Matzikama,11311,1552,792,760,247,142,105,739,386,353,313,146,167,8460,4198,4262
municipality,WC013,municipality-WC013,Bergrivier,9483,1181,624,557,121,55,66,601,306,295,226,105,121,7354,3750,3604
municipality,WC014,municipality-WC014,Saldanha Bay,17031,3140,1569,1571,668,334,334,1521,728,793,478,241,237,11224,5602,5622
municipality,WC015,municipality-WC015,Swartland,17981,2411,1294,1117,534,278,256,1320,632,688,554,301,253,13162,6583,6579
municipality,WC022,municipality-WC022,Witzenberg,21326,3234,1645,1589,303,167,136,803,386,417,594,279,315,16392,7822,8570
municipality,WC023,municipality-WC023,Drakenstein,44783,9474,4968,4506,1425,773,652,4254,2124,2130,1373,687,686,28257,13997,14260
municipality,WC025,municipality-WC025,Breede Valley,28930,5767,3062,2705,570,300,270,1728,845,883,660,343,317,20205,10383,9822
municipality,WC026,municipality-WC026,Langeberg,16863,2522,1350,1172,760,384,376,817,390,427,289,132,157,12475,6252,6223
municipality,WC031,municipality-WC031,Theewaterskloof,18470,3828,2003,1825,511,265,246,921,442,479,436,230,206,12774,6138,6636
municipality,WC032,municipality-WC032,Overstrand,11391,1698,918,780,425,255,170,1040,539,501,295,142,153,7933,3939,3994
municipality,WC034,municipality-WC034,Swellendam,5858,1696,822,874,106,59,47,302,141,161,154,79,75,3600,1720,1880
municipality,WC041,municipality-WC041,Kannaland,4041,585,322,263,68,22,46,181,100,81,61,34,27,3146,1537,1609
municipality,WC042,municipality-WC042,Hessequa,7616,1239,665,574,141,71,70,560,281,279,179,85,94,5497,2785,2712
municipality,WC043,municipality-WC043,Mossel Bay,13655,2142,1136,1006,479,239,240,1507,746,761,458,243,215,9069,4634,4435
