geo_level,geo_code,geoid,name,total,Black African,Black African-Female,Black African-Male,Coloured,Coloured-Female,Coloured-Male,Indian or Asian,Indian or Asian-Female,Indian or Asian-Male,Other,Other-Female,Other-Male,White,White-Female,White-Male
municipality,WC013,municipality-WC013,Bergrivier,10633,1788,1062,726,7692,3959,3733,44,17,27,71,20,51,1038,512,526
municipality,WC014,municipality-WC014,Saldanha Bay,17815,5217,2611,2606,10337,5224,5113,156,76,80,135,33,102,1970,973,997
municipality,WC015,municipality-WC015,Swartland,20481,4903,2537,2366,13579,6894,6685,102,45,57,153,44,109,1744,871,873
municipality,WC022,municipality-WC022,Witzenberg,22253,6401,2791,3610,14549,7255,7294,68,22,46,144,49,95,1091,421,670
municipality,WC023,municipality-WC023,Drakenstein,48637,12343,6095,6248,30521,15021,15500,222,112,110,407,145,262,5144,2694,2450
municipality,WC025,municipality-WC025,Breede Valley,30755,8307,4185,4122,19758,10057,9701,175,72,103,306,144,162,2209,1043,1166
municipality,WC026,municipality-WC026,Langeberg,17191,3067,1558,1509,12852,6479,6373,37,18,19,158,56,102,1077,540,537
municipality,WC031,municipality-WC031,Theewaterskloof,19212,5828,2672,3156,12187,6141,6046,59,24,35,199,59,140,939,441,498
municipality,WC032,municipality-WC032,Overstrand,11665,5616,2870,2746,4370,2235,2135,41,14,27,129,46,83,1509,775,734
municipality,WC034,municipality-WC034,Swellendam,6109,944,407,537,4579,2297,2282,18,6,12,69,21,48,499,228,271
municipality,WC041,municipality-WC041,Kannaland,4238,242,120,122,3755,1864,1891,8,5,3,19,11,8,214,101,113
municipality,WC042,municipality-WC042,Hessequa,7662,575,262,313,6108,3155,2953,45,24,21,27,5,22,907,467,440
municipality,WC043,municipality-WC043,Mossel Bay,13873,5024,2665,2359,6820,3450,3370,83,38,45,136,41,95,1810,916,894
