geo_level,geo_code,geoid,name,total,Black African,Black African-Female,Black African-Male,Coloured,Coloured-Female,Coloured-Male,Indian or Asian,Indian or Asian-Female,Indian or Asian-Male,Other,Other-Female,Other-Male,White,White-Female,White-Male
municipality,EC444,municipality-EC444,Ntabankulu,26596,26391,13344,13047,147,76,71,27,5,22,18,3,15,13,5,8
municipality,FS161,municipality-FS161,Letsemeng,7119,5065,2450,2615,1673,837,836,16,3,13,30,3,27,335,142,193
municipality,FS162,municipality-FS162,Kopanong,8743,6624,3304,3320,1684,848,836,41,12,29,38,11,27,356,183,173
municipality,FS163,municipality-FS163,Mohokare,6480,6108,3106,3002,151,75,76,17,2,15,9,1,8,195,72,123
municipality,FS181,municipality-FS181,Masilonyana,11637,10922,5535,5387,158,68,90,33,6,27,36,11,25,488,250,238
municipality,FS182,municipality-FS182,Tokologo,5357,4831,2521,2310,236,112,124,29,2,27,21,9,12,240,114,126
municipality,FS183,municipality-FS183,Tswelopele,8975,8442,4314,4128,123,57,66,36,5,31,16,2,14,358,174,184
municipality,FS184,municipality-FS184,Matjhabeng,78417,71240,35776,35464,1758,863,895,260,75,185,144,45,99,5015,2507,2508
municipality,FS185,municipality-FS185,Nala,15068,14382,7442,6940,101,52,49,37,8,29,42,11,31,506,231,275
municipality,FS192,municipality-FS192,Dihlabeng,23019,20998,10721,10277,401,202,199,92,41,51,37,9,28,1491,799,692
municipality,FS193,municipality-FS193,Nketoana,11611,11028,5572,5456,45,16,29,32,12,20,23,8,15,483,239,244
municipality,FS194,municipality-FS194,Maluti a Phofung,74617,73784,37642,36142,162,79,83,121,47,74,64,26,38,486,228,258
municipality,FS195,municipality-FS195,Phumelela,9017,8559,4352,4207,38,20,18,31,1,30,35,7,28,354,181,173
municipality,FS201,municipality-FS201,Moqhaka,29376,26537,12924,13613,872,407,465,88,30,58,91,20,71,1788,850,938
municipality,FS203,municipality-FS203,Ngwathe,21516,19507,9906,9601,616,320,296,80,21,59,65,9,56,1248,632,616
municipality,FS204,municipality-FS204,Metsimaholo,27607,23981,11473,12508,192,80,112,77,27,50,83,22,61,3274,1651,1623
municipality,FS205,municipality-FS205,Mafube,10962,10381,5336,5045,71,39,32,34,7,27,24,6,18,452,205,247
municipality,GT421,municipality-GT421,Emfuleni,139786,125015,63286,61729,1741,900,841,1080,456,624,484,139,345,11466,5669,5797
municipality,GT423,municipality-GT423,Lesedi,17693,14743,7187,7556,241,97,144,184,71,113,70,15,55,2455,1168,1287
municipality,GT481,municipality-GT481,Mogale City,65019,53466,25244,28222,514,265,249,1466,544,922,227,73,154,9346,4524,4822
municipality,GT482,municipality-GT482,Randfontein,25615,18728,9274,9454,2682,1359,1323,101,38,63,95,43,52,4009,1973,2036
municipality,GT483,municipality-GT483,Westonaria,20212,18753,9145,9608,144,73,71,70,20,50,84,27,57,1161,544,617
municipality,KZN211,municipality-KZN211,Vulamehlo,16086,15983,8078,7905,23,11,12,46,24,22,8,3,5,26,15,11
municipality,KZN212,municipality-KZN212,Umdoni,15349,12878,6494,6384,150,73,77,1858,900,958,34,16,18,429,208,221
municipality,KZN213,municipality-KZN213,Umzumbe,33775,33625,16691,16934,45,24,21,36,21,15,31,12,19,38,18,20
municipality,KZN214,municipality-KZN214,UMuziwabantu,20591,20284,10305,9979,168,85,83,67,24,43,25,5,20,47,19,28
municipality,KZN215,municipality-KZN215,Ezingoleni,11106,11007,5510,5497,29,13,16,24,10,14,8,4,4,38,12,26
municipality,KZN221,municipality-KZN221,uMshwathi,22396,21722,11014,10708,51,21,30,315,144,171,55,18,37,253,110,143
municipality,KZN222,municipality-KZN222,uMngeni,17398,14282,7129,7153,323,158,165,656,299,357,35,7,28,2102,867,1235
municipality,KZN223,municipality-KZN223,Mpofana,7540,7061,3488,3573,56,22,34,123,60,63,26,10,16,274,103,171
municipality,KZN224,municipality-KZN224,Impendle,6855,6816,3387,3429,12,2,10,4,2,2,8,6,2,15,6,9
municipality,KZN225,municipality-KZN225,The Msunduzi,129978,110950,56541,54409,3463,1721,1742,10494,5233,5261,337,141,196,4734,2291,2443
municipality,KZN226,municipality-KZN226,Mkhambathini,12954,12520,6231,6289,45,17,28,175,48,127,25,2,23,189,88,101
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,46528,43633,22531,21102,446,236,210,1684,774,910,70,27,43,695,371,324
municipality,KZN233,municipality-KZN233,Indaka,21892,21791,11565,10226,32,19,13,47,15,32,7,3,4,15,3,12
municipality,KZN234,municipality-KZN234,Umtshezi,16342,15093,7751,7342,202,106,96,832,401,431,40,18,22,175,82,93
