geo_level,geo_code,geoid,name,total,Multidimensionally poor,Multidimensionally poor-Black African,Multidimensionally poor-Black African-Female,Multidimensionally poor-Black African-Male,Multidimensionally poor-Coloured,Multidimensionally poor-Coloured-Female,Multidimensionally poor-Coloured-Male,Multidimensionally poor-Indian or Asian,Multidimensionally poor-Indian or Asian-Female,Multidimensionally poor-Indian or Asian-Male,Multidimensionally poor-Other,Multidimensionally poor-Other-Female,Multidimensionally poor-Other-Male,Multidimensionally poor-White,Multidimensionally poor-White-Female,Multidimensionally poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,LIM342,municipality-LIM342,Mutale,20107,8862,8834,4464,4370,4,3,1,4,0,4,17,4,13,3,2,1,11245,11200,5642,5558,9,0,9,8,2,6,6,1,5,22,11,11
municipality,LIM343,municipality-LIM343,Thulamela,139986,54474,54317,26860,27457,24,14,10,75,48,27,40,10,30,18,11,7,85512,85048,43354,41694,51,22,29,331,127,204,34,8,26,48,22,26
municipality,LIM344,municipality-LIM344,Makhado,107611,40519,40347,19773,20574,36,17,19,32,13,19,27,2,25,77,41,36,67092,65811,33295,32516,135,69,66,168,72,96,93,14,79,885,431,454
municipality,LIM351,municipality-LIM351,Blouberg,35960,14714,14636,7383,7253,4,0,4,22,3,19,39,10,29,13,7,6,21246,21133,10845,10288,4,1,3,23,2,21,31,6,25,55,27,28
municipality,LIM353,municipality-LIM353,Molemole,22224,7029,6990,3323,3667,7,2,5,6,3,3,21,6,15,5,0,5,15195,15037,7542,7495,17,8,9,19,5,14,20,4,16,102,48,54
municipality,LIM354,municipality-LIM354,Polokwane,127650,33799,33295,16216,17079,170,59,111,55,22,33,103,48,55,176,96,80,93851,88969,46003,42966,806,397,409,598,259,339,127,47,80,3351,1612,1739
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,46979,15277,15228,7452,7776,11,4,7,17,1,16,16,5,11,5,3,2,31702,31615,16018,15597,10,7,3,27,4,23,20,8,12,30,21,9
municipality,LIM361,municipality-LIM361,Thabazimbi,11073,4105,3946,1876,2070,8,5,3,4,0,4,16,7,9,131,73,58,6968,5696,2640,3056,52,27,25,17,11,6,17,4,13,1186,596,590
municipality,LIM362,municipality-LIM362,Lephalale,20975,7085,6986,3436,3550,11,2,9,8,0,8,19,7,12,61,38,23,13890,12942,6191,6751,52,26,26,33,5,28,21,4,17,842,395,447
municipality,LIM365,municipality-LIM365,Modimolle,11474,4070,3986,2044,1942,9,5,4,17,5,12,11,4,7,47,32,15,7404,6835,3344,3491,27,10,17,36,6,30,11,2,9,495,267,228
municipality,LIM366,municipality-LIM366,Bela-Bela,10823,3623,3507,1776,1731,56,24,32,15,7,8,6,1,5,39,20,19,7200,6476,3178,3298,113,59,54,35,18,17,14,3,11,562,291,271
municipality,BUF,municipality-BUF,Buffalo City,129070,39571,37451,18054,19397,1600,687,913,68,34,34,101,30,71,351,180,171,89499,76917,40453,36464,6241,3268,2973,686,316,370,334,92,242,5321,2682,2639
municipality,EC101,municipality-EC101,Camdeboo,8039,2205,488,252,236,1683,847,836,5,2,3,2,1,1,27,13,14,5834,1322,702,620,4136,1986,2150,31,7,24,32,13,19,313,148,165
municipality,EC105,municipality-EC105,Ndlambe,9354,3725,3418,1583,1835,248,130,118,7,1,6,16,3,13,36,25,11,5629,4624,2395,2229,478,242,236,13,3,10,56,13,43,458,237,221
municipality,EC122,municipality-EC122,Mnquma,48489,27561,27496,12731,14765,23,6,17,18,9,9,15,4,11,9,3,6,20928,20798,10776,10022,37,22,15,35,15,20,28,7,21,30,17,13
municipality,EC128,municipality-EC128,Nxuba,3791,1503,1168,545,623,321,155,166,4,2,2,4,3,1,6,2,4,2288,1648,805,843,524,254,270,18,9,9,21,6,15,77,36,41
municipality,EC135,municipality-EC135,Intsika Yethu,25996,16466,16377,7306,9071,42,13,29,12,0,12,35,8,27,0,0,0,9530,9454,4661,4793,26,13,13,21,3,18,14,1,13,15,7,8
municipality,EC144,municipality-EC144,Gariep,5699,2257,1779,883,896,438,204,234,2,1,1,15,4,11,23,11,12,3442,2775,1340,1435,464,207,257,10,1,9,10,4,6,183,103,80
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,95646,51425,51186,25216,25970,123,60,63,47,21,26,41,12,29,28,12,16,44221,43500,23440,20060,416,217,199,128,45,83,80,20,60,97,53,44
municipality,NMA,municipality-NMA,Nelson Mandela Bay,200853,52569,38015,18539,19476,12718,6006,6712,239,114,125,406,167,239,1191,619,572,148284,89575,46101,43474,35864,18729,17135,1791,870,921,1544,526,1018,19510,9563,9947
municipality,FS164,municipality-FS164,Naledi,4727,1679,1637,893,744,27,12,15,1,1,0,4,0,4,10,3,7,3048,2890,1445,1445,45,23,22,22,4,18,10,0,10,81,36,45
municipality,FS191,municipality-FS191,Setsoto,21062,7878,7756,4087,3669,59,33,26,11,7,4,10,2,8,42,26,16,13184,12363,6262,6101,136,65,71,128,56,72,19,3,16,538,263,275
municipality,FS196,municipality-FS196,Mantsopa,9535,3292,3173,1687,1486,82,41,41,4,2,2,10,4,6,23,11,12,6243,5644,2812,2832,267,131,136,44,21,23,31,7,24,257,135,122
municipality,MAN,municipality-MAN,Mangaung,140670,35480,33439,17215,16224,1390,697,693,60,29,31,65,24,41,526,304,222,105190,88225,44729,43496,5494,2872,2622,461,163,298,298,101,197,10712,5468,5244
municipality,EKU,municipality-EKU,Ekurhuleni,520026,122828,116275,57568,58707,2487,1178,1309,677,323,354,585,254,331,2804,1466,1338,397198,328959,164519,164440,12389,6448,5941,7765,3657,4108,1484,462,1022,46601,23223,23378
municipality,GT422,municipality-GT422,Midvaal,14022,3543,3165,1605,1560,25,13,12,17,12,5,14,11,3,322,160,162,10479,6257,2964,3293,204,103,101,74,43,31,36,13,23,3908,1937,1971
municipality,GT484,municipality-GT484,Merafong City,31236,9930,9536,4953,4583,96,48,48,12,4,8,17,5,12,269,151,118,21306,18637,9228,9409,239,117,122,77,31,46,43,9,34,2310,1150,1160
municipality,JHB,municipality-JHB,City of Johannesburg,677268,129183,119902,60345,59557,5293,2307,2986,1607,802,805,836,370,466,1545,752,793,548085,444912,225921,218991,35341,18223,17118,22925,11198,11727,2484,1072,1412,42423,21046,21377
municipality,TSH,municipality-TSH,City of Tshwane,477423,94858,89609,43702,45907,1204,549,655,591,277,314,623,282,341,2831,1460,1371,382565,307848,158107,149741,8136,4240,3896,6200,2917,3283,1446,543,903,58935,29478,29457
municipality,ETH,municipality-ETH,eThekwini,656698,148789,136898,68256,68642,1878,907,971,8603,4107,4496,434,195,239,976,488,488,507909,387426,197989,189437,12904,6670,6234,86455,43144,43311,1847,808,1039,19277,9467,9810
municipality,KZN216,municipality-KZN216,Hibiscus Coast,47923,16066,15603,7694,7909,86,42,44,222,97,125,15,8,7,140,60,80,31857,27742,14510,13232,568,291,277,1825,895,930,65,28,37,1657,815,842
municipality,KZN227,municipality-KZN227,Richmond,12348,5659,5602,2912,2690,23,7,16,16,8,8,5,1,4,13,8,5,6689,6401,3110,3291,83,46,37,109,44,65,18,9,9,78,34,44
municipality,KZN241,municipality-KZN241,Endumeni,12407,3961,3813,1884,1929,41,16,25,51,37,14,12,9,3,44,24,20,8446,7215,3571,3644,288,153,135,519,256,263,19,7,12,405,197,208
municipality,KZN253,municipality-KZN253,Emadlangeni,6275,3464,3441,1621,1820,11,5,6,0,0,0,2,1,1,10,6,4,2811,2619,1254,1365,58,35,23,5,4,1,3,1,2,126,66,60
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33165,21734,21677,11166,10511,12,6,6,23,9,14,17,9,8,5,1,4,11431,11387,5937,5450,8,3,5,7,4,3,10,3,7,19,12,7
municipality,KZN282,municipality-KZN282,uMhlathuze,66611,14013,13618,7058,6560,52,32,20,170,90,80,21,13,8,152,87,65,52598,47216,24880,22336,474,228,246,2055,1057,998,83,26,57,2770,1355,1415
municipality,KZN292,municipality-KZN292,KwaDukuza,43856,14628,13820,7140,6680,70,36,34,574,297,277,128,45,83,36,19,17,29228,23055,11713,11342,346,178,168,4831,2359,2472,156,58,98,840,444,396
municipality,KZN433,municipality-KZN433,Greater Kokstad,12576,4371,4191,2099,2092,168,70,98,8,5,3,1,0,1,3,1,2,8205,7153,3824,3329,808,411,397,67,28,39,18,6,12,159,77,82
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,29669,10065,9981,5002,4979,15,7,8,6,2,4,2,2,0,61,43,18,19604,18681,9638,9043,48,25,23,39,17,22,13,3,10,823,400,423
municipality,LIM352,municipality-LIM352,Aganang,27331,8534,8485,4165,4320,4,0,4,3,0,3,35,4,31,7,4,3,18797,18740,9347,9393,3,2,1,21,0,21,22,4,18,11,7,4
municipality,LIM364,municipality-LIM364,Mookgopong,5404,1872,1836,871,965,2,1,1,0,0,0,10,2,8,24,13,11,3532,3226,1595,1631,21,10,11,12,4,8,18,6,12,255,111,144
municipality,LIM367,municipality-LIM367,Mogalakwena,63046,21391,21208,10701,10507,16,7,9,55,31,24,40,14,26,72,41,31,41655,40399,20384,20015,57,24,33,233,76,157,54,11,43,912,463,449
municipality,LIM471,municipality-LIM471,Ephraim Mogale,24894,10816,10742,5242,5500,6,1,5,17,7,10,30,10,20,21,10,11,14078,13857,6947,6910,9,6,3,35,9,26,20,6,14,157,75,82
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,51040,19923,19819,9552,10267,16,8,8,18,7,11,36,8,28,34,14,20,31117,30637,15931,14706,28,14,14,91,19,72,44,8,36,317,165,152
municipality,LIM473,municipality-LIM473,Makhuduthamaga,55934,23260,23194,11735,11459,5,1,4,27,15,12,24,8,16,10,5,5,32674,32545,16636,15909,17,8,9,74,17,57,29,6,23,9,6,3
municipality,LIM474,municipality-LIM474,Fetakgomo,19100,6823,6793,3405,3388,2,2,0,11,3,8,9,2,7,8,7,1,12277,12211,6331,5880,2,2,0,7,0,7,14,2,12,43,25,18
municipality,LIM475,municipality-LIM475,Greater Tubatse,70228,31166,31032,15908,15124,31,16,15,23,11,12,18,6,12,62,38,24,39062,38430,19480,18950,60,27,33,74,32,42,29,8,21,469,223,246
municipality,MP301,municipality-MP301,Albert Luthuli,40976,14719,14595,7524,7071,41,17,24,24,5,19,21,8,13,38,17,21,26257,25759,13180,12579,72,32,40,129,31,98,45,8,37,252,120,132
municipality,MP302,municipality-MP302,Msukaligwa,27658,9289,9068,4688,4380,32,19,13,36,12,24,27,12,15,126,69,57,18369,16246,8133,8113,109,62,47,218,93,125,53,15,38,1743,880,863
municipality,MP304,municipality-MP304,Pixley Ka Seme,15664,5585,5463,2830,2633,20,9,11,20,11,9,5,0,5,77,33,44,10079,9243,4689,4554,68,26,42,132,62,70,17,5,12,619,310,309
municipality,MP305,municipality-MP305,Lekwa,20156,5502,5227,2643,2584,140,66,74,19,10,9,10,3,7,106,54,52,14654,12403,6032,6371,456,239,217,188,78,110,42,9,33,1565,753,812
municipality,MP306,municipality-MP306,Dipaleseng,7389,2619,2543,1302,1241,14,10,4,5,2,3,6,2,4,51,28,23,4770,4323,2100,2223,19,12,7,40,15,25,5,0,5,383,175,208
municipality,MP307,municipality-MP307,Govan Mbeki,52552,13114,12479,6168,6311,93,42,51,62,36,26,48,23,25,432,254,178,39438,32892,15630,17262,666,325,341,652,306,346,121,34,87,5107,2525,2582
municipality,MP312,municipality-MP312,Emalahleni,72373,19507,18442,8632,9810,250,112,138,55,20,35,94,23,71,666,384,282,52866,43533,21453,22080,976,490,486,497,203,294,171,37,134,7689,3751,3938
municipality,MP313,municipality-MP313,Steve Tshwete,38055,7907,7271,3455,3816,168,88,80,26,15,11,48,20,28,394,208,186,30148,22809,11245,11564,978,505,473,482,201,281,90,22,68,5789,2815,2974
municipality,MP314,municipality-MP314,Emakhazeni,8149,2537,2435,1220,1215,28,10,18,8,4,4,1,1,0,65,24,41,5612,5065,2525,2540,84,47,37,50,17,33,5,0,5,408,205,203
municipality,MP315,municipality-MP315,Thembisile,63959,18729,18537,8723,9814,46,23,23,70,28,42,66,13,53,10,5,5,45230,44859,23440,21419,93,53,40,175,49,126,72,11,61,31,14,17
municipality,MP316,municipality-MP316,Dr JS Moroka,51541,16678,16585,7734,8851,24,7,17,23,9,14,35,7,28,11,0,11,34863,34655,17889,16766,43,25,18,119,18,101,36,4,32,10,7,3
municipality,MP321,municipality-MP321,Thaba Chweu,15816,4432,4170,1985,2185,60,32,28,16,9,7,49,12,37,137,78,59,11384,9454,4660,4794,386,202,184,64,24,40,49,18,31,1431,705,726
municipality,MP323,municipality-MP323,Umjindi,11440,3398,3296,1675,1621,17,7,10,13,7,6,4,0,4,68,40,28,8042,7000,3588,3412,218,134,84,92,42,50,12,3,9,720,344,376
municipality,MP324,municipality-MP324,Nkomazi,90001,31204,30994,15795,15199,46,31,15,82,29,53,40,13,27,42,26,16,58797,57827,29824,28003,181,93,88,235,63,172,49,15,34,505,244,261
municipality,MP325,municipality-MP325,Bushbuckridge,125168,43566,43443,22001,21442,44,28,16,38,12,26,21,4,17,20,7,13,81602,81240,42063,39177,109,52,57,110,11,99,42,7,35,101,48,53
municipality,NW371,municipality-NW371,Moretele,34765,11063,11000,5244,5756,25,11,14,7,1,6,27,6,21,4,1,3,23702,23561,12046,11515,32,12,20,35,6,29,39,1,38,35,18,17
municipality,NW372,municipality-NW372,Madibeng,83316,29108,28235,13491,14744,240,138,102,47,14,33,138,44,94,448,234,214,54208,48537,23791,24746,500,257,243,366,112,254,182,52,130,4623,2227,2396
municipality,NW374,municipality-NW374,Kgetlengrivier,7998,3280,3049,1594,1455,81,31,50,2,1,1,23,8,15,125,53,72,4718,3658,1705,1953,82,32,50,72,32,40,23,8,15,883,411,472
municipality,NW375,municipality-NW375,Moses Kotane,42018,14425,14327,7056,7271,20,9,11,19,3,16,38,12,26,21,12,9,27593,27182,13505,13677,73,38,35,141,47,94,48,13,35,149,64,85
municipality,NW381,municipality-NW381,Ratlou,19523,10722,10593,5431,5162,105,52,53,10,3,7,10,4,6,4,3,1,8801,8598,4403,4195,71,35,36,41,4,37,16,4,12,75,37,38
municipality,NW382,municipality-NW382,Tswaing,22878,11856,11539,5992,5547,265,109,156,14,5,9,13,6,7,25,17,8,11022,9993,4961,5032,139,68,71,47,4,43,35,10,25,808,408,400
municipality,NW383,municipality-NW383,Mafikeng,55757,19414,19092,9631,9461,218,86,132,39,14,25,20,3,17,45,25,20,36343,34610,18009,16601,979,474,505,354,143,211,60,19,41,340,179,161
municipality,NW385,municipality-NW385,Ramotshere Moiloa,25571,11277,11119,5554,5565,66,31,35,28,12,16,29,13,16,35,23,12,14294,13368,6814,6554,152,75,77,127,51,76,54,13,41,593,278,315
municipality,NW392,municipality-NW392,Naledi,10982,4556,3917,2024,1893,575,291,284,15,6,9,20,9,11,29,15,14,6426,4525,2235,2290,1155,648,507,95,49,46,67,28,39,584,258,326
municipality,NW393,municipality-NW393,Mamusa,10823,4641,4499,2393,2106,105,43,62,6,3,3,2,1,1,29,14,15,6182,5644,2740,2904,153,73,80,45,9,36,17,8,9,323,160,163
municipality,NW394,municipality-NW394,Greater Taung,33114,16349,16106,8033,8073,207,106,101,14,7,7,10,4,6,12,4,8,16765,16475,8650,7825,157,83,74,48,6,42,42,13,29,43,7,36
municipality,NW397,municipality-NW397,Kagisano/Molopo,18234,10230,10016,5272,4744,161,84,77,11,1,10,20,10,10,22,14,8,8004,7618,3926,3692,129,64,65,36,3,33,32,11,21,189,85,104
municipality,NW401,municipality-NW401,Ventersdorp,9663,4926,4656,2450,2206,171,87,84,4,1,3,47,23,24,48,33,15,4737,4180,1998,2182,156,75,81,29,4,25,92,43,49,280,122,158
municipality,NW402,municipality-NW402,Tlokwe City Council,30644,6735,5762,2951,2811,462,224,238,29,14,15,32,13,19,450,249,201,23909,14450,7196,7254,1608,881,727,275,124,151,90,24,66,7486,3982,3504
municipality,NW403,municipality-NW403,City of Matlosana,67709,20260,19086,9912,9174,577,266,311,67,28,39,37,17,20,493,257,236,47449,38976,19439,19537,1878,980,898,490,172,318,133,30,103,5972,2895,3077
municipality,NW404,municipality-NW404,Maquassi Hills,13471,6131,5834,3057,2777,223,119,104,13,7,6,10,3,7,51,31,20,7340,6549,3220,3329,144,68,76,45,11,34,25,6,19,577,292,285
municipality,NC061,municipality-NC061,Richtersveld,1668,383,55,21,34,316,142,174,1,1,0,5,2,3,6,3,3,1285,124,70,54,1088,507,581,4,2,2,9,3,6,60,34,26
municipality,NC064,municipality-NC064,Kamiesberg,1269,512,25,14,11,482,219,263,2,2,0,0,0,0,3,0,3,757,36,18,18,681,321,360,5,0,5,8,2,6,27,13,14
municipality,NC065,municipality-NC065,Hantam,3253,921,41,17,24,867,436,431,2,2,0,2,0,2,9,4,5,2332,59,34,25,2114,1029,1085,15,8,7,6,1,5,138,66,72
municipality,NC066,municipality-NC066,Karoo Hoogland,1536,585,28,16,12,543,291,252,3,2,1,3,3,0,8,3,5,951,18,6,12,849,432,417,16,9,7,3,0,3,65,26,39
municipality,NC067,municipality-NC067,Khâi-Ma,2104,561,107,48,59,444,216,228,1,1,0,2,1,1,7,4,3,1543,462,192,270,997,477,520,5,1,4,17,8,9,62,23,39
municipality,NC072,municipality-NC072,Umsobomvu,4692,1489,973,490,483,491,269,222,4,3,1,13,5,8,8,6,2,3203,2125,1052,1073,946,473,473,13,3,10,30,10,20,89,39,50
municipality,NC073,municipality-NC073,Emthanjeni,6911,1792,526,275,251,1220,652,568,9,2,7,2,1,1,35,17,18,5119,1773,859,914,2992,1540,1452,34,12,22,28,5,23,292,167,125
municipality,NC074,municipality-NC074,Kareeberg,1659,611,15,9,6,587,316,271,4,1,3,1,0,1,4,3,1,1048,36,12,24,947,511,436,1,0,1,2,0,2,62,26,36
municipality,NC075,municipality-NC075,Renosterberg,1632,476,123,59,64,341,184,157,3,2,1,1,1,0,8,3,5,1156,463,201,262,633,295,338,7,2,5,3,1,2,50,25,25
municipality,NC076,municipality-NC076,Thembelihle,2651,984,158,81,77,802,419,383,1,0,1,2,1,1,21,16,5,1667,258,134,124,1177,583,594,9,0,9,8,1,7,215,98,117
municipality,NC078,municipality-NC078,Siyancuma,6069,2249,764,397,367,1420,717,703,15,10,5,33,19,14,17,9,8,3820,1176,599,577,2307,1166,1141,26,10,16,55,17,38,256,132,124
municipality,NC081,municipality-NC081,Mier,1115,409,9,4,5,393,174,219,2,2,0,5,0,5,0,0,0,706,20,6,14,663,363,300,8,5,3,1,0,1,14,4,10
municipality,NC082,municipality-NC082,Kai !Garib,10485,2937,657,294,363,2182,1072,1110,24,8,16,57,19,38,17,10,7,7548,2417,1021,1396,4654,2351,2303,51,23,28,105,47,58,321,148,173
municipality,NC083,municipality-NC083,//Khara Hais,16214,4162,989,493,496,3036,1531,1505,32,13,19,59,22,37,46,21,25,12052,2841,1396,1445,8145,4213,3932,69,20,49,129,43,86,868,435,433
municipality,NC084,municipality-NC084,!Kheis,2438,1020,65,23,42,933,467,466,5,0,5,8,1,7,9,5,4,1418,105,43,62,1202,635,567,19,5,14,23,9,14,69,31,38
municipality,NC086,municipality-NC086,Kgatelopele,3241,807,432,227,205,350,197,153,2,1,1,5,3,2,18,10,8,2434,1191,572,619,1067,509,558,17,7,10,18,3,15,141,51,90
municipality,NC091,municipality-NC091,Sol Plaatjie,41878,10904,6876,3480,3396,3214,1541,1673,59,30,29,666,368,298,89,42,47,30974,19580,9915,9665,8916,4648,4268,341,156,185,340,144,196,1797,903,894
municipality,NC092,municipality-NC092,Dikgatlong,7812,3032,1862,942,920,922,471,451,18,8,10,213,103,110,17,8,9,4780,2699,1369,1330,1496,782,714,26,9,17,408,198,210,151,64,87
municipality,NC093,municipality-NC093,Magareng,4307,1404,1169,575,594,215,106,109,5,2,3,0,0,0,15,10,5,2903,2347,1158,1189,427,205,222,20,3,17,4,1,3,105,53,52
municipality,NC451,municipality-NC451,Joe Morolong,15949,8826,8653,4583,4070,132,66,66,17,4,13,14,5,9,10,8,2,7123,6804,3499,3305,147,82,65,29,2,27,18,7,11,125,47,78
municipality,NC452,municipality-NC452,Ga-Segonyana,17388,6120,5725,2831,2894,355,152,203,2,0,2,18,10,8,20,14,6,11268,9812,5008,4804,965,491,474,56,14,42,51,16,35,384,185,199
municipality,NC453,municipality-NC453,Gamagara,6533,1696,1055,516,539,568,318,250,11,6,5,25,13,12,37,25,12,4837,2488,1176,1312,1559,761,798,27,8,19,115,57,58,648,294,354
municipality,CPT,municipality-CPT,City of Cape Town,613854,138274,82508,41704,40804,51703,23474,28229,596,283,313,1591,642,949,1876,931,945,475580,186276,100420,85856,219871,113593,106278,7185,3464,3721,7403,2912,4491,54845,27314,27531
municipality,WC011,municipality-WC011,Matzikama,11115,3485,441,213,228,2909,1543,1366,22,9,13,44,21,23,69,36,33,7630,492,191,301,6117,3055,3062,40,21,19,97,40,57,884,448,436
municipality,WC013,municipality-WC013,Bergrivier,9151,1732,239,106,133,1421,725,696,4,0,4,6,0,6,62,35,27,7419,636,342,294,5862,3011,2851,28,12,16,48,13,35,845,422,423
municipality,WC014,municipality-WC014,Saldanha Bay,16333,3814,1582,733,849,2092,940,1152,23,6,17,23,7,16,94,46,48,12519,2708,1348,1360,7967,4146,3821,110,59,51,97,25,72,1637,814,823
municipality,WC015,municipality-WC015,Swartland,17590,3708,947,475,472,2664,1369,1295,10,2,8,29,12,17,58,23,35,13882,2130,1049,1081,10181,5226,4955,69,32,37,108,27,81,1394,667,727
municipality,WC022,municipality-WC022,Witzenberg,18789,3600,1286,651,635,2249,1139,1110,7,1,6,37,8,29,21,5,16,15189,2806,1374,1432,11554,5833,5721,43,14,29,84,35,49,702,357,345
municipality,WC023,municipality-WC023,Drakenstein,41733,7493,2761,1365,1396,4535,2081,2454,13,7,6,69,19,50,115,73,42,34240,7145,3703,3442,23041,11774,11267,157,80,77,254,103,151,3643,1833,1810
municipality,WC025,municipality-WC025,Breede Valley,28298,5808,2768,1460,1308,2903,1417,1486,10,6,4,52,39,13,75,33,42,22490,4580,2372,2208,15974,8312,7662,136,50,86,188,85,103,1612,839,773
municipality,WC026,municipality-WC026,Langeberg,16392,3678,1005,523,482,2583,1403,1180,7,3,4,44,21,23,39,17,22,12714,1865,961,904,9812,4850,4962,25,13,12,92,32,60,920,459,461
municipality,WC031,municipality-WC031,Theewaterskloof,17655,3937,1814,878,936,2042,1038,1004,6,4,2,44,18,26,31,12,19,13718,3019,1409,1610,9775,4927,4848,33,14,19,132,33,99,759,362,397
municipality,WC032,municipality-WC032,Overstrand,10182,3066,1919,955,964,1030,438,592,8,4,4,23,6,17,86,42,44,7116,2700,1421,1279,3095,1666,1429,25,7,18,81,33,48,1215,629,586
municipality,WC034,municipality-WC034,Swellendam,5751,1520,330,132,198,1138,638,500,1,1,0,33,11,22,18,10,8,4231,484,205,279,3295,1566,1729,13,4,9,33,9,24,406,184,222
municipality,WC041,municipality-WC041,Kannaland,3992,1255,50,21,29,1174,631,543,5,4,1,4,4,0,22,14,8,2737,97,53,44,2455,1178,1277,1,1,0,11,5,6,173,78,95
municipality,WC042,municipality-WC042,Hessequa,7477,1769,180,93,87,1500,824,676,12,7,5,7,3,4,70,41,29,5708,378,162,216,4533,2288,2245,32,17,15,17,2,15,748,382,366
municipality,WC043,municipality-WC043,Mossel Bay,11768,2841,1333,708,625,1380,680,700,14,5,9,19,7,12,95,46,49,8927,2785,1508,1277,4628,2389,2239,52,29,23,86,25,61,1376,697,679
