geo_level,geo_code,geoid,name,total,Collective living quarters,Commercial,Farms,Formal residential,Industrial,Informal residential,Parks and recreation,Small holdings,Traditional residential,Vacant
municipality,KZN292,municipality-KZN292,KwaDukuza,47027,338,246,2444,26205,86,12172,0,106,5421,9
municipality,KZN433,municipality-KZN433,Greater Kokstad,14163,51,145,1926,11337,0,255,5,0,418,26
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,30824,181,0,624,14527,333,65,108,0,14964,22
municipality,LIM352,municipality-LIM352,Aganang,27995,525,0,57,93,0,0,0,0,27238,82
municipality,LIM364,municipality-LIM364,Mookgopong,6614,17,19,1606,4809,23,90,15,35,0,0
municipality,LIM367,municipality-LIM367,Mogalakwena,65317,379,263,910,21537,3,0,44,122,42048,11
municipality,LIM471,municipality-LIM471,Ephraim Mogale,26148,28,20,2579,4822,16,0,0,704,17783,196
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,54036,59,64,2946,8676,67,729,0,0,41460,35
municipality,LIM473,municipality-LIM473,Makhuduthamaga,56911,81,0,0,888,0,66,0,0,55605,271
municipality,LIM474,municipality-LIM474,Fetakgomo,19237,13,0,0,234,78,0,0,0,18912,0
municipality,LIM475,municipality-LIM475,Greater Tubatse,72498,273,70,787,5168,246,853,0,0,65037,64
municipality,MP301,municipality-MP301,Albert Luthuli,42283,69,35,2552,8025,16,2799,58,88,28472,169
municipality,MP302,municipality-MP302,Msukaligwa,31070,394,29,6119,20625,116,3716,46,0,0,25
municipality,MP304,municipality-MP304,Pixley Ka Seme,17130,1,25,3199,10155,15,0,0,1086,2543,106
municipality,MP305,municipality-MP305,Lekwa,22756,813,156,3916,16900,55,871,3,0,0,42
municipality,MP306,municipality-MP306,Dipaleseng,8180,42,72,654,6243,13,1149,6,0,0,1
municipality,MP307,municipality-MP307,Govan Mbeki,57450,330,260,1803,53890,530,228,5,379,0,25
municipality,MP312,municipality-MP312,Emalahleni,76620,2150,464,2031,59984,610,10329,14,809,0,229
municipality,MP313,municipality-MP313,Steve Tshwete,43050,445,247,4006,34260,601,3452,15,0,0,24
municipality,MP314,municipality-MP314,Emakhazeni,9186,225,1,1881,6684,11,323,23,5,0,33
municipality,MP315,municipality-MP315,Thembisile,65124,19,26,945,18215,45,2151,1,0,43708,14
municipality,MP316,municipality-MP316,Dr JS Moroka,51823,0,2,0,11260,0,0,0,42,40470,49
municipality,MP321,municipality-MP321,Thaba Chweu,18348,530,265,3003,10225,62,613,174,131,3334,11
municipality,MP323,municipality-MP323,Umjindi,13342,932,47,1580,9577,75,115,0,2,1006,8
municipality,MP324,municipality-MP324,Nkomazi,93073,72,160,4294,6737,84,438,20,0,81217,51
municipality,MP325,municipality-MP325,Bushbuckridge,124148,161,0,38,8016,2,265,327,0,115208,131
municipality,NW371,municipality-NW371,Moretele,36680,46,0,0,2409,0,0,0,971,33249,5
municipality,NW372,municipality-NW372,Madibeng,89373,1006,525,8764,21479,400,2559,202,972,53466,0
municipality,NW374,municipality-NW374,Kgetlengrivier,9180,0,42,2822,4479,131,1609,92,0,0,5
municipality,NW375,municipality-NW375,Moses Kotane,45215,526,7,77,2492,106,162,150,0,41691,4
municipality,NW381,municipality-NW381,Ratlou,20508,0,9,916,652,2,0,0,0,18924,5
municipality,NW382,municipality-NW382,Tswaing,23749,141,68,5824,7122,0,1345,0,80,9167,2
municipality,NW383,municipality-NW383,Mafikeng,61363,2723,294,1124,11177,108,101,0,147,45652,37
municipality,NW385,municipality-NW385,Ramotshere Moiloa,27791,186,26,2574,4497,517,0,44,63,19876,8
municipality,NW392,municipality-NW392,Naledi,11851,20,123,2165,7967,35,1059,0,0,481,1
municipality,NW393,municipality-NW393,Mamusa,11306,8,22,1252,9020,5,932,0,62,0,5
municipality,NW394,municipality-NW394,Greater Taung,34863,199,43,514,767,0,56,0,0,33280,4
municipality,NW397,municipality-NW397,Kagisano/Molopo,19202,273,0,2563,768,0,27,0,0,15569,2
municipality,NW401,municipality-NW401,Ventersdorp,10113,0,0,2421,3525,9,4157,0,0,0,1
municipality,NW402,municipality-NW402,Tlokwe City Council,33780,1146,205,1838,27326,58,1391,0,1688,126,2
municipality,NW403,municipality-NW403,City of Matlosana,71632,1314,503,4304,64870,158,317,2,125,0,39
municipality,NW404,municipality-NW404,Maquassi Hills,14285,114,0,2552,10835,17,705,2,34,0,26
