geo_code,geoid,name,total,Discouraged work-seeker-Female,Discouraged work-seeker-Male,Employed-Female,Employed-Male,Other not economically active-Female,Other not economically active-Male,Unemployed-Female,Unemployed-Male
GT483,municipality-GT483,Westonaria,20140,578,431,1376,3115,4881,4143,2946,2670
KZN211,municipality-KZN211,Vulamehlo,15936,880,745,375,461,5560,5625,1251,1039
KZN212,municipality-KZN212,Umdoni,14817,651,599,982,1238,4449,4175,1434,1289
KZN213,municipality-KZN213,Umzumbe,33441,1513,1386,762,824,12135,12540,2185,2096
KZN214,municipality-KZN214,UMuziwabantu,20550,773,617,710,966,7937,7645,993,909
KZN215,municipality-KZN215,Ezingoleni,10861,570,490,346,408,3804,3958,699,586
KZN221,municipality-KZN221,uMshwathi,22179,822,602,1716,1930,7341,7291,1344,1133
KZN222,municipality-KZN222,uMngeni,15706,501,410,1779,2215,3918,3697,1711,1475
KZN223,municipality-KZN223,Mpofana,7273,408,303,670,919,1993,1970,528,482
KZN224,municipality-KZN224,Impendle,6857,409,301,142,188,2563,2673,290,291
KZN225,municipality-KZN225,The Msunduzi,124237,4049,3636,8578,9554,37379,35965,13227,11849
KZN226,municipality-KZN226,Mkhambathini,12648,570,463,900,1192,3961,3850,859,853
KZN232,municipality-KZN232,Emnambithi/Ladysmith,46170,1789,1470,2593,3077,15331,14067,4080,3763
KZN233,municipality-KZN233,Indaka,21866,1486,959,355,307,8694,8104,1058,903
KZN234,municipality-KZN234,Umtshezi,16074,1099,995,686,859,5138,4877,1308,1112
KZN235,municipality-KZN235,Okhahlamba,26414,1731,1206,730,1069,9184,9120,1842,1532
KZN236,municipality-KZN236,Imbabazane,23912,1075,823,687,847,8677,8523,1700,1580
KZN242,municipality-KZN242,Nqutu,34987,2411,1686,877,831,13410,13157,1451,1164
KZN244,municipality-KZN244,Msinga,36125,3263,1969,745,587,13897,12755,1674,1235
KZN245,municipality-KZN245,Umvoti,20840,947,580,1377,1284,7304,6764,1455,1129
KZN252,municipality-KZN252,Newcastle,75163,2704,2291,3199,3941,25754,25510,6181,5583
KZN254,municipality-KZN254,Dannhauser,21651,998,778,592,849,7521,7768,1631,1514
KZN261,municipality-KZN261,eDumbe,17002,832,721,594,987,6057,5842,1113,856
KZN262,municipality-KZN262,UPhongolo,28090,1427,1068,1297,1657,9782,9308,1851,1700
KZN263,municipality-KZN263,Abaqulusi,42524,2003,1510,1617,2006,15082,15329,2612,2365
KZN265,municipality-KZN265,Nongoma,43229,2763,2089,1151,945,15968,15852,2555,1906
KZN266,municipality-KZN266,Ulundi,39694,2495,2003,1007,913,14375,13769,2765,2367
KZN272,municipality-KZN272,Jozini,41473,2319,1548,1320,1214,15629,15304,2275,1864
KZN273,municipality-KZN273,The Big 5 False Bay,7480,403,255,428,424,2639,2675,367,289
KZN274,municipality-KZN274,Hlabisa,15990,832,727,435,407,5690,5621,1242,1036
KZN275,municipality-KZN275,Mtubatuba,37295,1318,993,1678,1663,13922,13419,2371,1931
KZN281,municipality-KZN281,Mfolozi,26389,1098,956,906,1292,9145,8975,2207,1810
KZN283,municipality-KZN283,Ntambanana,16531,885,620,486,513,5816,5872,1211,1128
KZN284,municipality-KZN284,uMlalazi,45337,2130,1563,1711,1934,16991,16481,2415,2112
KZN285,municipality-KZN285,Mthonjaneni,9717,442,363,637,628,3307,3226,636,478
KZN286,municipality-KZN286,Nkandla,24304,1663,1255,548,477,9484,9110,1004,763
KZN291,municipality-KZN291,Mandeni,29132,1295,949,2147,2471,9082,9136,2194,1858
KZN293,municipality-KZN293,Ndwedwe,29553,1622,1344,743,968,10530,10609,2009,1728
KZN294,municipality-KZN294,Maphumulo,20652,1091,763,548,513,8312,7636,951,838
KZN431,municipality-KZN431,Ingwe,20904,989,729,595,898,7663,7649,1278,1103
KZN432,municipality-KZN432,Kwa Sani,2258,67,39,312,554,455,491,195,145
KZN434,municipality-KZN434,Ubuhlebezwe,21054,940,730,760,1035,7689,7676,1166,1058
KZN435,municipality-KZN435,Umzimkhulu,39333,2073,1567,1017,1043,15370,14045,2163,2055
LIM331,municipality-LIM331,Greater Giyani,57527,1739,1201,1205,1449,22800,22310,3722,3101
LIM332,municipality-LIM332,Greater Letaba,49849,1371,973,1243,2436,18962,19061,3115,2688
LIM333,municipality-LIM333,Greater Tzaneen,82671,2166,1671,2706,4555,30004,29298,6547,5724
LIM335,municipality-LIM335,Maruleng,20622,703,532,555,865,7712,7699,1404,1152
LIM341,municipality-LIM341,Musina,12886,383,207,1756,2604,3323,2506,1280,827
LIM342,municipality-LIM342,Mutale,20359,945,611,309,643,7587,7822,1402,1040
LIM343,municipality-LIM343,Thulamela,141557,4955,4068,2541,4530,54512,53883,9220,7848
LIM344,municipality-LIM344,Makhado,109391,3752,2805,2838,4886,40722,41024,7195,6169
LIM351,municipality-LIM351,Blouberg,36381,734,569,827,1346,15162,14718,1731,1294
LIM353,municipality-LIM353,Molemole,22480,473,379,624,1118,8121,8378,1839,1548
LIM354,municipality-LIM354,Polokwane,131205,2288,1805,6779,9695,44816,42407,12718,10697
LIM355,municipality-LIM355,Lepele-Nkumpi,47558,1369,1079,1044,1409,17528,17869,3878,3382
LIM361,municipality-LIM361,Thabazimbi,12941,240,182,1280,2866,3077,2478,1504,1314
LIM362,municipality-LIM362,Lephalale,22417,273,188,1691,3556,6775,6428,1927,1579
LIM365,municipality-LIM365,Modimolle,12379,281,207,986,1662,3863,3483,1031,866
LIM366,municipality-LIM366,Bela-Bela,11260,206,146,893,1493,3373,3186,1100,863
BUF,municipality-BUF,Buffalo City,136182,4350,3951,8844,9495,41856,39747,14441,13498
EC101,municipality-EC101,Camdeboo,8273,210,172,630,1118,2278,2097,959,809
EC105,municipality-EC105,Ndlambe,9537,422,381,703,959,2730,2604,865,873
EC122,municipality-EC122,Mnquma,49060,1598,1743,1201,1406,18583,19254,2517,2758
