geo_code,geoid,name,total,At least one employed adult,No employed adult
LIM367,municipality-LIM367,Mogalakwena,62232,25453,36779
LIM471,municipality-LIM471,Ephraim Mogale,24718,8210,16508
LIM472,municipality-LIM472,Elias Motsoaledi,51203,17382,33821
LIM473,municipality-LIM473,Makhuduthamaga,55113,12400,42713
LIM474,municipality-LIM474,Fetakgomo,18914,5729,13185
LIM475,municipality-LIM475,Greater Tubatse,70307,28731,41576
MP301,municipality-MP301,Albert Luthuli,40684,17788,22896
MP302,municipality-MP302,Msukaligwa,28422,19254,9168
MP304,municipality-MP304,Pixley Ka Seme,15662,7284,8378
MP305,municipality-MP305,Lekwa,20606,14917,5689
MP306,municipality-MP306,Dipaleseng,7842,4857,2985
MP307,municipality-MP307,Govan Mbeki,55918,41843,14075
MP312,municipality-MP312,Emalahleni,74651,57658,16993
MP313,municipality-MP313,Steve Tshwete,40865,32789,8076
MP314,municipality-MP314,Emakhazeni,8383,5700,2683
MP315,municipality-MP315,Thembisile,63929,38131,25798
MP316,municipality-MP316,Dr JS Moroka,50997,22242,28755
MP321,municipality-MP321,Thaba Chweu,16509,11850,4659
MP323,municipality-MP323,Umjindi,11900,8722,3178
MP324,municipality-MP324,Nkomazi,90696,44539,46157
MP325,municipality-MP325,Bushbuckridge,122688,44350,78338
NW371,municipality-NW371,Moretele,34588,17089,17499
NW372,municipality-NW372,Madibeng,85450,59893,25557
NW374,municipality-NW374,Kgetlengrivier,8726,5897,2829
NW375,municipality-NW375,Moses Kotane,41989,21824,20165
NW381,municipality-NW381,Ratlou,19183,4846,14337
NW382,municipality-NW382,Tswaing,22920,10807,12113
NW383,municipality-NW383,Mafikeng,57486,30243,27243
NW385,municipality-NW385,Ramotshere Moiloa,25725,9904,15821
NW392,municipality-NW392,Naledi,11692,7816,3876
NW393,municipality-NW393,Mamusa,10999,5691,5308
NW394,municipality-NW394,Greater Taung,32668,9158,23510
NW397,municipality-NW397,Kagisano/Molopo,18292,5909,12383
NW401,municipality-NW401,Ventersdorp,9771,5593,4178
NW402,municipality-NW402,Tlokwe City Council,32651,21175,11476
NW403,municipality-NW403,City of Matlosana,70032,46760,23272
NW404,municipality-NW404,Maquassi Hills,13995,7372,6623
NC061,municipality-NC061,Richtersveld,1711,1500,211
NC064,municipality-NC064,Kamiesberg,1296,780,516
NC065,municipality-NC065,Hantam,3291,2570,721
NC066,municipality-NC066,Karoo Hoogland,1594,1199,395
NC067,municipality-NC067,Khâi-Ma,2149,1697,452
NC072,municipality-NC072,Umsobomvu,4735,2672,2063
NC073,municipality-NC073,Emthanjeni,6988,4719,2269
NC074,municipality-NC074,Kareeberg,1728,1155,573
NC075,municipality-NC075,Renosterberg,1697,1035,662
NC076,municipality-NC076,Thembelihle,2670,1888,782
NC078,municipality-NC078,Siyancuma,6116,3788,2328
NC081,municipality-NC081,Mier,1119,606,513
NC082,municipality-NC082,Kai !Garib,13946,11517,2429
NC083,municipality-NC083,//Khara Hais,16570,11944,4626
NC084,municipality-NC084,!Kheis,2460,1658,802
NC086,municipality-NC086,Kgatelopele,3291,2304,987
NC091,municipality-NC091,Sol Plaatjie,43431,28671,14760
NC092,municipality-NC092,Dikgatlong,8098,4017,4081
NC093,municipality-NC093,Magareng,4342,1906,2436
NC451,municipality-NC451,Joe Morolong,15829,3916,11913
NC452,municipality-NC452,Ga-Segonyana,17690,9744,7946
NC453,municipality-NC453,Gamagara,7125,5797,1328
CPT,municipality-CPT,City of Cape Town,660413,518641,141772
WC011,municipality-WC011,Matzikama,11276,9478,1798
WC013,municipality-WC013,Bergrivier,9482,8700,782
WC014,municipality-WC014,Saldanha Bay,17030,14043,2987
WC015,municipality-WC015,Swartland,17971,15820,2151
WC022,municipality-WC022,Witzenberg,21328,19254,2074
WC023,municipality-WC023,Drakenstein,44966,37226,7740
WC025,municipality-WC025,Breede Valley,28959,24042,4917
WC026,municipality-WC026,Langeberg,16872,14283,2589
WC031,municipality-WC031,Theewaterskloof,18566,16010,2556
WC032,municipality-WC032,Overstrand,11421,9006,2415
WC034,municipality-WC034,Swellendam,5850,4962,888
WC041,municipality-WC041,Kannaland,4035,2982,1053
WC042,municipality-WC042,Hessequa,7581,6492,1089
WC043,municipality-WC043,Mossel Bay,13684,9882,3802
