geo_code,geoid,name,total,Female-Black African,Female-Coloured,Female-Indian or Asian,Female-Other,Female-White,Male-Black African,Male-Coloured,Male-Indian or Asian,Male-Other,Male-White
GT423,municipality-GT423,Lesedi,17693,7187,97,71,15,1168,7556,144,113,55,1287
GT481,municipality-GT481,Mogale City,65019,25244,265,544,73,4524,28222,249,922,154,4822
GT482,municipality-GT482,Randfontein,25615,9274,1359,38,43,1973,9454,1323,63,52,2036
GT483,municipality-GT483,Westonaria,20212,9145,73,20,27,544,9608,71,50,57,617
KZN211,municipality-KZN211,Vulamehlo,16086,8078,11,24,3,15,7905,12,22,5,11
KZN212,municipality-KZN212,Umdoni,15349,6494,73,900,16,208,6384,77,958,18,221
KZN213,municipality-KZN213,Umzumbe,33775,16691,24,21,12,18,16934,21,15,19,20
KZN214,municipality-KZN214,UMuziwabantu,20591,10305,85,24,5,19,9979,83,43,20,28
KZN215,municipality-KZN215,Ezingoleni,11106,5510,13,10,4,12,5497,16,14,4,26
KZN221,municipality-KZN221,uMshwathi,22396,11014,21,144,18,110,10708,30,171,37,143
KZN222,municipality-KZN222,uMngeni,17398,7129,158,299,7,867,7153,165,357,28,1235
KZN223,municipality-KZN223,Mpofana,7540,3488,22,60,10,103,3573,34,63,16,171
KZN224,municipality-KZN224,Impendle,6855,3387,2,2,6,6,3429,10,2,2,9
KZN225,municipality-KZN225,The Msunduzi,129978,56541,1721,5233,141,2291,54409,1742,5261,196,2443
KZN226,municipality-KZN226,Mkhambathini,12954,6231,17,48,2,88,6289,28,127,23,101
KZN232,municipality-KZN232,Emnambithi/Ladysmith,46528,22531,236,774,27,371,21102,210,910,43,324
KZN233,municipality-KZN233,Indaka,21892,11565,19,15,3,3,10226,13,32,4,12
KZN234,municipality-KZN234,Umtshezi,16342,7751,106,401,18,82,7342,96,431,22,93
KZN235,municipality-KZN235,Okhahlamba,26568,13391,12,29,15,95,12827,18,44,22,115
KZN236,municipality-KZN236,Imbabazane,23957,12132,8,10,3,12,11749,10,16,9,8
KZN242,municipality-KZN242,Nqutu,35270,18260,17,21,11,15,16878,19,21,19,9
KZN244,municipality-KZN244,Msinga,36470,19700,12,26,7,31,16630,11,23,15,15
KZN245,municipality-KZN245,Umvoti,21417,10937,96,153,9,166,9624,80,187,33,132
KZN252,municipality-KZN252,Newcastle,76486,36149,257,905,47,802,36077,296,1038,83,832
KZN254,municipality-KZN254,Dannhauser,21809,10610,27,103,6,47,10756,44,157,9,50
