geo_code,geoid,name,total,From cell phone-Female,From cell phone-Male,From elsewhere-Female,From elsewhere-Male,From home-Female,From home-Male,From work-Female,From work-Male,No access to internet-Female,No access to internet-Male
GT421,municipality-GT421,Emfuleni,137421,18020,16770,9238,8954,4780,4821,2123,2038,35218,35459
GT423,municipality-GT423,Lesedi,16920,1819,1750,479,492,612,654,332,298,5145,5339
GT481,municipality-GT481,Mogale City,60929,7386,6888,2630,2523,2850,3004,1652,1606,15679,16711
GT482,municipality-GT482,Randfontein,25309,3328,3124,940,917,1027,968,653,637,6602,7113
GT483,municipality-GT483,Westonaria,20075,2094,2046,684,670,393,435,207,263,6372,6911
KZN211,municipality-KZN211,Vulamehlo,15867,1406,1432,294,302,113,130,108,77,6113,5892
KZN212,municipality-KZN212,Umdoni,14762,1661,1531,505,503,438,457,155,161,4726,4625
KZN213,municipality-KZN213,Umzumbe,33328,2482,2362,679,650,213,186,170,205,13006,13375
KZN214,municipality-KZN214,UMuziwabantu,20483,1472,1335,434,425,195,228,99,119,8172,8004
KZN215,municipality-KZN215,Ezingoleni,10841,774,809,270,292,115,113,42,56,4207,4163
KZN221,municipality-KZN221,uMshwathi,22044,2673,2635,1830,1872,218,210,123,114,6308,6061
KZN222,municipality-KZN222,uMngeni,15569,1631,1617,658,648,710,754,261,205,4573,4512
KZN223,municipality-KZN223,Mpofana,7227,549,604,171,178,89,88,85,58,2679,2726
KZN224,municipality-KZN224,Impendle,6835,567,620,91,107,24,20,29,40,2681,2656
KZN225,municipality-KZN225,The Msunduzi,123701,14089,12733,5115,4824,4814,4479,2193,1963,36758,36733
KZN226,municipality-KZN226,Mkhambathini,12597,792,787,355,383,85,115,75,103,4955,4947
KZN232,municipality-KZN232,Emnambithi/Ladysmith,45974,4661,4442,1643,1553,1087,990,414,398,15884,14902
KZN233,municipality-KZN233,Indaka,21806,1835,1659,274,257,201,208,100,90,9152,8030
KZN234,municipality-KZN234,Umtshezi,16010,1959,1799,209,222,314,305,143,145,5575,5339
KZN235,municipality-KZN235,Okhahlamba,26301,3082,2883,415,412,186,171,155,126,9580,9291
KZN236,municipality-KZN236,Imbabazane,23837,2846,2690,417,433,270,320,141,115,8430,8175
KZN242,municipality-KZN242,Nqutu,34888,2871,2621,278,292,188,208,114,132,14644,13540
KZN244,municipality-KZN244,Msinga,35970,1859,1554,217,160,144,135,188,165,17095,14453
KZN245,municipality-KZN245,Umvoti,20766,1784,1465,260,242,317,269,148,143,8537,7601
KZN252,municipality-KZN252,Newcastle,74794,8128,7903,3064,3011,1967,1953,528,605,23960,23675
KZN254,municipality-KZN254,Dannhauser,21571,1735,1748,575,548,122,166,87,86,8184,8320
KZN261,municipality-KZN261,eDumbe,16936,1845,1787,431,398,230,230,71,84,5980,5880
KZN262,municipality-KZN262,UPhongolo,27988,2645,2655,397,358,199,220,134,157,10928,10295
KZN263,municipality-KZN263,Abaqulusi,42301,4627,4498,720,772,663,690,300,340,14896,14795
KZN265,municipality-KZN265,Nongoma,43065,5568,5035,1214,1096,332,317,222,182,15017,14082
KZN266,municipality-KZN266,Ulundi,39549,4711,4323,720,628,487,489,326,292,14323,13250
KZN272,municipality-KZN272,Jozini,41376,3716,3497,375,361,271,275,236,203,16896,15546
KZN273,municipality-KZN273,The Big 5 False Bay,7404,691,750,49,49,116,93,47,60,2896,2653
KZN274,municipality-KZN274,Hlabisa,15876,1911,1794,224,226,118,89,109,95,5789,5521
KZN275,municipality-KZN275,Mtubatuba,37034,4176,3920,625,589,650,562,343,256,13361,12552
KZN281,municipality-KZN281,Mfolozi,26096,3381,3241,578,540,268,260,210,223,8762,8633
KZN283,municipality-KZN283,Ntambanana,16458,1036,992,232,189,87,65,73,93,6932,6759
KZN284,municipality-KZN284,uMlalazi,45111,4658,4371,845,808,572,521,317,292,16757,15970
KZN285,municipality-KZN285,Mthonjaneni,9679,788,747,119,110,98,63,79,72,3923,3680
KZN286,municipality-KZN286,Nkandla,24231,2379,2070,259,259,176,144,233,215,9613,8883
KZN291,municipality-KZN291,Mandeni,29032,3345,3197,821,744,518,461,197,255,9782,9712
KZN293,municipality-KZN293,Ndwedwe,29474,2950,2811,708,621,176,140,175,165,10860,10868
KZN294,municipality-KZN294,Maphumulo,20570,1508,1316,403,412,127,131,157,113,8664,7739
