geo_code,geoid,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking
LIM342,municipality-LIM342,Mutale,19187,84,155,153,381,135,123
LIM343,municipality-LIM343,Thulamela,132916,808,1341,3917,3469,1188,831
LIM344,municipality-LIM344,Makhado,102251,595,1110,956,3119,772,753
LIM351,municipality-LIM351,Blouberg,34108,185,302,246,630,277,197
LIM353,municipality-LIM353,Molemole,20869,157,298,206,752,219,137
LIM354,municipality-LIM354,Polokwane,122419,810,1571,1211,4803,1080,816
LIM355,municipality-LIM355,Lepele-Nkumpi,44501,311,431,367,995,400,262
LIM361,municipality-LIM361,Thabazimbi,11896,163,164,130,413,113,121
LIM362,municipality-LIM362,Lephalale,20598,185,246,170,603,209,136
LIM365,municipality-LIM365,Modimolle,11590,109,201,153,467,105,95
LIM366,municipality-LIM366,Bela-Bela,10351,100,144,121,404,94,77
BUF,municipality-BUF,Buffalo City,124098,1000,1553,1740,5861,1155,1080
EC101,municipality-EC101,Camdeboo,7547,54,58,65,275,70,53
EC105,municipality-EC105,Ndlambe,8590,77,153,136,360,98,76
EC122,municipality-EC122,Mnquma,45353,643,966,1059,1833,731,515
EC128,municipality-EC128,Nxuba,3587,27,54,43,155,29,25
EC135,municipality-EC135,Intsika Yethu,24728,300,478,532,823,344,268
EC144,municipality-EC144,Gariep,5445,56,104,93,272,70,56
EC157,municipality-EC157,King Sabata Dalindyebo,91571,731,1582,1503,3303,1127,1090
NMA,municipality-NMA,Nelson Mandela Bay,187720,1555,2156,2479,7833,2124,1630
FS164,municipality-FS164,Naledi,4534,39,110,145,286,56,45
FS191,municipality-FS191,Setsoto,20129,175,484,481,1428,250,160
FS196,municipality-FS196,Mantsopa,9046,88,221,207,685,168,83
MAN,municipality-MAN,Mangaung,135217,1259,2373,3022,11281,1379,1217
EKU,municipality-EKU,Ekurhuleni,514167,3756,6330,6134,25792,4011,3824
GT422,municipality-GT422,Midvaal,13597,137,210,215,679,109,110
GT484,municipality-GT484,Merafong City,30222,291,537,487,1877,268,247
JHB,municipality-JHB,City of Johannesburg,696041,5228,7374,7550,33213,5322,5133
TSH,municipality-TSH,City of Tshwane,476983,4013,5662,5575,23709,3663,3627
ETH,municipality-ETH,eThekwini,609851,5059,8396,9150,30251,6078,5875
KZN216,municipality-KZN216,Hibiscus Coast,43764,409,718,859,1630,501,455
KZN227,municipality-KZN227,Richmond,11341,207,303,292,503,288,197
KZN241,municipality-KZN241,Endumeni,11375,82,193,165,601,109,98
KZN253,municipality-KZN253,Emadlangeni,5991,60,121,125,238,62,59
KZN271,municipality-KZN271,Umhlabuyalingana,30899,266,416,714,909,405,306
KZN282,municipality-KZN282,uMhlathuze,60660,477,817,821,2790,581,527
KZN292,municipality-KZN292,KwaDukuza,41865,417,711,793,2052,467,441
KZN433,municipality-KZN433,Greater Kokstad,12528,81,161,157,491,94,104
LIM334,municipality-LIM334,Ba-Phalaborwa,27961,135,240,217,760,210,148
LIM352,municipality-LIM352,Aganang,25846,188,420,334,926,262,197
LIM364,municipality-LIM364,Mookgopong,5667,39,54,66,159,39,39
LIM367,municipality-LIM367,Mogalakwena,59917,461,945,707,2663,709,485
LIM471,municipality-LIM471,Ephraim Mogale,23292,208,379,294,781,235,206
LIM472,municipality-LIM472,Elias Motsoaledi,48231,418,814,667,1812,628,468
LIM473,municipality-LIM473,Makhuduthamaga,51769,347,687,511,1297,578,330
LIM474,municipality-LIM474,Fetakgomo,17448,149,177,191,298,234,153
LIM475,municipality-LIM475,Greater Tubatse,65624,374,841,623,1502,644,485
MP301,municipality-MP301,Albert Luthuli,39205,281,728,658,1992,341,326
MP302,municipality-MP302,Msukaligwa,26802,217,547,400,1691,351,258
MP304,municipality-MP304,Pixley Ka Seme,14767,131,290,246,723,161,122
MP305,municipality-MP305,Lekwa,19155,132,370,297,1216,187,172
MP306,municipality-MP306,Dipaleseng,7278,66,159,128,430,82,86
MP307,municipality-MP307,Govan Mbeki,50433,468,867,796,3102,511,548
MP312,municipality-MP312,Emalahleni,67890,515,965,818,3482,611,518
MP313,municipality-MP313,Steve Tshwete,36890,297,523,506,1698,323,341
MP314,municipality-MP314,Emakhazeni,7782,59,149,109,547,58,58
MP315,municipality-MP315,Thembisile,60807,446,999,1018,2745,554,498
MP316,municipality-MP316,Dr JS Moroka,48911,361,712,654,2051,457,433
MP321,municipality-MP321,Thaba Chweu,15079,131,207,190,604,185,151
MP323,municipality-MP323,Umjindi,11123,60,150,119,447,80,67
MP324,municipality-MP324,Nkomazi,84589,586,1073,811,2296,789,721
MP325,municipality-MP325,Bushbuckridge,117364,637,1057,921,2429,885,679
NW371,municipality-NW371,Moretele,33048,303,449,503,1388,353,248
NW372,municipality-NW372,Madibeng,78853,760,1134,1054,3513,768,664
NW374,municipality-NW374,Kgetlengrivier,7803,85,130,178,353,94,92
NW375,municipality-NW375,Moses Kotane,38860,329,624,563,1759,395,310
NW381,municipality-NW381,Ratlou,18192,230,476,597,966,313,232
NW382,municipality-NW382,Tswaing,21968,187,452,580,1024,290,219
NW383,municipality-NW383,Mafikeng,53151,539,1021,1236,3410,621,569
NW385,municipality-NW385,Ramotshere Moiloa,23856,209,403,391,963,301,237
NW392,municipality-NW392,Naledi,10954,125,225,282,615,158,153
NW393,municipality-NW393,Mamusa,10429,89,216,204,472,109,124
