geo_code,geoid,name,total,Have electricity for everything-Female,Have electricity for everything-Male,Have electricity for some things-Female,Have electricity for some things-Male,No electricity-Female,No electricity-Male
KZN223,municipality-KZN223,Mpofana,7542,1098,1262,1174,1300,1412,1296
KZN224,municipality-KZN224,Impendle,6857,803,828,2134,2205,467,420
KZN225,municipality-KZN225,The Msunduzi,129977,51217,49393,10769,10861,3940,3797
KZN226,municipality-KZN226,Mkhambathini,12953,2323,2463,1913,2033,2149,2072
KZN232,municipality-KZN232,Emnambithi/Ladysmith,46528,11199,10334,8256,7968,4483,4288
KZN233,municipality-KZN233,Indaka,21894,2479,2357,3947,3621,5181,4309
KZN234,municipality-KZN234,Umtshezi,16342,2891,2728,2724,2828,2743,2428
KZN235,municipality-KZN235,Okhahlamba,26568,3062,3073,7077,6800,3403,3153
KZN236,municipality-KZN236,Imbabazane,23957,2004,2040,6481,6532,3681,3219
KZN242,municipality-KZN242,Nqutu,35270,2691,2581,6910,6352,8724,8012
KZN244,municipality-KZN244,Msinga,36469,1589,1400,2896,2677,15291,12616
KZN245,municipality-KZN245,Umvoti,21417,3444,3148,3088,2601,4828,4308
KZN252,municipality-KZN252,Newcastle,76488,25111,24843,8949,9529,4101,3955
KZN254,municipality-KZN254,Dannhauser,21808,3240,3405,5821,5927,1731,1684
KZN261,municipality-KZN261,eDumbe,17040,1322,1310,3750,3589,3531,3538
KZN262,municipality-KZN262,UPhongolo,28140,4094,3972,5986,5748,4300,4040
KZN263,municipality-KZN263,Abaqulusi,43889,8043,8149,6784,6593,7182,7138
KZN265,municipality-KZN265,Nongoma,44068,5773,5320,8715,8142,8405,7713
KZN266,municipality-KZN266,Ulundi,40778,8863,8083,6402,5886,6003,5541
KZN272,municipality-KZN272,Jozini,41608,2749,2334,2025,1933,16816,15751
KZN273,municipality-KZN273,The Big 5 False Bay,7506,500,486,492,464,2848,2716
KZN274,municipality-KZN274,Hlabisa,16161,1692,1541,2719,2642,3922,3645
KZN275,municipality-KZN275,Mtubatuba,37588,6362,5879,5917,5776,7147,6507
KZN281,municipality-KZN281,Mfolozi,26448,6003,5705,5601,5615,1770,1754
KZN283,municipality-KZN283,Ntambanana,16643,1767,1766,3661,3458,3034,2957
KZN284,municipality-KZN284,uMlalazi,45472,5880,5714,6932,6814,10505,9627
KZN285,municipality-KZN285,Mthonjaneni,9720,1030,921,2340,2257,1654,1518
KZN286,municipality-KZN286,Nkandla,24833,1321,1184,4553,4220,7145,6410
