geo_code,geoid,name,total,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+
NC075,municipality-NC075,Renosterberg,10217,2489,1074,757,676,528,412,421,850,515,586,510,473,422,504
NC076,municipality-NC076,Thembelihle,14498,3128,1521,1046,944,781,422,643,1326,975,934,842,699,588,649
NC078,municipality-NC078,Siyancuma,32486,7733,3943,2752,2352,1872,1142,1611,2469,1568,1884,1593,1268,1032,1267
NC081,municipality-NC081,Mier,6305,1567,732,473,465,324,240,366,455,330,309,294,245,223,282
NC082,municipality-NC082,Kai !Garib,59672,10393,5357,3786,3365,2622,1540,1913,4326,7357,7255,4262,3059,2060,2377
NC083,municipality-NC083,//Khara Hais,84662,15699,8512,5552,5015,3828,2255,3048,9571,6712,6894,6002,4701,3109,3764
NC084,municipality-NC084,!Kheis,15301,4370,1619,1334,1217,916,577,580,1034,725,836,663,546,470,414
NC086,municipality-NC086,Kgatelopele,17051,2917,1624,1091,825,751,469,551,2056,1409,1707,1378,1129,607,537
NC091,municipality-NC091,Sol Plaatjie,223314,36378,21669,15677,12320,9459,6195,8879,25324,17381,19956,16875,12670,8903,11628
NC092,municipality-NC092,Dikgatlong,41528,10160,5244,3905,3102,2410,1485,2138,2778,1953,2179,1850,1473,1252,1599
NC093,municipality-NC093,Magareng,22341,5317,2987,1897,1485,1271,912,1610,1325,960,1006,937,825,687,1122
NC451,municipality-NC451,Joe Morolong,79010,28862,12406,6803,4944,4538,3775,4093,3114,1990,2055,1762,1640,1373,1655
NC452,municipality-NC452,Ga-Segonyana,82111,19650,10092,6542,4705,3536,2516,2046,8458,5504,6722,5004,3556,2071,1709
NC453,municipality-NC453,Gamagara,34634,4498,2665,1916,1456,1107,646,768,4549,3653,5919,3386,2180,1183,708
CPT,municipality-CPT,City of Cape Town,3085056,386636,235174,196850,142807,100478,54827,34953,411960,319080,387471,297075,232485,152731,132529
WC011,municipality-WC011,Matzikama,61346,9846,5062,3803,3465,2696,1397,1019,7127,5470,5619,5075,4707,3245,2815
WC013,municipality-WC013,Bergrivier,53403,6901,3301,2654,2760,1866,1026,701,7102,5485,5426,5276,4589,3371,2945
WC014,municipality-WC014,Saldanha Bay,84660,10240,5991,4772,4042,2822,1497,891,12282,9048,9973,8454,6766,4427,3455
WC015,municipality-WC015,Swartland,94864,12798,6663,5206,5009,3497,1840,1104,13006,9749,9775,9153,7491,5136,4437
WC022,municipality-WC022,Witzenberg,107566,16194,9382,7568,6671,4452,2360,1408,11703,10606,12599,9857,7347,4253,3166
WC023,municipality-WC023,Drakenstein,208249,27189,16506,11942,10804,7979,4424,2938,28067,21798,21013,19815,17192,10310,8272
WC025,municipality-WC025,Breede Valley,145157,23744,12546,9129,8422,5775,3393,2064,18322,13352,13756,12138,10493,6747,5276
WC026,municipality-WC026,Langeberg,88284,16281,8632,6367,6102,4196,2152,1396,9459,6960,6911,6371,5771,3942,3744
WC031,municipality-WC031,Theewaterskloof,92548,13662,7802,6442,5730,4013,2097,1222,10985,8606,9524,8254,6718,4165,3328
WC032,municipality-WC032,Overstrand,63860,7782,4393,4795,3237,1954,946,678,6766,4823,6817,5412,4310,4741,7206
WC034,municipality-WC034,Swellendam,32815,5296,2676,2045,2014,1527,729,479,3632,2826,2862,2653,2491,1787,1798
WC041,municipality-WC041,Kannaland,22688,4990,2593,1871,1828,1413,862,598,1741,1211,1080,1180,1207,971,1143
WC042,municipality-WC042,Hessequa,47743,6729,3467,2752,2719,2171,1246,859,5284,3672,3802,3849,3756,3316,4121
WC043,municipality-WC043,Mossel Bay,65615,8608,5017,4329,3610,2592,1488,1009,6907,5195,6122,5509,4843,4605,5781
