geo_code,geoid,name,total,Do not know-Female,Do not know-Male,Formal sector-Female,Formal sector-Male,Informal sector-Female,Informal sector-Male,Private household-Female,Private household-Male
KZN223,municipality-KZN223,Mpofana,1683,43,46,485,582,139,272,36,80
KZN224,municipality-KZN224,Impendle,342,5,16,115,143,19,27,8,9
KZN225,municipality-KZN225,The Msunduzi,18982,223,301,6807,7583,921,1387,902,858
KZN226,municipality-KZN226,Mkhambathini,2190,31,60,630,822,206,266,72,103
KZN232,municipality-KZN232,Emnambithi/Ladysmith,5979,51,84,2111,2464,350,494,196,229
KZN233,municipality-KZN233,Indaka,700,1,6,328,263,36,45,9,12
KZN234,municipality-KZN234,Umtshezi,1620,27,32,543,673,103,153,38,51
KZN235,municipality-KZN235,Okhahlamba,1909,23,25,585,738,131,263,37,107
KZN236,municipality-KZN236,Imbabazane,1611,17,35,591,694,74,118,35,47
KZN242,municipality-KZN242,Nqutu,1789,6,13,630,597,86,128,201,128
KZN244,municipality-KZN244,Msinga,1389,6,5,659,506,81,71,28,33
KZN245,municipality-KZN245,Umvoti,2779,52,44,843,793,414,401,118,114
KZN252,municipality-KZN252,Newcastle,7587,111,178,2549,3084,452,651,241,321
KZN254,municipality-KZN254,Dannhauser,1542,28,31,442,519,125,211,37,149
KZN261,municipality-KZN261,eDumbe,1698,18,28,452,586,126,365,41,82
KZN262,municipality-KZN262,UPhongolo,3097,116,135,818,1017,311,461,119,120
KZN263,municipality-KZN263,Abaqulusi,3863,38,40,1358,1584,189,389,135,130
KZN265,municipality-KZN265,Nongoma,2204,11,8,1018,813,105,136,75,38
KZN266,municipality-KZN266,Ulundi,2032,10,15,832,742,122,135,98,78
KZN272,municipality-KZN272,Jozini,2672,25,33,1124,979,161,171,81,98
KZN273,municipality-KZN273,The Big 5 False Bay,897,16,18,298,297,60,69,71,68
KZN274,municipality-KZN274,Hlabisa,895,9,12,383,323,50,60,25,33
KZN275,municipality-KZN275,Mtubatuba,3531,73,108,1201,1130,278,354,225,162
KZN281,municipality-KZN281,Mfolozi,2325,22,29,735,1010,147,266,56,60
KZN283,municipality-KZN283,Ntambanana,1054,11,10,433,424,48,86,18,24
KZN284,municipality-KZN284,uMlalazi,3844,76,131,1332,1432,233,298,158,184
KZN285,municipality-KZN285,Mthonjaneni,1361,38,26,549,542,56,78,37,35
KZN286,municipality-KZN286,Nkandla,1077,11,12,498,420,54,57,15,10
KZN291,municipality-KZN291,Mandeni,4864,40,48,1785,2096,288,346,137,124
KZN293,municipality-KZN293,Ndwedwe,1802,10,25,562,583,175,359,45,43
KZN294,municipality-KZN294,Maphumulo,1113,2,4,493,462,59,63,22,8
KZN431,municipality-KZN431,Ingwe,1567,29,66,434,545,114,242,45,92
KZN432,municipality-KZN432,Kwa Sani,902,26,90,226,344,38,94,34,50
KZN434,municipality-KZN434,Ubuhlebezwe,1886,17,50,619,785,119,204,39,53
KZN435,municipality-KZN435,Umzimkhulu,2161,25,25,847,808,112,190,77,77
LIM331,municipality-LIM331,Greater Giyani,2665,26,18,944,998,141,275,91,172
LIM332,municipality-LIM332,Greater Letaba,4015,30,86,856,1516,350,835,84,258
LIM333,municipality-LIM333,Greater Tzaneen,7792,81,127,1934,2945,452,1098,322,833
LIM335,municipality-LIM335,Maruleng,1529,8,30,410,520,119,243,49,150
LIM341,municipality-LIM341,Musina,4961,67,90,1152,1722,459,881,233,357
LIM342,municipality-LIM342,Mutale,965,2,3,234,355,49,144,22,156
LIM343,municipality-LIM343,Thulamela,7159,23,70,1725,2233,459,1476,284,889
LIM344,municipality-LIM344,Makhado,8197,59,99,1971,2694,516,1469,374,1015
LIM351,municipality-LIM351,Blouberg,2398,14,23,473,669,249,483,145,342
