geo_code,geoid,name,total,No,Unspecified,Yes
EC143,municipality-EC143,Maletswai,8097,102,23,7972
EC153,municipality-EC153,Ngquza Hill,59427,205,217,59005
EC154,municipality-EC154,Port St Johns,34389,52,161,34176
EC155,municipality-EC155,Nyandeni,64655,183,313,64159
EC156,municipality-EC156,Mhlontlo,40277,136,258,39883
EC441,municipality-EC441,Matatiele,41021,701,361,39959
EC442,municipality-EC442,Umzimvubu,39664,163,323,39178
EC443,municipality-EC443,Mbizana,60208,129,338,59741
EC444,municipality-EC444,Ntabankulu,26569,84,75,26410
FS161,municipality-FS161,Letsemeng,6733,60,7,6666
FS162,municipality-FS162,Kopanong,8384,104,11,8269
FS163,municipality-FS163,Mohokare,6421,118,6,6297
FS181,municipality-FS181,Masilonyana,10944,158,61,10725
FS182,municipality-FS182,Tokologo,4970,63,13,4894
FS183,municipality-FS183,Tswelopele,8870,84,8,8778
FS184,municipality-FS184,Matjhabeng,75962,2963,214,72785
FS185,municipality-FS185,Nala,14927,148,33,14746
FS192,municipality-FS192,Dihlabeng,22404,279,33,22092
FS193,municipality-FS193,Nketoana,11392,90,16,11286
FS194,municipality-FS194,Maluti a Phofung,72911,511,137,72263
FS195,municipality-FS195,Phumelela,8899,114,4,8781
FS201,municipality-FS201,Moqhaka,26470,325,57,26088
FS203,municipality-FS203,Ngwathe,21159,317,42,20800
FS204,municipality-FS204,Metsimaholo,26671,569,94,26008
FS205,municipality-FS205,Mafube,10803,110,30,10663
GT421,municipality-GT421,Emfuleni,137855,4852,703,132300
GT423,municipality-GT423,Lesedi,16975,677,84,16214
GT481,municipality-GT481,Mogale City,61201,4591,379,56231
GT482,municipality-GT482,Randfontein,25429,1128,133,24168
GT483,municipality-GT483,Westonaria,20140,2536,128,17476
KZN211,municipality-KZN211,Vulamehlo,15935,13,104,15818
KZN212,municipality-KZN212,Umdoni,14818,52,75,14691
KZN213,municipality-KZN213,Umzumbe,33441,61,115,33265
KZN214,municipality-KZN214,UMuziwabantu,20550,45,56,20449
KZN215,municipality-KZN215,Ezingoleni,10861,21,21,10819
KZN221,municipality-KZN221,uMshwathi,22178,190,103,21885
KZN222,municipality-KZN222,uMngeni,15706,550,90,15066
KZN223,municipality-KZN223,Mpofana,7273,87,54,7132
KZN224,municipality-KZN224,Impendle,6857,24,25,6808
KZN225,municipality-KZN225,The Msunduzi,124237,1762,608,121867
KZN226,municipality-KZN226,Mkhambathini,12647,135,17,12495
KZN232,municipality-KZN232,Emnambithi/Ladysmith,46170,376,207,45587
KZN233,municipality-KZN233,Indaka,21866,26,68,21772
KZN234,municipality-KZN234,Umtshezi,16072,116,90,15866
KZN235,municipality-KZN235,Okhahlamba,26415,159,55,26201
KZN236,municipality-KZN236,Imbabazane,23912,31,102,23779
KZN242,municipality-KZN242,Nqutu,34986,90,60,34836
KZN244,municipality-KZN244,Msinga,36125,58,172,35895
KZN245,municipality-KZN245,Umvoti,20838,121,63,20654
KZN252,municipality-KZN252,Newcastle,75163,644,280,74239
KZN254,municipality-KZN254,Dannhauser,21651,63,29,21559
KZN261,municipality-KZN261,eDumbe,17002,165,61,16776
KZN262,municipality-KZN262,UPhongolo,28089,589,96,27404
KZN263,municipality-KZN263,Abaqulusi,42523,241,225,42057
KZN265,municipality-KZN265,Nongoma,43231,107,230,42894
KZN266,municipality-KZN266,Ulundi,39695,147,143,39405
KZN272,municipality-KZN272,Jozini,41474,310,172,40992
KZN273,municipality-KZN273,The Big 5 False Bay,7481,56,126,7299
KZN274,municipality-KZN274,Hlabisa,15989,33,76,15880
KZN275,municipality-KZN275,Mtubatuba,37293,311,276,36706
KZN281,municipality-KZN281,Mfolozi,26388,134,226,26028
KZN283,municipality-KZN283,Ntambanana,16530,39,125,16366
KZN284,municipality-KZN284,uMlalazi,45337,296,250,44791
KZN285,municipality-KZN285,Mthonjaneni,9718,89,26,9603
KZN286,municipality-KZN286,Nkandla,24302,40,72,24190
KZN291,municipality-KZN291,Mandeni,29135,376,109,28650
KZN293,municipality-KZN293,Ndwedwe,29554,73,114,29367
KZN294,municipality-KZN294,Maphumulo,20652,45,126,20481
KZN431,municipality-KZN431,Ingwe,20904,92,72,20740
KZN432,municipality-KZN432,Kwa Sani,2258,23,9,2226
KZN434,municipality-KZN434,Ubuhlebezwe,21054,68,94,20892
KZN435,municipality-KZN435,Umzimkhulu,39335,94,240,39001
LIM331,municipality-LIM331,Greater Giyani,57527,1240,160,56127
LIM332,municipality-LIM332,Greater Letaba,49850,1752,134,47964
LIM333,municipality-LIM333,Greater Tzaneen,82671,2103,202,80366
LIM335,municipality-LIM335,Maruleng,20622,261,62,20299
LIM341,municipality-LIM341,Musina,12886,4274,129,8483
LIM342,municipality-LIM342,Mutale,20359,384,70,19905
LIM343,municipality-LIM343,Thulamela,141558,4458,402,136698
LIM344,municipality-LIM344,Makhado,109391,3639,334,105418
LIM351,municipality-LIM351,Blouberg,36381,850,94,35437
LIM353,municipality-LIM353,Molemole,22480,993,51,21436
LIM354,municipality-LIM354,Polokwane,131206,4638,385,126183
LIM355,municipality-LIM355,Lepele-Nkumpi,47559,734,121,46704
LIM361,municipality-LIM361,Thabazimbi,12940,1162,61,11717
LIM362,municipality-LIM362,Lephalale,22419,1469,94,20856
LIM365,municipality-LIM365,Modimolle,12380,787,56,11537
LIM366,municipality-LIM366,Bela-Bela,11262,572,36,10654
BUF,municipality-BUF,Buffalo City,136181,1370,641,134170
EC101,municipality-EC101,Camdeboo,8274,31,32,8211
EC105,municipality-EC105,Ndlambe,9536,158,41,9337
EC122,municipality-EC122,Mnquma,49060,170,189,48701
EC128,municipality-EC128,Nxuba,3877,51,9,3817
EC135,municipality-EC135,Intsika Yethu,26432,224,111,26097
EC144,municipality-EC144,Gariep,5799,66,18,5715
EC157,municipality-EC157,King Sabata Dalindyebo,99986,733,466,98787
NMA,municipality-NMA,Nelson Mandela Bay,208282,3670,973,203639
FS164,municipality-FS164,Naledi,4785,126,10,4649
FS191,municipality-FS191,Setsoto,21337,426,34,20877
FS196,municipality-FS196,Mantsopa,9643,274,18,9351
MAN,municipality-MAN,Mangaung,146807,4040,433,142334
EKU,municipality-EKU,Ekurhuleni,564110,37309,3470,523331
GT422,municipality-GT422,Midvaal,15038,1246,133,13659
GT484,municipality-GT484,Merafong City,33221,2385,206,30630
JHB,municipality-JHB,City of Johannesburg,767187,88966,6756,671465
