,mun_name,mun_code,account_type,label,total_amount
2013,AUDA,FS196,Mantsopa,Total,21244102
2013,AUDA,FS201,Moqhaka,Total,113463607
2013,AUDA,FS204,Metsimaholo,Total,132912373
2013,AUDA,FS205,Mafube,Total,150196325
2013,AUDA,GT421,Emfuleni,Total,667692097
2013,AUDA,GT422,Midvaal,Total,60245869
2013,AUDA,GT423,Lesedi,Total,61900185
2013,AUDA,GT481,Mogale City,Total,227140044
2013,AUDA,GT483,Westonaria,Total,81002127
2013,AUDA,GT484,Merafong City,Total,80674846
2013,AUDA,JHB,City of Johannesburg,Total,8808261000
2013,AUDA,KZN211,Vulamehlo,Total,884754
2013,AUDA,KZN212,Umdoni,Total,7731289
2013,AUDA,KZN214,uMuziwabantu,Total,9554033
2013,AUDA,KZN215,Ezingoleni,Total,3991757
2013,AUDA,KZN216,Ray Nkonyeni,Total,0
2013,AUDA,KZN221,uMshwathi,Total,1362049
2013,AUDA,KZN222,uMngeni,Total,26817330
2013,AUDA,KZN223,Mpofana,Total,0
2013,AUDA,KZN225,The Msunduzi,Total,551543722
2013,AUDA,KZN226,Mkhambathini,Total,1127863
2013,AUDA,KZN232,Emnambithi/Ladysmith,Total,71182375
2013,AUDA,KZN233,Indaka,Total,9672830
2013,AUDA,KZN234,Umtshezi,Total,185139726
2013,AUDA,KZN235,Okhahlamba,Total,13115706
2013,AUDA,KZN236,Imbabazane,Total,1407404
2013,AUDA,KZN241,Endumeni,Total,25744838
2013,AUDA,KZN242,Nqutu,Total,3910710
2013,AUDA,KZN244,Msinga,Total,2460591
2013,AUDA,KZN245,Umvoti,Total,21969427
2013,AUDA,KZN252,Newcastle,Total,160336293
2013,AUDA,KZN253,Emadlangeni,Total,1818358
2013,AUDA,KZN254,Dannhauser,Total,2212404
2013,AUDA,KZN261,eDumbe,Total,5182043
2013,AUDA,KZN262,uPhongolo,Total,5055465
2013,AUDA,KZN263,Abaqulusi,Total,29608605
2013,AUDA,KZN265,Nongoma,Total,9448056
2013,AUDA,KZN266,Ulundi,Total,71957024
2013,AUDA,KZN272,Jozini,Total,3373898
2013,AUDA,KZN273,The Big 5 False Bay,Total,6292677
2013,AUDA,KZN274,Hlabisa,Total,2278502
2013,AUDA,KZN275,Mtubatuba,Total,8039990
2013,AUDA,KZN281,Mfolozi,Total,15678916
2013,AUDA,KZN282,uMhlathuze,Total,250275664
2013,AUDA,KZN283,Ntambanana,Total,432385
2013,AUDA,KZN284,uMlalazi,Total,22337232
2013,AUDA,KZN285,Mthonjaneni,Total,3555805
2013,AUDA,KZN286,Nkandla,Total,42510958
2013,AUDA,KZN291,Mandeni,Total,5698119
2013,AUDA,KZN292,KwaDukuza,Total,159904126
2013,AUDA,KZN293,Ndwedwe,Total,9709002
2013,AUDA,KZN294,Maphumulo,Total,12296833
2013,AUDA,KZN431,Ingwe,Total,4276478
2013,AUDA,KZN432,Kwa Sani,Total,8346463
2013,AUDA,KZN433,Greater Kokstad,Total,8107531
2013,AUDA,KZN434,Ubuhlebezwe,Total,456462
2013,AUDA,KZN435,Umzimkhulu,Total,96072176
2013,AUDA,LIM331,Greater Giyani,Total,0
2013,AUDA,LIM332,Greater Letaba,Total,1688859
2013,AUDA,LIM333,Greater Tzaneen,Total,2080968
2013,AUDA,LIM334,Ba-Phalaborwa,Total,4121
2013,AUDA,LIM335,Maruleng,Total,2140857
2013,AUDA,LIM341,Musina,Total,41291
2013,AUDA,LIM343,Thulamela,Total,10949972
2013,AUDA,LIM344,Makhado,Total,120301638
2013,AUDA,LIM351,Blouberg,Total,4699019
2013,AUDA,LIM352,Aganang,Total,7833003
2013,AUDA,LIM354,Polokwane,Total,288469461
2013,AUDA,LIM355,Lepele-Nkumpi,Total,50893419
2013,AUDA,LIM361,Thabazimbi,Total,111047087
2013,AUDA,LIM362,Lephalale,Total,0
2013,AUDA,LIM364,Mookgopong,Total,19174957
2013,AUDA,LIM365,Modimolle,Total,4012809
2013,AUDA,LIM366,Bela-Bela,Total,16566358
2013,AUDA,LIM367,Mogalakwena,Total,45026930
2013,AUDA,LIM471,Ephraim Mogale,Total,24345600
2013,AUDA,LIM473,Makhuduthamaga,Total,18318646
2013,AUDA,MAN,Mangaung,Total,929711885
2013,AUDA,MP301,Chief Albert Luthuli,Total,40091640
2013,AUDA,MP302,Msukaligwa,Total,191307904
2013,AUDA,MP303,Mkhondo,Total,80941957
2013,AUDA,MP304,Dr Pixley Ka Isaka Seme,Total,30632614
2013,AUDA,MP305,Lekwa,Total,233587161
2013,AUDA,MP306,Dipaleseng,Total,14661486
2013,AUDA,MP307,Govan Mbeki,Total,274510572
2013,AUDA,MP313,Steve Tshwete,Total,129946381
2013,AUDA,MP314,Emakhazeni,Total,61852300
2013,AUDA,MP315,Thembisile,Total,65673409
2013,AUDA,MP316,Dr JS Moroka,Total,643031
2013,AUDA,MP321,Thaba Chweu,Total,260664484
2013,AUDA,MP322,Mbombela,Total,179893399
2013,AUDA,MP323,Umjindi,Total,16296561
2013,AUDA,MP324,Nkomazi,Total,110087800
2013,AUDA,NC062,Nama Khoi,Total,49679479
2013,AUDA,NC064,Kamiesberg,Total,14043684
2013,AUDA,NC065,Hantam,Total,2411713
2013,AUDA,NC066,Karoo Hoogland,Total,10540074
2013,AUDA,NC067,Khâi-Ma,Total,7338292
2013,AUDA,NC071,Ubuntu,Total,3409319
2013,AUDA,NC072,Umsobomvu,Total,18110353
2013,AUDA,NC073,Emthanjeni,Total,12348959
2013,AUDA,NC074,Kareeberg,Total,0
2013,AUDA,NC076,Thembelihle,Total,12595843
2013,AUDA,NC078,Siyancuma,Total,11384752
2013,AUDA,NC081,Mier,Total,6540609
2013,AUDA,NC082,Kai !Garib,Total,13800361
2013,AUDA,NC083,//Khara Hais,Total,43385213
2013,AUDA,NC085,Tsantsabane,Total,78249605
2013,AUDA,NC091,Sol Plaatjie,Total,114772655
2013,AUDA,NC451,Joe Morolong,Total,27948577
2013,AUDA,NC452,Ga-Segonyana,Total,11867980
2013,AUDA,NMA,Nelson Mandela Bay,Total,1862686827
2013,AUDA,NW371,Moretele,Total,122592837
2013,AUDA,NW372,Local Municipality of Madibeng,Total,75871301
2013,AUDA,NW373,Rustenburg,Total,1818022
2013,AUDA,NW374,Kgetlengrivier,Total,13003274
2013,AUDA,NW383,Mafikeng,Total,137450580
2013,AUDA,NW384,Ditsobotla,Total,66905085
2013,AUDA,NW385,Ramotshere Moiloa,Total,143703
2013,AUDA,NW392,Naledi,Total,146890641
2013,AUDA,NW397,Kagisano/Molopo,Total,13549755
2013,AUDA,NW401,Ventersdorp,Total,46229479
2013,AUDA,NW402,Tlokwe City Council,Total,73556670
2013,AUDA,NW404,Maquassi Hills,Total,57548670
2013,AUDA,TSH,City of Tshwane,Total,5383911854
2013,AUDA,WC011,Matzikama,Total,23935678
2013,AUDA,WC012,Cederberg,Total,38501281
2013,AUDA,WC013,Bergrivier,Total,1340152
2013,AUDA,WC014,Saldanha Bay,Total,81656440
2013,AUDA,WC015,Swartland,Total,43771409
2013,AUDA,WC022,Witzenberg,Total,17025808
2013,AUDA,WC023,Drakenstein,Total,193476306
2013,AUDA,WC024,Stellenbosch,Total,111390647
2013,AUDA,WC025,Breede Valley,Total,99953249
2013,AUDA,WC026,Langeberg,Total,34299760
2013,AUDA,WC031,Theewaterskloof,Total,46830693
2013,AUDA,WC032,Overstrand,Total,27282023
2013,AUDA,WC033,Cape Agulhas,Total,1861038
2013,AUDA,WC034,Swellendam,Total,18805197
2013,AUDA,WC041,Kannaland,Total,0
2013,AUDA,WC042,Hessequa,Total,27488167
2013,AUDA,WC043,Mossel Bay,Total,3693063
2013,AUDA,WC044,George,Total,56752591
2013,AUDA,WC045,Oudtshoorn,Total,26220779
2013,AUDA,WC047,Bitou,Total,55098272
2013,AUDA,WC048,Knysna,Total,55083169
2013,AUDA,WC051,Laingsburg,Total,1900554
2013,AUDA,WC052,Prince Albert,Total,437718
2013,AUDA,WC053,Beaufort West,Total,21202030
2014,AUDA,BUF,Buffalo City,Total,628411818
2014,AUDA,CPT,City of Cape Town,Total,147848248
2014,AUDA,DC1,West Coast,Total,22903686
2014,AUDA,DC10,Cacadu,Total,821253
2014,AUDA,DC12,Amathole,Total,-83879263
2014,AUDA,DC13,Chris Hani,Total,124440534
2014,AUDA,DC14,Joe Gqabi,Total,64916157
2014,AUDA,DC16,Xhariep,Total,5678208
2014,AUDA,DC18,Lejweleputswa,Total,7048520
2014,AUDA,DC19,Thabo Mofutsanyane,Total,28321971
2014,AUDA,DC2,Cape Winelands,Total,1199765
2014,AUDA,DC21,Ugu,Total,135304553
2014,AUDA,DC22,Umgungundlovu,Total,45013412
2014,AUDA,DC23,Uthukela,Total,74105550
2014,AUDA,DC24,Umzinyathi,Total,61508318
2014,AUDA,DC25,Amajuba,Total,26395069
2014,AUDA,DC26,Zululand,Total,95879395
2014,AUDA,DC27,Umkhanyakude,Total,113127117
2014,AUDA,DC28,Uthungulu,Total,163569776
2014,AUDA,DC29,iLembe,Total,50208506
2014,AUDA,DC3,Overberg,Total,2270014
2014,AUDA,DC30,Gert Sibande,Total,67110133
2014,AUDA,DC31,Nkangala,Total,33432864
2014,AUDA,DC32,Ehlanzeni,Total,45266000
2014,AUDA,DC33,Mopani,Total,262235221
2014,AUDA,DC34,Vhembe,Total,25115210
2014,AUDA,DC35,Capricorn,Total,261887532
2014,AUDA,DC36,Waterberg,Total,8632272
2014,AUDA,DC37,Bojanala,Total,49363289
2014,AUDA,DC38,Ngaka Modiri Molema,Total,471850570
2014,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total,1504241
2014,AUDA,DC4,Eden,Total,21818059
2014,AUDA,DC40,Dr Kenneth Kaunda,Total,30461090
2014,AUDA,DC42,Sedibeng,Total,77439259
2014,AUDA,DC43,Harry Gwala,Total,56752956
2014,AUDA,DC44,Alfred Nzo,Total,107926953
2014,AUDA,DC47,Sekhukhune,Total,481530415
2014,AUDA,DC48,West Rand,Total,788
2014,AUDA,DC5,Central Karoo,Total,5723477
2014,AUDA,DC6,Namakwa,Total,2825423
2014,AUDA,DC7,Pixley ka Seme,Total,7462052
2014,AUDA,DC8,Z F Mgcawu,Total,4968647
2014,AUDA,DC9,Frances Baard,Total,6219361
2014,AUDA,EC101,Dr Beyers Naude,Total,2551182
2014,AUDA,EC102,Blue Crane Route,Total,26746826
2014,AUDA,EC103,Ikwezi,Total,19397932
2014,AUDA,EC104,Makana,Total,0
2014,AUDA,EC105,Ndlambe,Total,136896404
2014,AUDA,EC107,Baviaans,Total,18047758
2014,AUDA,EC108,Kouga,Total,98265412
2014,AUDA,EC109,Kou-Kamma,Total,9499213
2014,AUDA,EC121,Mbhashe,Total,8354963
2014,AUDA,EC122,Mnquma,Total,12253472
2014,AUDA,EC123,Great Kei,Total,7440991
2014,AUDA,EC124,Amahlathi,Total,14437538
2014,AUDA,EC126,Ngqushwa,Total,-5219746
2014,AUDA,EC127,Nkonkobe,Total,76542655
2014,AUDA,EC128,Nxuba,Total,44920650
2014,AUDA,EC131,Inxuba Yethemba,Total,66221119
2014,AUDA,EC132,Tsolwana,Total,3478714
2014,AUDA,EC133,Inkwanca,Total,17109195
2014,AUDA,EC134,Lukanji,Total,27065745
2014,AUDA,EC135,Intsika Yethu,Total,40043338
2014,AUDA,EC136,Emalahleni,Total,14893408
2014,AUDA,EC137,Engcobo,Total,16287278
2014,AUDA,EC138,Sakhisizwe,Total,6224897
2014,AUDA,EC141,Elundini,Total,24229504
2014,AUDA,EC142,Senqu,Total,779114
2014,AUDA,EC143,Maletswai,Total,58980809
2014,AUDA,EC144,Gariep,Total,51008558
2014,AUDA,EC153,Ngquza Hill,Total,0
2014,AUDA,EC156,Mhlontlo,Total,-44838861
2014,AUDA,EC157,King Sabata Dalindyebo,Total,88821403
2014,AUDA,EC441,Matatiele,Total,12062921
2014,AUDA,EC442,Umzimvubu,Total,901225
2014,AUDA,EC443,Mbizana,Total,18658490
2014,AUDA,EC444,Ntabankulu,Total,6165163
2014,AUDA,FS161,Letsemeng,Total,10107197
2014,AUDA,FS162,Kopanong,Total,76675694
2014,AUDA,FS163,Mohokare,Total,23685662
2014,AUDA,FS164,Naledi,Total,6894055
2014,AUDA,FS181,Masilonyana,Total,20213193
2014,AUDA,FS182,Tokologo,Total,14117123
2014,AUDA,FS183,Tswelopele,Total,6664178
2014,AUDA,FS184,Matjhabeng,Total,1384652486
2014,AUDA,FS185,Nala,Total,177443895
2014,AUDA,FS192,Dihlabeng,Total,85053828
2014,AUDA,FS193,Nketoana,Total,88310347
2014,AUDA,FS195,Phumelela,Total,64978618
2014,AUDA,FS196,Mantsopa,Total,42675693
2014,AUDA,FS201,Moqhaka,Total,77178095
2014,AUDA,FS204,Metsimaholo,Total,129254641
2014,AUDA,FS205,Mafube,Total,171009712
2014,AUDA,GT421,Emfuleni,Total,486203122
2014,AUDA,GT422,Midvaal,Total,51590889
2014,AUDA,GT423,Lesedi,Total,52011887
2014,AUDA,GT481,Mogale City,Total,438022295
2014,AUDA,GT482,Randfontein,Total,220574200
2014,AUDA,JHB,City of Johannesburg,Total,9023360000
2014,AUDA,KZN211,Vulamehlo,Total,0
2014,AUDA,KZN212,Umdoni,Total,9948127
2014,AUDA,KZN213,Umzumbe,Total,8650
2014,AUDA,KZN214,uMuziwabantu,Total,557845
2014,AUDA,KZN215,Ezingoleni,Total,2872917
2014,AUDA,KZN216,Ray Nkonyeni,Total,0
2014,AUDA,KZN221,uMshwathi,Total,4765746
2014,AUDA,KZN222,uMngeni,Total,11929705
2014,AUDA,KZN223,Mpofana,Total,447156
2014,AUDA,KZN224,Impendle,Total,0
2014,AUDA,KZN225,The Msunduzi,Total,502451432
2014,AUDA,KZN226,Mkhambathini,Total,641292
2014,AUDA,KZN232,Emnambithi/Ladysmith,Total,52876982
2014,AUDA,KZN233,Indaka,Total,5929956
2014,AUDA,KZN234,Umtshezi,Total,40074951
2014,AUDA,KZN235,Okhahlamba,Total,21943427
2014,AUDA,KZN236,Imbabazane,Total,78120
2014,AUDA,KZN241,Endumeni,Total,26364757
2014,AUDA,KZN242,Nqutu,Total,4349992
2014,AUDA,KZN244,Msinga,Total,2460591
2014,AUDA,KZN245,Umvoti,Total,49719945
2014,AUDA,KZN252,Newcastle,Total,317754754
2014,AUDA,KZN253,Emadlangeni,Total,2453915
2014,AUDA,KZN254,Dannhauser,Total,996353
2014,AUDA,KZN261,eDumbe,Total,13591210
2014,AUDA,KZN262,uPhongolo,Total,537956
2014,AUDA,KZN263,Abaqulusi,Total,22611266
2014,AUDA,KZN265,Nongoma,Total,5454585
2014,AUDA,KZN272,Jozini,Total,5552757
2014,AUDA,KZN273,The Big 5 False Bay,Total,6292677
2014,AUDA,KZN274,Hlabisa,Total,9538874
2014,AUDA,KZN275,Mtubatuba,Total,7588159
2014,AUDA,KZN281,Mfolozi,Total,9502140
2014,AUDA,KZN282,uMhlathuze,Total,339257657
2014,AUDA,KZN283,Ntambanana,Total,1571129
2014,AUDA,KZN284,uMlalazi,Total,234436301
2014,AUDA,KZN285,Mthonjaneni,Total,608686
2014,AUDA,KZN286,Nkandla,Total,12230642
2014,AUDA,KZN291,Mandeni,Total,1083474
2014,AUDA,KZN292,KwaDukuza,Total,172631807
2014,AUDA,KZN293,Ndwedwe,Total,2405793
2014,AUDA,KZN294,Maphumulo,Total,14170540
2014,AUDA,KZN432,Kwa Sani,Total,12721857
2014,AUDA,KZN433,Greater Kokstad,Total,4416525
2014,AUDA,KZN434,Ubuhlebezwe,Total,807170
2014,AUDA,KZN435,Umzimkhulu,Total,167223876
2014,AUDA,LIM331,Greater Giyani,Total,0
2014,AUDA,LIM332,Greater Letaba,Total,17629911
2014,AUDA,LIM333,Greater Tzaneen,Total,1105961
2014,AUDA,LIM335,Maruleng,Total,81870
2014,AUDA,LIM341,Musina,Total,37105456
2014,AUDA,LIM342,Mutale,Total,1867455
2014,AUDA,LIM343,Thulamela,Total,4163760
2014,AUDA,LIM351,Blouberg,Total,10920493
2014,AUDA,LIM352,Aganang,Total,9020950
2014,AUDA,LIM353,Molemole,Total,0
2014,AUDA,LIM354,Polokwane,Total,134172564
2014,AUDA,LIM361,Thabazimbi,Total,207151611
2014,AUDA,LIM364,Mookgopong,Total,50972161
2014,AUDA,LIM365,Modimolle,Total,4157845
2014,AUDA,LIM366,Bela-Bela,Total,21399
2014,AUDA,LIM471,Ephraim Mogale,Total,2605082
2014,AUDA,LIM472,Elias Motsoaledi,Total,0
2014,AUDA,LIM475,Greater Tubatse,Total,38895325
2014,AUDA,MAN,Mangaung,Total,745758553
2014,AUDA,MP301,Chief Albert Luthuli,Total,34206945
2014,AUDA,MP302,Msukaligwa,Total,183682805
2014,AUDA,MP303,Mkhondo,Total,111029213
2014,AUDA,MP304,Dr Pixley Ka Isaka Seme,Total,27213081
2014,AUDA,MP313,Steve Tshwete,Total,149437318
2014,AUDA,MP314,Emakhazeni,Total,39530790
2014,AUDA,MP315,Thembisile,Total,150858073
2014,AUDA,MP316,Dr JS Moroka,Total,100630633
2014,AUDA,MP321,Thaba Chweu,Total,345314024
2014,AUDA,MP322,Mbombela,Total,120563000
2014,AUDA,MP323,Umjindi,Total,33566202
2014,AUDA,MP325,Bushbuckridge,Total,495948071
2014,AUDA,NC061,Richtersveld,Total,3522218
2014,AUDA,NC062,Nama Khoi,Total,112468935
2014,AUDA,NC064,Kamiesberg,Total,29378155
2014,AUDA,NC065,Hantam,Total,6231277
2014,AUDA,NC066,Karoo Hoogland,Total,6988165
2014,AUDA,NC071,Ubuntu,Total,11595974
2014,AUDA,NC072,Umsobomvu,Total,18278897
2014,AUDA,NC073,Emthanjeni,Total,14531822
2014,AUDA,NC074,Kareeberg,Total,0
2014,AUDA,NC075,Renosterberg,Total,24535057
2014,AUDA,NC076,Thembelihle,Total,18175954
2014,AUDA,NC078,Siyancuma,Total,18326771
2014,AUDA,NC081,Mier,Total,8538924
2014,AUDA,NC083,//Khara Hais,Total,64489854
2014,AUDA,NC084,!Kheis,Total,4508035
2014,AUDA,NC091,Sol Plaatjie,Total,134229718
2014,AUDA,NC092,Dikgatlong,Total,3843578
2014,AUDA,NC093,Magareng,Total,39766032
2014,AUDA,NC451,Joe Morolong,Total,25600523
2014,AUDA,NC452,Ga-Segonyana,Total,8384771
2014,AUDA,NMA,Nelson Mandela Bay,Total,1096388824
2014,AUDA,NW372,Local Municipality of Madibeng,Total,123224838
2014,AUDA,NW373,Rustenburg,Total,1854649
2014,AUDA,NW374,Kgetlengrivier,Total,23550224
2014,AUDA,NW375,Moses Kotane,Total,67995941
2014,AUDA,NW381,Ratlou,Total,2348229
2014,AUDA,NW382,Tswaing,Total,95729910
2014,AUDA,NW383,Mafikeng,Total,247314198
2014,AUDA,NW384,Ditsobotla,Total,65129562
2014,AUDA,NW385,Ramotshere Moiloa,Total,36483218
2014,AUDA,NW392,Naledi,Total,205982466
2014,AUDA,NW393,Mamusa,Total,79472331
2014,AUDA,NW394,Greater Taung,Total,1060
2014,AUDA,NW396,Lekwa-Teemane,Total,180849275
2014,AUDA,NW401,Ventersdorp,Total,67165873
2014,AUDA,NW403,City of Matlosana,Total,145526297
2014,AUDA,NW404,Maquassi Hills,Total,107223091
2014,AUDA,TSH,City of Tshwane,Total,5538333691
2014,AUDA,WC011,Matzikama,Total,19628944
2014,AUDA,WC012,Cederberg,Total,50972394
2014,AUDA,WC013,Bergrivier,Total,10688633
2014,AUDA,WC014,Saldanha Bay,Total,94013719
2014,AUDA,WC015,Swartland,Total,54410917
2014,AUDA,WC022,Witzenberg,Total,6379414
2014,AUDA,WC023,Drakenstein,Total,181701203
2014,AUDA,WC024,Stellenbosch,Total,103064907
2014,AUDA,WC025,Breede Valley,Total,91750538
2014,AUDA,WC026,Langeberg,Total,33638906
2014,AUDA,WC031,Theewaterskloof,Total,42055324
2014,AUDA,WC032,Overstrand,Total,28643986
2014,AUDA,WC033,Cape Agulhas,Total,3199841
2014,AUDA,WC034,Swellendam,Total,13748767
2014,AUDA,WC042,Hessequa,Total,30364649
2014,AUDA,WC044,George,Total,53885543
2014,AUDA,WC045,Oudtshoorn,Total,2995954
2014,AUDA,WC048,Knysna,Total,23530573
2014,AUDA,WC052,Prince Albert,Total,5888742
2014,AUDA,WC053,Beaufort West,Total,26638801
2015,AUDA,BUF,Buffalo City,Total,535179090
2015,AUDA,CPT,City of Cape Town,Total,2263827793
2015,AUDA,DC1,West Coast,Total,27721400
2015,AUDA,DC10,Cacadu,Total,46610
2015,AUDA,DC12,Amathole,Total,346357867
2015,AUDA,DC13,Chris Hani,Total,54822698
2015,AUDA,DC14,Joe Gqabi,Total,79331616
2015,AUDA,DC16,Xhariep,Total,5678208
2015,AUDA,DC18,Lejweleputswa,Total,8733609
2015,AUDA,DC19,Thabo Mofutsanyane,Total,34189479
2015,AUDA,DC2,Cape Winelands,Total,1793366
2015,AUDA,DC20,Fezile Dabi,Total,0
2015,AUDA,DC21,Ugu,Total,149871899
2015,AUDA,DC22,Umgungundlovu,Total,47930575
2015,AUDA,DC23,Uthukela,Total,179196109
2015,AUDA,DC24,Umzinyathi,Total,52721279
2015,AUDA,DC25,Amajuba,Total,66329508
2015,AUDA,DC26,Zululand,Total,132666796
2015,AUDA,DC27,Umkhanyakude,Total,165570316
2015,AUDA,DC28,Uthungulu,Total,186688406
2015,AUDA,DC29,iLembe,Total,107537714
2015,AUDA,DC3,Overberg,Total,725501
2015,AUDA,DC30,Gert Sibande,Total,42989374
2015,AUDA,DC31,Nkangala,Total,24870575
2015,AUDA,DC32,Ehlanzeni,Total,47924306
2015,AUDA,DC33,Mopani,Total,900999697
2015,AUDA,DC34,Vhembe,Total,16346471
2015,AUDA,DC35,Capricorn,Total,256850416
2015,AUDA,DC36,Waterberg,Total,10843410
2015,AUDA,DC37,Bojanala,Total,52116550
2015,AUDA,DC38,Ngaka Modiri Molema,Total,324489161
2015,AUDA,DC4,Eden,Total,23191545
2015,AUDA,DC40,Dr Kenneth Kaunda,Total,0
2015,AUDA,DC42,Sedibeng,Total,89113331
2015,AUDA,DC43,Harry Gwala,Total,37740
2015,AUDA,DC44,Alfred Nzo,Total,16425756
2015,AUDA,DC45,John Taolo Gaetsewe,Total,6353963
2015,AUDA,DC47,Sekhukhune,Total,201144049
2015,AUDA,DC48,West Rand,Total,2830241
2015,AUDA,DC5,Central Karoo,Total,4736720
2015,AUDA,DC6,Namakwa,Total,1147941
2015,AUDA,DC7,Pixley ka Seme,Total,6572319
2015,AUDA,DC8,Z F Mgcawu,Total,2694414
2015,AUDA,DC9,Frances Baard,Total,11712931
2015,AUDA,EC101,Dr Beyers Naude,Total,14415760
2015,AUDA,EC102,Blue Crane Route,Total,13349853
2015,AUDA,EC104,Makana,Total,134972225
2015,AUDA,EC105,Ndlambe,Total,141266870
2015,AUDA,EC106,Sundays River Valley,Total,27618427
2015,AUDA,EC107,Baviaans,Total,24243566
2015,AUDA,EC108,Kouga,Total,88785595
2015,AUDA,EC109,Kou-Kamma,Total,28483078
2015,AUDA,EC121,Mbhashe,Total,14252771
2015,AUDA,EC122,Mnquma,Total,9448877
2015,AUDA,EC123,Great Kei,Total,15902308
2015,AUDA,EC124,Amahlathi,Total,6545764
2015,AUDA,EC126,Ngqushwa,Total,31167579
2015,AUDA,EC127,Nkonkobe,Total,79179106
2015,AUDA,EC128,Nxuba,Total,69148402
2015,AUDA,EC131,Inxuba Yethemba,Total,3717537
2015,AUDA,EC132,Tsolwana,Total,5072455
2015,AUDA,EC134,Lukanji,Total,38756414
