,amount.sum,amount_type.code,bad_amount.sum,badi_amount.sum,customer_group.code,demarcation.code,demarcation.label,g1_amount.sum,item.label,l120_amount.sum,l150_amount.sum,l180_amount.sum,l1_amount.sum,l30_amount.sum,l60_amount.sum,l90_amount.sum,total_amount.sum
2015,,AUDA,0.0,0.0,,NW371,Moretele,0.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,94019523.0,Total By Income Source,4129513.0,0.0,0.0,27120130.0,8782406.0,4222893.0,4165817.0,142440282.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,0.0,Debtors Age Analysis By Customer Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,184364.0,Organs of State,42212.0,0.0,0.0,199125.0,110573.0,51037.0,44866.0,632177.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,1438066.0,Commercial,62751.0,0.0,0.0,324435.0,129677.0,63008.0,62455.0,2080392.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,92397093.0,Households,4024549.0,0.0,0.0,26596570.0,8542156.0,4108848.0,4058496.0,139727712.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,0.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW371,Moretele,94019523.0,Total By Customer Group,4129512.0,0.0,0.0,27120130.0,8782406.0,4222893.0,4165817.0,142440281.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Debtors Age Analysis By Income Source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-134982203.0,Trade and Other Receivables from Exchange Transactions - Water,142804136.0,0.0,0.0,0.0,12717273.0,9613714.0,11094188.0,41247108.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-92973430.0,Trade and Other Receivables from Exchange Transactions - Electricity,61047516.0,0.0,0.0,0.0,27087020.0,16385840.0,16863369.0,28410315.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-320398131.0,Receivables from Non-exchange Transactions - Property Rates,361354701.0,0.0,0.0,0.0,25492006.0,16719513.0,14737431.0,97905520.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-50976845.0,Receivables from Exchange Transactions - Waste Water Management,58406109.0,0.0,0.0,0.0,3532521.0,2350076.0,2265366.0,15577227.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-51085907.0,Receivables from Exchange Transactions - Waste Management,60922306.0,0.0,0.0,0.0,2520500.0,1664194.0,1589461.0,15610554.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Receivables from Exchange Transactions - Property Rental Debtors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Interest on Arrear Debtor Accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-257565015.0,Other,312888872.0,0.0,0.0,0.0,8098183.0,8478706.0,6805114.0,78705860.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-907981531.0,Total By Income Source,997423640.0,0.0,0.0,0.0,79447503.0,55212043.0,53354929.0,277456584.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Debtors Age Analysis By Customer Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Organs of State,59756482.0,0.0,0.0,0.0,2035257.0,1607989.0,1527017.0,64926745.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Commercial,144486517.0,0.0,0.0,0.0,34844375.0,20171258.0,21626953.0,221129103.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,0.0,Households,757069711.0,0.0,0.0,0.0,40797663.0,32051981.0,28866017.0,858785372.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-907981531.0,Other,36110930.0,0.0,0.0,0.0,1770208.0,1380815.0,1334942.0,-867384636.0
2015,,AUDA,0.0,0.0,,NW372,Local Municipality of Madibeng,-907981531.0,Total By Customer Group,997423640.0,0.0,0.0,0.0,79447503.0,55212043.0,53354929.0,277456584.0
2015,,AUDA,0.0,0.0,,NW374,Kgetlengrivier,0.0,Debtors Age Analysis By Income Source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,AUDA,0.0,0.0,,NW374,Kgetlengrivier,21683843.0,Trade and Other Receivables from Exchange Transactions - Water,445491.0,616065.0,424397.0,3194966.0,1077090.0,366695.0,586536.0,28395083.0
