,total_amount,account_type,mun_code,mun_name,label,Province
2013,0.0,AUDA,EC131,Inxuba Yethemba,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC132,Tsolwana,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,3710000.0,AUDA,EC133,Inkwanca,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,14172314.0,AUDA,EC134,Lukanji,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC135,Intsika Yethu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC136,Emalahleni,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,5273126.0,AUDA,EC137,Engcobo,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC138,Sakhisizwe,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,17032314.0,AUDA,EC139,Enoch Mgijima,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC141,Elundini,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC142,Senqu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,6687900.0,AUDA,EC143,Maletswai,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC144,Gariep,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC145,Walter Sisulu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,8833000.0,AUDA,EC153,Ngquza Hill,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC154,Port St Johns,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC155,Nyandeni,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC156,Mhlontlo,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC157,King Sabata Dalindyebo,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC441,Matatiele,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,2366000.0,AUDA,EC442,Umzimvubu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,5580924.0,AUDA,EC443,Mbizana,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,EC444,Ntabankulu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,1172045632.0,AUDA,EKU,Ekurhuleni,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,2311701479.0,AUDA,ETH,eThekwini,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,FS161,Letsemeng,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,9424000.0,AUDA,FS162,Kopanong,Total Repairs and Maintenance Expenditure,Free State
2013,3044792.0,AUDA,FS163,Mohokare,Total Repairs and Maintenance Expenditure,Free State
2013,3595000.0,AUDA,FS164,Naledi,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS181,Masilonyana,Total Repairs and Maintenance Expenditure,Free State
2013,3458449.0,AUDA,FS182,Tokologo,Total Repairs and Maintenance Expenditure,Free State
2013,6678000.0,AUDA,FS183,Tswelopele,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS184,Matjhabeng,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS185,Nala,Total Repairs and Maintenance Expenditure,Free State
2013,31608436.0,AUDA,FS191,Setsoto,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS192,Dihlabeng,Total Repairs and Maintenance Expenditure,Free State
2013,8821056.0,AUDA,FS193,Nketoana,Total Repairs and Maintenance Expenditure,Free State
2013,79800431.0,AUDA,FS194,Maluti a Phofung,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS195,Phumelela,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,FS196,Mantsopa,Total Repairs and Maintenance Expenditure,Free State
2013,32777000.0,AUDA,FS201,Moqhaka,Total Repairs and Maintenance Expenditure,Free State
2013,18581748.0,AUDA,FS203,Ngwathe,Total Repairs and Maintenance Expenditure,Free State
2013,66638000.0,AUDA,FS204,Metsimaholo,Total Repairs and Maintenance Expenditure,Free State
2013,10767643.0,AUDA,FS205,Mafube,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,GT421,Emfuleni,Total Repairs and Maintenance Expenditure,Free State
2013,28675653.0,AUDA,GT422,Midvaal,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,GT423,Lesedi,Total Repairs and Maintenance Expenditure,Gauteng
2013,69974982.0,AUDA,GT481,Mogale City,Total Repairs and Maintenance Expenditure,Gauteng
2013,14173012.0,AUDA,GT482,Randfontein,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,GT483,Westonaria,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,GT484,Merafong City,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,GT485,Rand West City,Total Repairs and Maintenance Expenditure,Gauteng
2013,1956400000.0,AUDA,JHB,City of Johannesburg,Total Repairs and Maintenance Expenditure,Gauteng
2013,1088963.0,AUDA,KZN211,Vulamehlo,Total Repairs and Maintenance Expenditure,Gauteng
2013,8468661.0,AUDA,KZN212,Umdoni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1515253.0,AUDA,KZN213,Umzumbe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN214,uMuziwabantu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,359973.0,AUDA,KZN215,Ezingoleni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,37265274.0,AUDA,KZN216,Ray Nkonyeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,3851107.0,AUDA,KZN221,uMshwathi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,4931688.0,AUDA,KZN222,uMngeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1148000.0,AUDA,KZN223,Mpofana,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,713000.0,AUDA,KZN224,Impendle,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,97782623.0,AUDA,KZN225,The Msunduzi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,829000.0,AUDA,KZN226,Mkhambathini,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,2768000.0,AUDA,KZN227,Richmond,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,36331926.0,AUDA,KZN232,Emnambithi/Ladysmith,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN233,Indaka,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN234,Umtshezi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1998751.0,AUDA,KZN235,Okhahlamba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,26839092.0,AUDA,KZN236,Imbabazane,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN237,Inkosi Langalibalele,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN238,Alfred Duma,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN241,Endumeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1577120.0,AUDA,KZN242,Nqutu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,7151318.0,AUDA,KZN244,Msinga,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,6618835.0,AUDA,KZN245,Umvoti,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,58489001.0,AUDA,KZN252,Newcastle,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1630375.0,AUDA,KZN253,Emadlangeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,3680989.0,AUDA,KZN254,Dannhauser,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN261,eDumbe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,8381959.0,AUDA,KZN262,uPhongolo,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,13804000.0,AUDA,KZN263,Abaqulusi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,2548354.0,AUDA,KZN265,Nongoma,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN266,Ulundi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1014000.0,AUDA,KZN271,Umhlabuyalingana,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN272,Jozini,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN273,The Big 5 False Bay,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,4472765.0,AUDA,KZN274,Hlabisa,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,2040579.0,AUDA,KZN275,Mtubatuba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN276,Big Five Hlabisa,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,3072000.0,AUDA,KZN281,Mfolozi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,14606687.0,AUDA,KZN282,uMhlathuze,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN283,Ntambanana,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,10013279.0,AUDA,KZN284,uMlalazi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,2191735.0,AUDA,KZN285,Mthonjaneni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN286,Nkandla,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,14306480.0,AUDA,KZN291,Mandeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,63303086.0,AUDA,KZN292,KwaDukuza,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,3102372.0,AUDA,KZN293,Ndwedwe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN294,Maphumulo,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN431,Ingwe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1744563.0,AUDA,KZN432,Kwa Sani,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,3586000.0,AUDA,KZN433,Greater Kokstad,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1834363.0,AUDA,KZN434,Ubuhlebezwe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN435,Umzimkhulu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,KZN436,Dr Nkosazana Dlamini Zuma,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,4173608.0,AUDA,LIM331,Greater Giyani,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,LIM332,Greater Letaba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,91867351.0,AUDA,LIM333,Greater Tzaneen,Total Repairs and Maintenance Expenditure,Limpopo
2013,12434620.0,AUDA,LIM334,Ba-Phalaborwa,Total Repairs and Maintenance Expenditure,Limpopo
2013,1271071.0,AUDA,LIM335,Maruleng,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM341,Musina,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM342,Mutale,Total Repairs and Maintenance Expenditure,Limpopo
2013,41675241.0,AUDA,LIM343,Thulamela,Total Repairs and Maintenance Expenditure,Limpopo
2013,14676000.0,AUDA,LIM344,Makhado,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM345,Makhado-Thulamela,Total Repairs and Maintenance Expenditure,Limpopo
2013,1470418.0,AUDA,LIM351,Blouberg,Total Repairs and Maintenance Expenditure,Limpopo
2013,3571435.0,AUDA,LIM352,Aganang,Total Repairs and Maintenance Expenditure,Limpopo
2013,1409991.0,AUDA,LIM353,Molemole,Total Repairs and Maintenance Expenditure,Limpopo
2013,144647619.0,AUDA,LIM354,Polokwane,Total Repairs and Maintenance Expenditure,Limpopo
2013,6993530.0,AUDA,LIM355,Lepele-Nkumpi,Total Repairs and Maintenance Expenditure,Limpopo
2013,12698000.0,AUDA,LIM361,Thabazimbi,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM362,Lephalale,Total Repairs and Maintenance Expenditure,Limpopo
2013,2430000.0,AUDA,LIM364,Mookgopong,Total Repairs and Maintenance Expenditure,Limpopo
2013,21171999.0,AUDA,LIM365,Modimolle,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM366,Bela-Bela,Total Repairs and Maintenance Expenditure,Limpopo
2013,97163378.0,AUDA,LIM367,Mogalakwena,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM368,Modimolle/Mookgophong,Total Repairs and Maintenance Expenditure,Limpopo
2013,9743412.0,AUDA,LIM471,Ephraim Mogale,Total Repairs and Maintenance Expenditure,Limpopo
2013,5116238.0,AUDA,LIM472,Elias Motsoaledi,Total Repairs and Maintenance Expenditure,Limpopo
2013,13988037.0,AUDA,LIM473,Makhuduthamaga,Total Repairs and Maintenance Expenditure,Limpopo
2013,889152.0,AUDA,LIM474,Fetakgomo,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM475,Greater Tubatse,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,LIM476,Greater Tubatse/Fetakgomo,Total Repairs and Maintenance Expenditure,Limpopo
2013,161778437.0,AUDA,MAN,Mangaung,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,MP301,Chief Albert Luthuli,Total Repairs and Maintenance Expenditure,Limpopo
