,amount_type.code,bad_amount.sum,badi_amount.sum,customer_group.code,demarcation.code,demarcation.label,g1_amount.sum,item.label,l120_amount.sum,l150_amount.sum,l180_amount.sum,l1_amount.sum,l30_amount.sum,l60_amount.sum,l90_amount.sum,total_amount.sum
2016,AUDA,0.0,0.0,,LIM335,Maruleng,671748,Total By Income Source,251000,240179,413191,732051,1073373,736603,278318,4396463
2016,AUDA,0.0,0.0,,LIM335,Maruleng,0,Debtors Age Analysis By Customer Group,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM335,Maruleng,143721,Organs of State,89060,67579,106406,229031,205769,408898,103678,1354142
2016,AUDA,0.0,0.0,,LIM335,Maruleng,103264,Commercial,76145,82965,164992,159043,183715,196489,48359,1014972
2016,AUDA,0.0,0.0,,LIM335,Maruleng,107031,Households,51174,75965,127476,278469,550240,65054,86971,1342380
2016,AUDA,0.0,0.0,,LIM335,Maruleng,317733,Other,34622,13670,14316,65508,133648,66162,39310,684969
2016,AUDA,0.0,0.0,,LIM335,Maruleng,671749,Total By Customer Group,251001,240179,413190,732051,1073372,736603,278318,4396463
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Debtors Age Analysis By Income Source,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Trade and Other Receivables from Exchange Transactions - Water,0,0,0,0,0,0,0,0
2016,AUDA,-1241888.0,0.0,,LIM341,Musina,0,Trade and Other Receivables from Exchange Transactions - Electricity,145221,432730,1819592,0,636425,271238,153211,3458417
2016,AUDA,-9977421.0,0.0,,LIM341,Musina,0,Receivables from Non-exchange Transactions - Property Rates,626177,956557,12976269,0,546469,374453,351798,15831723
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Receivables from Exchange Transactions - Waste Water Management,0,0,0,0,0,0,0,0
2016,AUDA,-537116.0,0.0,,LIM341,Musina,0,Receivables from Exchange Transactions - Waste Management,169268,425331,3101965,0,312948,198426,175217,4383155
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Receivables from Exchange Transactions - Property Rental Debtors,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Interest on Arrear Debtor Accounts,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM341,Musina,0,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,0,0,0,0,0,0,0
2016,AUDA,-404835.0,0.0,,LIM341,Musina,0,Other,10764,61863,1116471,0,37075,25010,6877,1258060
2016,AUDA,-12161260.0,0.0,,LIM341,Musina,0,Total By Income Source,951430,1876481,19014297,0,1532917,869127,687103,24931355
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Debtors Age Analysis By Customer Group,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Organs of State,83626,318924,1439503,0,91787,97582,95337,2126759
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Commercial,121239,351608,4872536,0,326237,224928,124745,6021293
2016,AUDA,-12161260.0,0.0,,LIM341,Musina,0,Households,746565,1205949,12702258,0,1114893,546617,467021,16783303
2016,AUDA,0.0,0.0,,LIM341,Musina,0,Other,0,0,0,0,0,0,0,0
2016,AUDA,-12161260.0,0.0,,LIM341,Musina,0,Total By Customer Group,951430,1876481,19014297,0,1532917,869127,687103,24931355
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Debtors Age Analysis By Income Source,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Trade and Other Receivables from Exchange Transactions - Water,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Trade and Other Receivables from Exchange Transactions - Electricity,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Receivables from Non-exchange Transactions - Property Rates,2119008,61738747,0,0,7049874,2359665,3565466,76832760
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Receivables from Exchange Transactions - Waste Water Management,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Receivables from Exchange Transactions - Waste Management,1005133,32237990,0,0,2299027,1050910,1026058,37619118
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Receivables from Exchange Transactions - Property Rental Debtors,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Interest on Arrear Debtor Accounts,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Other,4864764,265949764,0,0,10307508,4857124,4943616,290922776
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Total By Income Source,7988905,359926501,0,0,19656409,8267699,9535140,405374654
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Debtors Age Analysis By Customer Group,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Organs of State,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Commercial,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Households,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Other,7988905,359926501,0,0,19656409,8267699,9535140,405374654
2016,AUDA,0.0,0.0,,LIM343,Thulamela,0,Total By Customer Group,7988905,359926501,0,0,19656409,8267699,9535140,405374654
2016,AUDA,0.0,0.0,,LIM344,Makhado,0,Debtors Age Analysis By Income Source,0,0,0,0,0,0,0,0
2016,AUDA,0.0,0.0,,LIM344,Makhado,0,Trade and Other Receivables from Exchange Transactions - Water,0,0,0,0,0,0,0,0
