,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
45,municipality,EC154,municipality-EC154,Port St Johns,1265,18,9,9,1036,525,511,124,37,87,87,49,38,Eastern Cape
46,municipality,EC155,municipality-EC155,Nyandeni,3431,57,22,35,2579,1217,1362,458,183,275,337,165,172,Eastern Cape
47,municipality,EC156,municipality-EC156,Mhlontlo,2275,30,14,16,1696,809,887,319,126,193,230,120,110,Eastern Cape
48,municipality,EC441,municipality-EC441,Matatiele,3903,94,38,56,2383,1131,1252,941,373,568,485,219,266,Eastern Cape
49,municipality,EC442,municipality-EC442,Umzimvubu,3011,80,40,40,2113,1057,1056,524,216,308,294,144,150,Eastern Cape
50,municipality,EC443,municipality-EC443,Mbizana,3223,62,24,38,2180,1110,1070,545,231,314,436,223,213,Eastern Cape
51,municipality,EC444,municipality-EC444,Ntabankulu,1158,25,11,14,907,461,446,139,50,89,87,48,39,Free State
52,municipality,FS161,municipality-FS161,Letsemeng,1494,43,15,28,808,286,522,530,120,410,113,38,75,Free State
53,municipality,FS162,municipality-FS162,Kopanong,1656,21,5,16,848,297,551,534,126,408,253,91,162,Free State
54,municipality,FS163,municipality-FS163,Mohokare,1070,22,6,16,558,201,357,284,67,217,206,54,152,Free State
55,municipality,FS181,municipality-FS181,Masilonyana,1415,82,25,57,848,295,553,212,60,152,273,51,222,Free State
56,municipality,FS182,municipality-FS182,Tokologo,1001,22,3,19,571,161,410,164,28,136,244,77,167,Free State
57,municipality,FS183,municipality-FS183,Tswelopele,1358,38,13,25,920,279,641,176,39,137,224,52,172,Free State
58,municipality,FS184,municipality-FS184,Matjhabeng,10445,305,98,207,7755,3177,4578,1318,428,890,1067,346,721,Free State
59,municipality,FS185,municipality-FS185,Nala,1927,57,18,39,1236,454,782,424,98,326,210,53,157,Free State
