,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
212,municipality,NC084,municipality-NC084,!Kheis,639,6,0,6,495,180,315,123,33,90,15,5,10,Northern Cape
213,municipality,NC086,municipality-NC086,Kgatelopele,750,20,6,14,600,178,422,75,22,53,55,23,32,Northern Cape
214,municipality,NC091,municipality-NC091,Sol Plaatjie,7197,117,63,54,5379,2537,2842,923,287,636,778,340,438,Northern Cape
215,municipality,NC092,municipality-NC092,Dikgatlong,970,52,8,44,644,218,426,171,47,124,103,19,84,Northern Cape
216,municipality,NC093,municipality-NC093,Magareng,420,11,4,7,333,127,206,43,13,30,33,10,23,Northern Cape
217,municipality,NC451,municipality-NC451,Joe Morolong,980,32,12,20,610,242,368,180,41,139,158,41,117,Northern Cape
218,municipality,NC452,municipality-NC452,Ga-Segonyana,2064,81,19,62,1531,557,974,212,59,153,240,83,157,Northern Cape
219,municipality,NC453,municipality-NC453,Gamagara,2439,64,20,44,1983,628,1355,255,57,198,137,59,78,Northern Cape
220,municipality,CPT,municipality-CPT,City of Cape Town,165247,4216,1837,2379,133883,63821,70062,16494,6532,9962,10654,4791,5863,Northern Cape
221,municipality,WC011,municipality-WC011,Matzikama,3895,27,17,10,3282,1358,1924,515,179,336,71,46,25,Western Cape
222,municipality,WC013,municipality-WC013,Bergrivier,4175,62,18,44,3655,1715,1940,312,127,185,146,73,73,Western Cape
223,municipality,WC014,municipality-WC014,Saldanha Bay,5227,161,69,92,4318,2043,2275,492,185,307,256,96,160,Western Cape
224,municipality,WC015,municipality-WC015,Swartland,6765,140,55,85,5826,2475,3351,565,214,351,234,125,109,Western Cape
225,municipality,WC022,municipality-WC022,Witzenberg,9654,97,35,62,8165,3390,4775,1168,491,677,224,95,129,Western Cape
226,municipality,WC023,municipality-WC023,Drakenstein,13138,215,101,114,10628,4909,5719,1744,772,972,551,214,337,Western Cape
227,municipality,WC025,municipality-WC025,Breede Valley,9512,206,124,82,7166,3595,3571,1850,856,994,290,126,164,Western Cape
228,municipality,WC026,municipality-WC026,Langeberg,6305,92,43,49,3762,1614,2148,2226,952,1274,225,84,141,Western Cape
229,municipality,WC031,municipality-WC031,Theewaterskloof,6566,181,72,109,5075,2161,2914,1174,401,773,136,46,90,Western Cape
230,municipality,WC032,municipality-WC032,Overstrand,3589,101,43,58,2530,1253,1277,634,217,417,324,132,192,Western Cape
231,municipality,WC034,municipality-WC034,Swellendam,2032,61,13,48,1609,595,1014,278,87,191,84,42,42,Western Cape
232,municipality,WC041,municipality-WC041,Kannaland,1131,57,26,31,664,252,412,365,130,235,45,16,29,Western Cape
233,municipality,WC042,municipality-WC042,Hessequa,2472,146,49,97,1574,654,920,583,189,394,169,89,80,Western Cape
234,municipality,WC043,municipality-WC043,Mossel Bay,3555,191,86,105,2606,1234,1372,575,229,346,183,74,109,Western Cape
