geo_level,geo_code,geoid,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male
municipality,KZN224,municipality-KZN224,Impendle,1704,1222,646,576,482,187,295
municipality,KZN225,municipality-KZN225,The Msunduzi,24070,18509,9730,8779,5561,2182,3379
municipality,KZN226,municipality-KZN226,Mkhambathini,2590,1623,904,719,967,403,564
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,10133,7358,4098,3260,2775,1080,1695
municipality,KZN233,municipality-KZN233,Indaka,5564,3786,2067,1719,1778,724,1054
municipality,KZN234,municipality-KZN234,Umtshezi,3624,2372,1302,1070,1252,593,659
municipality,KZN235,municipality-KZN235,Okhahlamba,6449,4659,2506,2153,1790,703,1087
municipality,KZN236,municipality-KZN236,Imbabazane,5701,4114,2230,1884,1587,642,945
municipality,KZN242,municipality-KZN242,Nqutu,8806,5671,3080,2591,3135,1192,1943
municipality,KZN244,municipality-KZN244,Msinga,10083,6085,3288,2797,3998,1768,2230
municipality,KZN245,municipality-KZN245,Umvoti,4960,3113,1692,1421,1847,811,1036
municipality,KZN252,municipality-KZN252,Newcastle,16009,12147,6519,5628,3862,1542,2320
municipality,KZN254,municipality-KZN254,Dannhauser,5158,3554,1952,1602,1604,591,1013
municipality,KZN261,municipality-KZN261,eDumbe,4013,2534,1305,1229,1479,577,902
municipality,KZN262,municipality-KZN262,UPhongolo,6394,4289,2311,1978,2105,858,1247
municipality,KZN263,municipality-KZN263,Abaqulusi,9915,6426,3519,2907,3489,1399,2090
municipality,KZN265,municipality-KZN265,Nongoma,10705,7129,3871,3258,3576,1327,2249
municipality,KZN266,municipality-KZN266,Ulundi,9503,6787,3746,3041,2716,1040,1676
municipality,KZN272,municipality-KZN272,Jozini,10072,5762,3160,2602,4310,1829,2481
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,1714,1003,562,441,711,298,413
municipality,KZN274,municipality-KZN274,Hlabisa,3972,2587,1405,1182,1385,527,858
municipality,KZN275,municipality-KZN275,Mtubatuba,8500,5582,3029,2553,2918,1220,1698
municipality,KZN281,municipality-KZN281,Mfolozi,5806,3990,2153,1837,1816,700,1116
municipality,KZN283,municipality-KZN283,Ntambanana,3921,2389,1331,1058,1532,565,967
municipality,KZN284,municipality-KZN284,uMlalazi,10630,6956,3869,3087,3674,1420,2254
municipality,KZN285,municipality-KZN285,Mthonjaneni,2176,1348,761,587,828,327,501
municipality,KZN286,municipality-KZN286,Nkandla,6285,4244,2322,1922,2041,785,1256
municipality,KZN291,municipality-KZN291,Mandeni,6021,3983,2152,1831,2038,846,1192
municipality,KZN293,municipality-KZN293,Ndwedwe,7113,4765,2603,2162,2348,961,1387
municipality,KZN294,municipality-KZN294,Maphumulo,5560,3741,2035,1706,1819,740,1079
municipality,KZN431,municipality-KZN431,Ingwe,5060,3133,1687,1446,1927,708,1219
municipality,KZN432,municipality-KZN432,Kwa Sani,373,213,100,113,160,62,98
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,5064,3175,1748,1427,1889,745,1144
municipality,KZN435,municipality-KZN435,Umzimkhulu,10089,5215,3111,2104,4874,1867,3007
municipality,LIM331,municipality-LIM331,Greater Giyani,13351,8674,4897,3777,4677,1821,2856
municipality,LIM332,municipality-LIM332,Greater Letaba,11512,8273,4465,3808,3239,1244,1995
municipality,LIM333,municipality-LIM333,Greater Tzaneen,17322,11926,6605,5321,5396,2119,3277
municipality,LIM335,municipality-LIM335,Maruleng,4701,3228,1823,1405,1473,580,893
municipality,LIM341,municipality-LIM341,Musina,1995,1180,653,527,815,375,440
municipality,LIM342,municipality-LIM342,Mutale,5169,3278,1826,1452,1891,737,1154
municipality,LIM343,municipality-LIM343,Thulamela,33344,23252,12779,10473,10092,3789,6303
municipality,LIM344,municipality-LIM344,Makhado,25962,17932,9746,8186,8030,3015,5015
municipality,LIM351,municipality-LIM351,Blouberg,9011,5615,3056,2559,3396,1325,2071
municipality,LIM353,municipality-LIM353,Molemole,5321,3851,2059,1792,1470,512,958
municipality,LIM354,municipality-LIM354,Polokwane,25303,19271,10488,8783,6032,2162,3870
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,11831,8574,4643,3931,3257,1160,2097
municipality,LIM361,municipality-LIM361,Thabazimbi,1609,1067,595,472,542,233,309
municipality,LIM362,municipality-LIM362,Lephalale,3765,2583,1434,1149,1182,457,725
municipality,LIM365,municipality-LIM365,Modimolle,2267,1297,680,617,970,419,551
municipality,LIM366,municipality-LIM366,Bela-Bela,1953,1191,637,554,762,318,444
municipality,BUF,municipality-BUF,Buffalo City,26412,19304,10665,8639,7108,2839,4269
municipality,EC101,municipality-EC101,Camdeboo,1807,1253,621,632,554,234,320
municipality,EC105,municipality-EC105,Ndlambe,1960,1195,688,507,765,320,445
municipality,EC122,municipality-EC122,Mnquma,12847,7421,4202,3219,5426,1892,3534
municipality,EC128,municipality-EC128,Nxuba,798,476,252,224,322,145,177
municipality,EC135,municipality-EC135,Intsika Yethu,6882,3479,1916,1563,3403,1158,2245
municipality,EC144,municipality-EC144,Gariep,1226,600,289,311,626,290,336
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,24295,13162,7685,5477,11133,4454,6679
municipality,NMA,municipality-NMA,Nelson Mandela Bay,38750,28623,15365,13258,10127,4108,6019
municipality,FS164,municipality-FS164,Naledi,1032,631,356,275,401,169,232
municipality,FS191,municipality-FS191,Setsoto,4509,3006,1599,1407,1503,617,886
municipality,FS196,municipality-FS196,Mantsopa,2011,1358,746,612,653,271,382
municipality,MAN,municipality-MAN,Mangaung,26231,19157,10359,8798,7074,2906,4168
municipality,EKU,municipality-EKU,Ekurhuleni,89631,73535,39107,34428,16096,6343,9753
municipality,GT422,municipality-GT422,Midvaal,2635,2119,1081,1038,516,206,310
municipality,GT484,municipality-GT484,Merafong City,5516,3872,2111,1761,1644,710,934
municipality,JHB,municipality-JHB,City of Johannesburg,112400,95623,50542,45081,16777,6817,9960
municipality,TSH,municipality-TSH,City of Tshwane,80104,66172,35231,30941,13932,5406,8526
