geo_level,geo_code,geoid,name,total,Any tertiary,Any tertiary-Female,Any tertiary-Male,Grade 10/11,Grade 10/11-Female,Grade 10/11-Male,Grade 9,Grade 9-Female,Grade 9-Male,Less than Grade9,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent,Matric/matric equivalent-Female,Matric/matric equivalent-Male
municipality,NC073,municipality-NC073,Emthanjeni,3224,89,54,35,857,435,422,298,155,143,646,316,330,1334,707,627
municipality,NC074,municipality-NC074,Kareeberg,833,14,5,9,270,148,122,124,67,57,197,85,112,228,121,107
municipality,NC075,municipality-NC075,Renosterberg,857,14,9,5,217,120,97,66,26,40,216,119,97,344,148,196
municipality,NC076,municipality-NC076,Thembelihle,1278,28,14,14,373,178,195,151,71,80,334,156,178,392,216,176
municipality,NC078,municipality-NC078,Siyancuma,2784,61,34,27,803,440,363,336,162,174,727,340,387,857,445,412
municipality,NC081,municipality-NC081,Mier,547,15,8,7,166,79,87,92,47,45,125,51,74,149,91,58
municipality,NC082,municipality-NC082,Kai !Garib,8042,95,58,37,2564,1123,1441,1043,455,588,2688,1176,1512,1652,839,813
municipality,NC083,municipality-NC083,//Khara Hais,7664,276,161,115,2305,1147,1158,805,371,434,1290,589,701,2988,1641,1347
municipality,NC084,municipality-NC084,!Kheis,1113,21,10,11,277,128,149,163,73,90,346,160,186,306,165,141
municipality,NC086,municipality-NC086,Kgatelopele,1623,57,26,31,486,241,245,99,60,39,237,119,118,744,383,361
municipality,NC091,municipality-NC091,Sol Plaatjie,21697,1082,633,449,6532,3255,3277,1393,570,823,2720,1220,1500,9970,5392,4578
municipality,NC092,municipality-NC092,Dikgatlong,3978,56,28,28,1232,644,588,333,167,166,835,383,452,1522,799,723
municipality,NC093,municipality-NC093,Magareng,2145,30,18,12,645,306,339,129,54,75,345,162,183,996,492,504
municipality,NC451,municipality-NC451,Joe Morolong,6814,146,98,48,2577,1469,1108,697,376,321,1501,764,737,1893,1098,795
municipality,NC452,municipality-NC452,Ga-Segonyana,8326,395,244,151,3026,1507,1519,629,279,350,1303,568,735,2973,1592,1381
municipality,NC453,municipality-NC453,Gamagara,4149,285,159,126,1357,570,787,266,131,135,669,324,345,1572,714,858
municipality,CPT,municipality-CPT,City of Cape Town,365624,32542,18693,13849,107361,55526,51835,29257,12180,17077,42125,15403,26722,154339,85213,69126
municipality,WC011,municipality-WC011,Matzikama,5627,157,100,57,1334,669,665,921,465,456,1777,776,1001,1438,773,665
municipality,WC013,municipality-WC013,Bergrivier,4744,112,67,45,1318,700,618,720,379,341,1165,529,636,1429,750,679
municipality,WC014,municipality-WC014,Saldanha Bay,9388,285,161,124,3183,1634,1549,1152,495,657,1546,573,973,3222,1810,1412
municipality,WC015,municipality-WC015,Swartland,9237,356,203,153,2461,1244,1217,1151,527,624,2164,905,1259,3105,1674,1431
municipality,WC022,municipality-WC022,Witzenberg,11540,289,170,119,3443,1662,1781,1645,700,945,2844,1131,1713,3319,1727,1592
municipality,WC023,municipality-WC023,Drakenstein,23025,1355,790,565,6268,3200,3068,2046,919,1127,3517,1429,2088,9839,5277,4562
municipality,WC025,municipality-WC025,Breede Valley,14337,579,359,220,4221,2257,1964,1681,807,874,2441,1112,1329,5415,2945,2470
municipality,WC026,municipality-WC026,Langeberg,8375,188,109,79,2322,1240,1082,1189,552,637,2221,1050,1171,2455,1302,1153
municipality,WC031,municipality-WC031,Theewaterskloof,9659,275,150,125,2791,1452,1339,1236,565,671,2358,853,1505,2999,1595,1404
municipality,WC032,municipality-WC032,Overstrand,6412,241,147,94,1989,1054,935,802,362,440,1344,499,845,2036,1133,903
municipality,WC034,municipality-WC034,Swellendam,2944,100,49,51,701,360,341,418,206,212,884,357,527,841,456,385
municipality,WC041,municipality-WC041,Kannaland,1958,22,7,15,480,237,243,265,127,138,612,273,339,579,308,271
municipality,WC042,municipality-WC042,Hessequa,3662,113,73,40,855,475,380,549,266,283,1048,439,609,1097,625,472
municipality,WC043,municipality-WC043,Mossel Bay,7188,283,166,117,2092,1122,970,606,250,356,1259,535,724,2948,1631,1317
