Name,Code,Province
!Kheis Local Municipality,NC084,Northern Cape
King Sabata Dalindyebo Local Municipality,EC157,Eastern Cape
Knysna Local Municipality,WC048,Western Cape
Kopanong Local Municipality,FS162,Free State
Kou-Kamma Local Municipality,EC109,Eastern Cape
Kouga Local Municipality,EC108,Eastern Cape
KwaDukuza Local Municipality,KZN292,KwaZulu-Natal
Laingsburg Local Municipality,WC051,Western Cape
Langeberg Local Municipality,WC026,Western Cape
Lekwa Local Municipality,MP305,Mpumalanga
Lekwa-Teemane Local Municipality,NW396,North West
Lepelle-Nkumpi Local Municipality,LIM355,Limpopo
Lephalale Local Municipality,LIM362,Limpopo
Lesedi Local Municipality,GT423,Gauteng
Letsemeng Local Municipality,FS161,Free State
Madibeng Local Municipality,NW372,North West
Mafube Local Municipality,FS205,Free State
Magareng Local Municipality,NC093,Northern Cape
Mahikeng Local Municipality,NW383,North West
Makana Local Municipality,EC104,Eastern Cape
Makhado Local Municipality,LIM344,Limpopo
Makhuduthamaga Local Municipality,LIM473,Limpopo
Maluti-a-Phofung Local Municipality,FS194,Free State
Mamusa Local Municipality,NW393,North West
Mandeni Local Municipality,KZN291,KwaZulu-Natal
Mantsopa Local Municipality,FS196,Free State
Maphumulo Local Municipality,KZN294,KwaZulu-Natal
Maquassi Hills Local Municipality,NW404,North West
Maruleng Local Municipality,LIM335,Limpopo
Masilonyana Local Municipality,FS181,Free State
Matatiele Local Municipality,EC441,Eastern Cape
Matjhabeng Local Municipality,FS184,Free State
Matzikama Local Municipality,WC011,Western Cape
Mbhashe Local Municipality,EC121,Eastern Cape
Mbizana Local Municipality,EC443,Eastern Cape
Mbombela Local Municipality,MP326,Mpumalanga
Merafong City Local Municipality,GT484,Gauteng
Metsimaholo Local Municipality,FS204,Free State
Mhlontlo Local Municipality,EC156,Eastern Cape
Midvaal Local Municipality,GT422,Gauteng
Mkhambathini Local Municipality,KZN226,KwaZulu-Natal
Mkhondo Local Municipality,MP303,Mpumalanga
Mnquma Local Municipality,EC122,Eastern Cape
Modimolle/Mookgophong Local Municipality,LIM368,Limpopo
Mogalakwena Local Municipality,LIM367,Limpopo
Mogale City Local Municipality,GT481,Gauteng
Mohokare Local Municipality,FS163,Free State
Molemole Local Municipality,LIM353,Limpopo
Moqhaka Local Municipality,FS201,Free State
Moretele Local Municipality,NW371,North West
Moses Kotane Local Municipality,NW375,North West
Mossel Bay Local Municipality,WC043,Western Cape
Mpofana Local Municipality,KZN223,KwaZulu-Natal
Msinga Local Municipality,KZN244,KwaZulu-Natal
Msukaligwa Local Municipality,MP302,Mpumalanga
Msunduzi Local Municipality,KZN225,KwaZulu-Natal
Mthonjaneni Local Municipality,KZN285,KwaZulu-Natal
Mtubatuba Local Municipality,KZN275,KwaZulu-Natal
Musina Local Municipality,LIM341,Limpopo
Nala Local Municipality,FS185,Free State
Naledi Local Municipality,NW392,North West
Nama Khoi Local Municipality,NC062,Northern Cape
Ndlambe Local Municipality,EC105,Eastern Cape
Ndwedwe Local Municipality,KZN293,KwaZulu-Natal
Newcastle Local Municipality,KZN252,KwaZulu-Natal
Ngqushwa Local Municipality,EC126,Eastern Cape
Ngwathe Local Municipality,FS203,Free State
Nkandla Local Municipality,KZN286,KwaZulu-Natal
Nketoana Local Municipality,FS193,Free State
Nkomazi Local Municipality,MP324,Mpumalanga
Nongoma Local Municipality,KZN265,KwaZulu-Natal
Nqutu Local Municipality,KZN242,KwaZulu-Natal
Ntabankulu Local Municipality,EC444,Eastern Cape
Nyandeni Local Municipality,EC155,Eastern Cape
Okhahlamba Local Municipality,KZN235,KwaZulu-Natal
Oudtshoorn Local Municipality,WC045,Western Cape
Overstrand Local Municipality,WC032,Western Cape
Phokwane Local Municipality,NC094,Northern Cape
Phumelela Local Municipality,FS195,Free State
Pixley ka Seme Local Municipality,MP304,Mpumalanga
Polokwane Local Municipality,LIM354,Limpopo
Port St Johns Local Municipality,EC154,Eastern Cape
Prince Albert Local Municipality,WC052,Western Cape
Ramotshere Moiloa Local Municipality,NW385,North West
Rand West City Local Municipality,GT485,Gauteng
Ratlou Local Municipality,NW381,North West
Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal
Raymond Mhlaba Local Municipality,EC129,Eastern Cape
Renosterberg Local Municipality,NC075,Northern Cape
Richmond Local Municipality,KZN227,KwaZulu-Natal
Richtersveld Local Municipality,NC061,Northern Cape
Rustenburg Local Municipality,NW373,North West
Sakhisizwe Local Municipality,EC138,Eastern Cape
Saldanha Bay Local Municipality,WC014,Western Cape
Senqu Local Municipality,EC142,Eastern Cape
Setsoto Local Municipality,FS191,Free State
Siyancuma Local Municipality,NC078,Northern Cape
Siyathemba Local Municipality,NC077,Northern Cape
Sol Plaatje Local Municipality,NC091,Northern Cape
Stellenbosch Local Municipality,WC024,Western Cape
Steve Tshwete Local Municipality,MP313,Mpumalanga
Sundays River Valley Local Municipality,EC106,Eastern Cape
Swartland Local Municipality,WC015,Western Cape
Swellendam Local Municipality,WC034,Western Cape
Thaba Chweu Local Municipality,MP321,Mpumalanga
Thabazimbi Local Municipality,LIM361,Limpopo
Theewaterskloof Local Municipality,WC031,Western Cape
Thembelihle Local Municipality,NC076,Northern Cape
Thembisile Hani Local Municipality,MP315,Mpumalanga
Thulamela Local Municipality,LIM343,Limpopo
Tokologo Local Municipality,FS182,Free State
Tsantsabane Local Municipality,NC085,Northern Cape
Tswaing Local Municipality,NW382,North West
Tswelopele Local Municipality,FS183,Free State
Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal
Ubuntu Local Municipality,NC071,Northern Cape
Ulundi Local Municipality,KZN266,KwaZulu-Natal
Umdoni Local Municipality,KZN212,KwaZulu-Natal
uMfolozi Local Municipality,KZN281,KwaZulu-Natal
uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal
uMhlathuze Local Municipality,KZN282,KwaZulu-Natal
uMlalazi Local Municipality,KZN284,KwaZulu-Natal
uMngeni Local Municipality,KZN222,KwaZulu-Natal
uMshwathi Local Municipality,KZN221,KwaZulu-Natal
Umsobomvu Local Municipality,NC072,Northern Cape
uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal
Umvoti Local Municipality,KZN245,KwaZulu-Natal
Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal
Umzimvubu Local Municipality,EC442,Eastern Cape
Umzumbe Local Municipality,KZN213,KwaZulu-Natal
uPhongolo Local Municipality,KZN262,KwaZulu-Natal
Victor Khanye Local Municipality,MP311,Mpumalanga
Walter Sisulu Local Municipality,EC145,Eastern Cape
Witzenberg Local Municipality,WC022,Western Cape
Camdeboo Local Municipality,EC101,Eastern Cape
Ikwezi Local Municipality,EC103,Eastern Cape
Baviaans Local Municipality,EC107,Eastern Cape
Nkonkobe Local Municipality,EC127,Eastern Cape
Nxuba Local Municipality,EC128,Eastern Cape
Tsolwana Local Municipality,EC132,Eastern Cape
Inkwanca Local Municipality,EC133,Eastern Cape
Lukhanji Local Municipality,EC134,Eastern Cape
Maletswai Local Municipality,EC143,Eastern Cape
Gariep Local Municipality,EC144,Eastern Cape
Motheo District Municipality,DC17,Free State
Naledi Local Municipality,FS164,Free State
Metsweding District Municipality,DC46,Gauteng
Nokeng tsa Taemane Local Municipality,GT461,Gauteng
Kungwini Local Municipality,GT462,Gauteng
Randfontein Local Municipality,GT482,Gauteng
Westonaria Local Municipality,GT483,Gauteng
Ezinqoleni Local Municipality,KZN215,KwaZulu-Natal
Hibiscus Coast Local Municipality,KZN216,KwaZulu-Natal
Vulamehlo Local Municipality,KZN211,KwaZulu-Natal
Emnambithi/Ladysmith Local Municipality,KZN232,KwaZulu-Natal
