geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,NC086,municipality-NC086,Kgatelopele,3034,1623,865,468,397,738,391,347,8,2,6,4,1,3,8,5,3,1411,612,275,337,618,287,331,11,5,6,21,6,15,149,57,92
municipality,NC091,municipality-NC091,Sol Plaatjie,39052,21671,14644,7739,6905,6157,3236,2921,114,62,52,673,384,289,83,47,36,17381,9750,4751,4999,5466,2747,2719,254,107,147,229,80,149,1682,840,842
municipality,NC092,municipality-NC092,Dikgatlong,7196,5244,3057,1657,1400,1721,890,831,22,10,12,429,217,212,15,5,10,1952,1116,502,614,524,274,250,19,6,13,153,67,86,140,59,81
municipality,NC093,municipality-NC093,Magareng,3944,2986,2535,1342,1193,416,218,198,15,7,8,1,0,1,19,12,7,958,686,293,393,181,79,102,9,0,9,3,1,2,79,36,43
municipality,NC451,municipality-NC451,Joe Morolong,14397,12407,12179,6651,5528,185,104,81,20,5,15,14,5,9,9,5,4,1990,1763,804,959,78,35,43,21,2,19,16,7,9,112,44,68
municipality,NC452,municipality-NC452,Ga-Segonyana,15595,10091,9509,5138,4371,535,272,263,12,6,6,21,11,10,14,9,5,5504,4369,2027,2342,667,325,342,48,7,41,39,10,29,381,184,197
municipality,NC453,municipality-NC453,Gamagara,6319,2666,1621,887,734,941,486,455,8,6,2,75,47,28,21,9,12,3653,1903,790,1113,1051,513,538,29,8,21,57,20,37,613,286,327
municipality,CPT,municipality-CPT,City of Cape Town,554253,235174,137564,76670,60894,92657,47266,45391,1056,520,536,2211,880,1331,1686,848,838,319079,101039,51449,49590,156002,78415,77587,5863,2814,3049,5929,2268,3661,50246,25055,25191
municipality,WC011,municipality-WC011,Matzikama,10533,5062,390,184,206,4537,2446,2091,24,14,10,55,30,25,56,31,25,5471,372,141,231,4169,2002,2167,29,12,17,69,28,41,832,415,417
municipality,WC013,municipality-WC013,Bergrivier,8786,3301,210,109,101,3020,1665,1355,6,2,4,10,0,10,55,34,21,5485,602,301,301,4070,2000,2070,25,11,14,35,9,26,753,379,374
municipality,WC014,municipality-WC014,Saldanha Bay,15041,5992,1869,1014,855,3982,2019,1963,39,16,23,35,11,24,67,39,28,9049,1942,888,1054,5473,2754,2719,80,43,37,60,13,47,1494,747,747
municipality,WC015,municipality-WC015,Swartland,16411,6662,1232,707,525,5299,2840,2459,30,12,18,19,10,9,82,31,51,9749,1398,617,781,6993,3471,3522,34,16,18,103,24,79,1221,583,638
municipality,WC022,municipality-WC022,Witzenberg,19990,9383,2152,1178,974,7126,3691,3435,20,6,14,46,18,28,39,17,22,10607,3257,1230,2027,6611,3209,3402,25,12,13,74,24,50,640,323,317
municipality,WC023,municipality-WC023,Drakenstein,38305,16507,4983,2727,2256,11266,5881,5385,32,18,14,83,26,57,143,85,58,21798,3471,1681,1790,14786,7230,7556,111,53,58,214,89,125,3216,1618,1598
municipality,WC025,municipality-WC025,Breede Valley,25898,12546,3723,2028,1695,8624,4553,4071,41,20,21,46,19,27,112,52,60,13352,2404,1222,1182,9292,4683,4609,92,33,59,148,76,72,1416,727,689
municipality,WC026,municipality-WC026,Langeberg,15593,8632,1664,904,760,6841,3612,3229,14,8,6,49,26,23,64,38,26,6961,834,388,446,5308,2554,2754,14,7,7,81,24,57,724,364,360
municipality,WC031,municipality-WC031,Theewaterskloof,16409,7802,2478,1313,1165,5251,2788,2463,15,8,7,25,13,12,33,18,15,8607,2135,848,1287,5626,2726,2900,25,12,13,127,27,100,694,330,364
municipality,WC032,municipality-WC032,Overstrand,9216,4393,2442,1333,1109,1829,941,888,7,3,4,24,9,15,91,45,46,4823,1615,806,809,2046,1034,1012,22,6,16,73,26,47,1067,549,518
municipality,WC034,municipality-WC034,Swellendam,5499,2675,356,168,188,2275,1196,1079,7,2,5,11,5,6,26,9,17,2824,370,134,236,2039,957,1082,5,2,3,42,12,30,368,171,197
municipality,WC041,municipality-WC041,Kannaland,3802,2592,99,50,49,2470,1277,1193,3,2,1,4,2,2,16,11,5,1210,48,26,22,1018,463,555,2,2,0,8,6,2,134,65,69
municipality,WC042,municipality-WC042,Hessequa,7139,3468,240,118,122,3123,1652,1471,25,12,13,7,3,4,73,39,34,3671,264,118,146,2721,1356,1365,13,8,5,17,2,15,656,344,312
municipality,WC043,municipality-WC043,Mossel Bay,10210,5015,2023,1174,849,2837,1491,1346,25,13,12,35,11,24,95,37,58,5195,1319,647,672,2576,1275,1301,29,13,16,63,16,47,1208,628,580
