geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,LIM353,municipality-LIM353,Molemole,19780,15839,15783,8251,7532,19,7,12,9,5,4,14,4,10,14,7,7,3941,3813,1707,2106,5,4,1,17,2,15,18,5,13,88,41,47
municipality,LIM354,municipality-LIM354,Polokwane,113910,71141,70599,37358,33241,278,130,148,81,32,49,71,38,33,112,50,62,42769,38363,18973,19390,598,269,329,498,221,277,123,43,80,3187,1546,1641
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,41868,33674,33622,17521,16101,15,7,8,17,4,13,13,6,7,7,5,2,8194,8121,3875,4246,5,3,2,24,1,23,17,5,12,27,16,11
municipality,LIM361,municipality-LIM361,Thabazimbi,10481,3712,3644,1914,1730,13,7,6,0,0,0,7,4,3,48,20,28,6769,5529,2333,3196,52,26,26,17,8,9,27,7,20,1144,587,557
municipality,LIM362,municipality-LIM362,Lephalale,19609,10733,10655,5635,5020,17,5,12,6,1,5,12,5,7,43,18,25,8876,7999,3412,4587,41,19,22,28,5,23,27,3,24,781,370,411
municipality,LIM365,municipality-LIM365,Modimolle,11013,7243,7171,3866,3305,15,10,5,6,1,5,11,4,7,40,23,17,3770,3245,1400,1845,19,5,14,42,7,35,13,2,11,451,246,205
municipality,LIM366,municipality-LIM366,Bela-Bela,9952,6202,6030,3191,2839,90,44,46,15,8,7,10,2,8,57,29,28,3750,3145,1426,1719,56,30,26,35,19,16,8,2,6,506,264,242
municipality,BUF,municipality-BUF,Buffalo City,115312,70248,66607,35134,31473,3107,1590,1517,88,35,53,114,33,81,332,171,161,45064,35030,17886,17144,4132,2095,2037,614,288,326,294,81,213,4994,2540,2454
municipality,EC101,municipality-EC101,Camdeboo,7401,5004,1160,602,558,3785,1927,1858,15,4,11,14,5,9,30,21,9,2397,519,295,224,1558,691,867,18,4,14,19,9,10,283,126,157
municipality,EC105,municipality-EC105,Ndlambe,8377,6006,5546,2857,2689,407,217,190,8,1,7,18,4,14,27,13,14,2371,1677,773,904,231,116,115,12,3,9,43,9,34,408,213,195
municipality,EC122,municipality-EC122,Mnquma,44303,36781,36705,18186,18519,30,14,16,24,14,10,12,4,8,10,5,5,7522,7420,3653,3767,29,14,15,24,7,17,22,5,17,27,17,10
municipality,EC128,municipality-EC128,Nxuba,3552,2813,2153,1067,1086,643,314,329,6,3,3,9,4,5,2,2,0,739,462,217,245,170,79,91,16,8,8,16,6,10,75,35,40
municipality,EC135,municipality-EC135,Intsika Yethu,23866,20942,20852,9960,10892,54,23,31,15,3,12,13,4,9,8,5,3,2924,2868,1295,1573,10,1,9,17,0,17,23,4,19,6,2,4
municipality,EC144,municipality-EC144,Gariep,5367,4025,3351,1713,1638,646,318,328,4,2,2,10,5,5,14,10,4,1342,921,411,510,229,86,143,8,0,8,12,1,11,172,97,75
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,86200,67036,66683,34790,31893,216,119,97,59,25,34,37,8,29,41,24,17,19164,18533,9684,8849,306,149,157,167,49,118,81,22,59,77,42,35
