,mun_code,mun_name,province,Adult_emp,overcrowding,empSector,difficulty,typeDwelling,circumstance_measure
0,ZA,South Africa,Western Cape,0.5780694937066063,0.8379046518531083,0.7467354372190287,0.9069120454181325,0.7822610689418835,0.7703765394277519
1,WC044,George,Western Cape,0.7964011073515841,0.8201126307320997,0.7904518527122778,0.9256131885806193,0.8690292758089369,0.8403216110371036
2,WC047,Bitou,Western Cape,0.7707310601034895,0.8358596203741636,0.7425312330255296,0.9238814642649622,0.7478202548625084,0.8041647265261308
3,WC048,Knysna,Western Cape,0.7870668434008711,0.8713988713988714,0.7346096096096096,0.9391474464579901,0.7454068241469817,0.8155259190028649
4,WC051,Laingsburg,Western Cape,0.8284982935153583,0.7566844919786097,0.897025171624714,0.9475138121546961,0.9674935842600513,0.8794430707066859
5,WC052,Prince Albert,Western Cape,0.7009472259810555,0.7170418006430869,0.7455516014234875,0.9305977710233029,0.9414414414414415,0.807115968102475
6,WC053,Beaufort West,Mpumalanga,0.596495588418044,0.8586171310629515,0.7634478289047311,0.9205315975047464,0.9799529761168172,0.8238090244014581
7,MP303,Mkhondo,Mpumalanga,0.5113798717480148,0.866782122160794,0.6536144578313253,0.8927679908708366,0.6216144538372286,0.7092317792896399
8,MP311,Victor Khanye,North West,0.7065814886346754,0.892786785876648,0.6911669890393295,0.8855852156057495,0.8160962486922732,0.7984433455697352
9,MP322,Mbombela,North West,0.667182374144425,0.9243657409691051,0.6968562136592096,0.9202677385591022,0.9508490665541609,0.8319042267772006
10,NW373,Rustenburg,North West,0.7456741721854304,0.8639921496190256,0.734671801306737,0.9092209468652968,0.7484179157784301,0.800395397150984
11,NW384,Ditsobotla,Northern Cape,0.5936565134620615,0.8171879849639618,0.629512349588347,0.890251357474199,0.7441121175867373,0.7349440646150613
12,NW396,Lekwa-Teemane,Northern Cape,0.5614312856238125,0.7986413331918055,0.5762491888384166,0.9047090182141271,0.8000630715862503,0.7282187794908825
13,NC062,Nama Khoi,Northern Cape,0.6871725990597717,0.8896589210490555,0.6798159105851413,0.8963804116394606,0.9699298813376483,0.8245915447342155
14,NC071,Ubuntu,Northern Cape,0.6974072858549393,0.803122878479294,0.6716763005780347,0.9136539136539137,0.8831083305893974,0.7937937418311158
15,NC077,Siyathemba,Northern Cape,0.6967403958090803,0.7589025102159953,0.7711561382598331,0.9236476043276661,0.9035900405327157,0.8108073378290581
16,NC085,Tsantsabane,Western Cape,0.731462611694623,0.8577131906739061,0.6285714285714286,0.9078903376797058,0.789506853631637,0.7830288844502601
17,NC094,Phokwane,Western Cape,0.5557030351296346,0.7952397931895169,0.6728476821192053,0.8425451092117759,0.8684395914054245,0.7469550422111114
18,WC012,Cederberg,Western Cape,0.8381178232651023,0.8233401955738548,0.8572749691738595,0.9391640226238102,0.8948695323332914,0.8705533085939836
19,WC024,Stellenbosch,Western Cape,0.7513745224117044,0.8749562784190277,0.7604983353023306,0.9235292129895584,0.8114942528735632,0.8243705203992369
20,WC033,Cape Agulhas,Eastern Cape,0.8958652373660031,0.8959857623096698,0.8038601982263954,0.9334584897788902,0.853431562621171,0.8765202500604259
21,WC045,Oudtshoorn,Eastern Cape,0.7085714285714285,0.7607906918553734,0.8032629558541267,0.9403908151852095,0.9000987898246481,0.8226229362581572
