,geo_code,name,total,less_1km,less_1km_Female,less_1km_Male,more_1km,more_1km_Female,more_1km_Male,No_piped_water,No_piped_water_Female,No_piped_water_Male,On_site,On_site_Female,On_site_Male,province
74,KZN212,Umdoni,15290,7439,3761,3678,293,137,156,439,236,203,7119,3524,3595,KwaZulu-Natal
75,KZN213,Umzumbe,33663,12510,6211,6299,1399,690,709,14880,7381,7499,4874,2438,2436,KwaZulu-Natal
76,KZN214,UMuziwabantu,20524,14158,7210,6948,461,233,228,3327,1690,1637,2578,1264,1314,KwaZulu-Natal
77,KZN215,Ezingoleni,11084,7446,3716,3730,670,350,320,1651,824,827,1317,647,670,KwaZulu-Natal
78,KZN221,uMshwathi,22263,3714,1938,1776,51,36,15,5161,2627,2534,13337,6635,6702,KwaZulu-Natal
79,KZN222,uMngeni,17260,2023,814,1209,82,43,39,916,446,470,14239,7081,7158,KwaZulu-Natal
80,KZN223,Mpofana,7493,720,387,333,30,13,17,1794,914,880,4949,2343,2606,KwaZulu-Natal
81,KZN224,Impendle,6835,2226,1136,1090,50,24,26,883,461,422,3676,1771,1905,KwaZulu-Natal
82,KZN225,The Msunduzi,129442,9843,5133,4710,504,248,256,4788,2462,2326,114307,57821,56486,KwaZulu-Natal
83,KZN226,Mkhambathini,12899,1914,935,979,301,143,158,4661,2430,2231,6023,2848,3175,KwaZulu-Natal
84,KZN232,Emnambithi/Ladysmith,46331,13147,6747,6400,596,318,278,4993,2538,2455,27595,14231,13364,KwaZulu-Natal
85,KZN233,Indaka,21833,2377,1305,1072,291,156,135,7466,4111,3355,11699,6004,5695,KwaZulu-Natal
86,KZN234,Umtshezi,16279,2979,1580,1399,159,85,74,4322,2268,2054,8819,4394,4425,KwaZulu-Natal
87,KZN235,Okhahlamba,26455,9955,5121,4834,527,273,254,9894,5083,4811,6079,2996,3083,KwaZulu-Natal
88,KZN236,Imbabazane,23881,13407,6797,6610,1255,646,609,5993,3081,2912,3226,1606,1620,KwaZulu-Natal
89,KZN242,Nqutu,35171,15721,8246,7475,690,378,312,8064,4150,3914,10696,5497,5199,KwaZulu-Natal
90,KZN244,Msinga,36312,12088,6553,5535,671,373,298,19797,10754,9043,3756,2019,1737,KwaZulu-Natal
91,KZN245,Umvoti,21345,5796,3049,2747,380,195,185,9387,5019,4368,5782,3062,2720,KwaZulu-Natal
92,KZN252,Newcastle,76118,7406,3782,3624,245,112,133,2917,1433,1484,65550,32642,32908,KwaZulu-Natal
93,KZN254,Dannhauser,21729,7664,3769,3895,58,25,33,2902,1386,1516,11105,5575,5530,KwaZulu-Natal
94,KZN261,eDumbe,16976,2220,1145,1075,173,72,101,4568,2262,2306,10015,5087,4928,KwaZulu-Natal
95,KZN262,UPhongolo,28040,6136,3159,2977,412,234,178,8361,4360,4001,13131,6575,6556,KwaZulu-Natal
96,KZN263,Abaqulusi,43667,5650,2764,2886,452,236,216,8703,4379,4324,28862,14523,14339,KwaZulu-Natal
97,KZN265,Nongoma,43905,7401,3837,3564,1139,615,524,24179,12460,11719,11186,5898,5288,KwaZulu-Natal
98,KZN266,Ulundi,40632,5834,2968,2866,378,190,188,15037,8043,6994,19383,9992,9391,KwaZulu-Natal
99,KZN272,Jozini,41508,10964,5687,5277,1751,884,867,19343,9980,9363,9450,4990,4460,KwaZulu-Natal
100,KZN273,The Big 5 False Bay,7428,5168,2615,2553,121,55,66,268,138,130,1871,993,878,KwaZulu-Natal
101,KZN274,Hlabisa,16046,1462,775,687,150,64,86,9504,4847,4657,4930,2598,2332,KwaZulu-Natal
