,geo_level,geo_code,geoid,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male
58,municipality,FS184,municipality-FS184,Matjhabeng,73518,65703,33015,32688,7815,4305,3510
59,municipality,FS185,municipality-FS185,Nala,14629,13509,6912,6597,1120,617,503
60,municipality,FS192,municipality-FS192,Dihlabeng,21943,18099,9139,8960,3844,2158,1686
61,municipality,FS193,municipality-FS193,Nketoana,11264,9320,4612,4708,1944,1079,865
62,municipality,FS194,municipality-FS194,Maluti a Phofung,72288,66971,33877,33094,5317,3042,2275
63,municipality,FS195,municipality-FS195,Phumelela,8776,7918,3959,3959,858,494,364
64,municipality,FS201,municipality-FS201,Moqhaka,26041,24136,12058,12078,1905,1068,837
65,municipality,FS203,municipality-FS203,Ngwathe,20832,19396,9777,9619,1436,795,641
66,municipality,FS204,municipality-FS204,Metsimaholo,25478,24075,11796,12279,1403,781,622
67,municipality,FS205,municipality-FS205,Mafube,10525,9674,4889,4785,851,486,365
68,municipality,GT421,municipality-GT421,Emfuleni,131722,117475,58558,58917,14247,7863,6384
69,municipality,GT423,municipality-GT423,Lesedi,16574,15457,7611,7846,1117,635,482
70,municipality,GT481,municipality-GT481,Mogale City,57255,48323,23384,24939,8932,4929,4003
71,municipality,GT482,municipality-GT482,Randfontein,23596,19881,9786,10095,3715,2013,1702
72,municipality,GT483,municipality-GT483,Westonaria,19145,13801,6452,7349,5344,2971,2373
73,municipality,KZN211,municipality-KZN211,Vulamehlo,15763,11540,5690,5850,4223,2282,1941
74,municipality,KZN212,municipality-KZN212,Umdoni,14402,11623,5745,5878,2779,1543,1236
75,municipality,KZN213,municipality-KZN213,Umzumbe,33195,23859,11553,12306,9336,4911,4425
76,municipality,KZN214,municipality-KZN214,UMuziwabantu,20193,16236,8082,8154,3957,2148,1809
77,municipality,KZN215,municipality-KZN215,Ezingoleni,10732,6898,3301,3597,3834,2048,1786
78,municipality,KZN221,municipality-KZN221,uMshwathi,21916,18151,9036,9115,3765,2059,1706
79,municipality,KZN222,municipality-KZN222,uMngeni,14803,12540,6197,6343,2263,1258,1005
80,municipality,KZN223,municipality-KZN223,Mpofana,7026,5769,2790,2979,1257,700,557
81,municipality,KZN224,municipality-KZN224,Impendle,6785,6369,3123,3246,416,241,175
82,municipality,KZN225,municipality-KZN225,The Msunduzi,120545,104981,52536,52445,15564,8816,6748
83,municipality,KZN226,municipality-KZN226,Mkhambathini,12010,9521,4629,4892,2489,1377,1112
84,municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,45402,37615,19048,18567,7787,4373,3414
85,municipality,KZN233,municipality-KZN233,Indaka,21800,14249,7369,6880,7551,4194,3357
86,municipality,KZN234,municipality-KZN234,Umtshezi,15873,12041,6034,6007,3832,2099,1733
87,municipality,KZN235,municipality-KZN235,Okhahlamba,25783,19819,9945,9874,5964,3227,2737
88,municipality,KZN236,municipality-KZN236,Imbabazane,23737,19209,9568,9641,4528,2491,2037
89,municipality,KZN242,municipality-KZN242,Nqutu,34783,26637,13563,13074,8146,4458,3688
90,municipality,KZN244,municipality-KZN244,Msinga,35850,22569,12098,10471,13281,7332,5949
91,municipality,KZN245,municipality-KZN245,Umvoti,20636,16295,8571,7724,4341,2404,1937
92,municipality,KZN252,municipality-KZN252,Newcastle,73880,63563,31445,32118,10317,5770,4547
93,municipality,KZN254,municipality-KZN254,Dannhauser,21537,16464,7915,8549,5073,2773,2300
94,municipality,KZN261,municipality-KZN261,eDumbe,16848,13615,6796,6819,3233,1736,1497
95,municipality,KZN262,municipality-KZN262,UPhongolo,27541,21049,10445,10604,6492,3639,2853
96,municipality,KZN263,municipality-KZN263,Abaqulusi,40911,32826,16064,16762,8085,4447,3638
97,municipality,KZN265,municipality-KZN265,Nongoma,42162,28212,14331,13881,13950,7568,6382
98,municipality,KZN266,municipality-KZN266,Ulundi,38362,28815,14752,14063,9547,5213,4334
99,municipality,KZN272,municipality-KZN272,Jozini,41149,30308,15473,14835,10841,5922,4919
100,municipality,KZN273,municipality-KZN273,The Big 5 False Bay,6914,5096,2568,2528,1818,980,838
101,municipality,KZN274,municipality-KZN274,Hlabisa,15790,9492,4735,4757,6298,3350,2948
