,geo_code,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking,province
0,ZA,South Africa,9012788,77159,133998,137164,398001,92660,80369,South Africa
1,WC044,George,29844,216,327,301,1068,308,239,Western Cape
2,WC047,Bitou,6884,33,83,67,304,37,58,Western Cape
3,WC048,Knysna,9712,57,81,85,296,72,57,Western Cape
4,WC051,Laingsburg,1086,6,9,3,36,3,8,Western Cape
5,WC052,Prince Albert,1974,12,13,26,67,19,12,Western Cape
6,WC053,Beaufort West,7374,62,70,92,272,90,70,Western Cape
7,MP303,Mkhondo,28042,273,635,479,1338,282,260,Mpumalanga
8,MP311,Victor Khanye,12175,146,262,216,636,133,166,Mpumalanga
9,MP322,Mbombela,113693,813,1543,1316,4380,1013,794,North West
10,NW373,Rustenburg,85989,800,1253,1080,3896,777,739,North West
11,NW384,Ditsobotla,27809,227,480,594,1398,353,263,North West
12,NW396,Lekwa-Teemane,9004,52,170,171,414,51,73,Northern Cape
13,NC062,Nama Khoi,7045,45,83,76,480,46,65,Northern Cape
14,NC071,Ubuntu,2849,24,32,27,103,60,32,Northern Cape
15,NC077,Siyathemba,3235,31,30,33,118,35,13,Northern Cape
16,NC085,Tsantsabane,5982,42,90,68,291,60,47,Northern Cape
17,NC094,Phokwane,10530,206,267,383,628,174,124,Western Cape
18,WC012,Cederberg,7249,55,57,88,182,59,50,Western Cape
19,WC024,Stellenbosch,29593,193,264,299,1247,260,203,Western Cape
20,WC033,Cape Agulhas,4794,39,46,37,162,35,28,Western Cape
21,WC045,Oudtshoorn,15199,87,101,129,430,159,99,Eastern Cape
22,EC102,Blue Crane Route,5190,52,78,72,179,77,63,Eastern Cape
23,EC103,Ikwezi,1505,11,12,22,57,12,9,Eastern Cape
24,EC104,Makana,12647,114,185,217,653,133,157,Eastern Cape
25,EC106,Sundays River Valley,8578,88,153,127,292,94,84,Eastern Cape
26,EC107,Baviaans,2655,26,32,54,104,55,38,Eastern Cape
27,EC108,Kouga,14072,116,162,195,465,129,102,Eastern Cape
28,EC109,Kou-Kamma,6147,50,83,72,170,63,75,Eastern Cape
29,EC121,Mbhashe,48148,436,952,904,1437,591,556,Eastern Cape
30,EC123,Great Kei,6239,57,112,126,211,84,84,Eastern Cape
31,EC124,Amahlathi,20470,270,411,537,1080,241,213,Eastern Cape
32,EC126,Ngqushwa,10847,147,255,327,554,132,145,Eastern Cape
33,EC127,Nkonkobe,19009,194,363,400,1049,227,192,Eastern Cape
34,EC131,Inxuba Yethemba,10240,77,141,130,507,130,86,Eastern Cape
35,EC132,Tsolwana,5773,58,113,109,207,67,51,Eastern Cape
36,EC133,Inkwanca,3867,28,50,57,177,49,40,Eastern Cape
37,EC134,Lukanji,33933,327,546,575,1879,348,368,Eastern Cape
38,EC136,Emalahleni,20687,276,457,560,846,302,270,Eastern Cape
39,EC137,Engcobo,27255,333,485,533,790,392,316,Eastern Cape
40,EC138,Sakhisizwe,11505,109,232,195,418,137,134,Eastern Cape
41,EC141,Elundini,26177,263,511,520,847,355,286,Eastern Cape
42,EC142,Senqu,25529,223,641,683,1263,276,266,Eastern Cape
43,EC143,Maletswai,7580,36,108,74,319,67,61,Eastern Cape
44,EC153,Ngquza Hill,54417,519,957,996,1186,825,628,Eastern Cape
45,EC154,Port St Johns,31602,276,559,462,524,449,253,Eastern Cape
46,EC155,Nyandeni,59728,520,1220,1152,1499,743,598,Eastern Cape
47,EC156,Mhlontlo,37253,409,661,1228,859,540,368,Eastern Cape
48,EC441,Matatiele,36629,359,1042,1051,1616,541,404,Eastern Cape
49,EC442,Umzimvubu,35643,570,981,919,1325,566,492,Eastern Cape
50,EC443,Mbizana,54767,577,936,1111,1269,727,642,Eastern Cape
51,EC444,Ntabankulu,24387,279,472,473,469,354,240,Free State
52,FS161,Letsemeng,6283,46,119,120,326,136,51,Free State
53,FS162,Kopanong,7753,61,183,144,617,79,69,Free State
54,FS163,Mohokare,6076,62,146,132,436,43,38,Free State
55,FS181,Masilonyana,10157,107,280,286,871,126,108,Free State
56,FS182,Tokologo,4689,68,121,190,320,51,57,Free State
57,FS183,Tswelopele,8322,181,209,230,544,130,92,Free State
58,FS184,Matjhabeng,70528,577,1506,1182,6324,733,585,Free State
59,FS185,Nala,13881,153,427,553,1015,209,168,Free State
60,FS192,Dihlabeng,21070,144,442,343,1366,198,182,Free State
61,FS193,Nketoana,10770,100,250,235,575,98,79,Free State
62,FS194,Maluti a Phofung,67621,589,1548,1489,5161,749,645,Free State
63,FS195,Phumelela,8427,57,184,196,480,102,95,Free State
64,FS201,Moqhaka,24185,250,564,514,1893,297,194,Free State
65,FS203,Ngwathe,19448,146,455,365,1430,276,189,Free State
66,FS204,Metsimaholo,24656,184,506,367,1712,242,233,Free State
67,FS205,Mafube,10047,64,207,190,631,112,88,Gauteng
68,GT421,Emfuleni,125864,935,1888,1892,8436,1079,1033,Gauteng
69,GT423,Lesedi,15655,117,248,216,903,97,112,Gauteng
70,GT481,Mogale City,55889,409,730,720,3194,470,431,Gauteng
71,GT482,Randfontein,23340,194,358,274,1398,202,191,Gauteng
72,GT483,Westonaria,18733,220,379,271,1026,176,170,KwaZulu-Natal
73,KZN211,Vulamehlo,14264,254,341,512,558,297,330,KwaZulu-Natal
74,KZN212,Umdoni,13307,152,257,230,714,189,157,KwaZulu-Natal
75,KZN213,Umzumbe,30050,613,616,727,1042,403,367,KwaZulu-Natal
76,KZN214,UMuziwabantu,18482,210,351,601,476,276,213,KwaZulu-Natal
77,KZN215,Ezingoleni,10099,75,136,152,241,94,81,KwaZulu-Natal
78,KZN221,uMshwathi,19881,185,358,351,694,270,303,KwaZulu-Natal
79,KZN222,uMngeni,14398,134,454,348,965,137,196,KwaZulu-Natal
80,KZN223,Mpofana,6672,63,142,149,234,76,78,KwaZulu-Natal
81,KZN224,Impendle,6248,130,108,144,236,50,57,KwaZulu-Natal
82,KZN225,The Msunduzi,110617,1139,1875,1892,6008,1166,1141,KwaZulu-Natal
83,KZN226,Mkhambathini,11371,143,267,317,371,167,199,KwaZulu-Natal
84,KZN232,Emnambithi/Ladysmith,41786,396,739,788,1963,492,348,KwaZulu-Natal
