,geo_code,name,province,total,prop_yes,prop_no
190,NW392,Naledi,North West,11813,0.9862016422585287,0.010835520189621603
191,NW393,Mamusa,North West,11126,0.9893942117562466,0.008718317454610821
192,NW394,Greater Taung,North West,33441,0.9900421638108908,0.006967494991178494
193,NW397,Kagisano/Molopo,North West,18691,0.984645016318014,0.008025252795463057
194,NW401,Ventersdorp,North West,9913,0.9814385150812065,0.016241299303944315
195,NW402,Tlokwe City Council,North West,32779,0.9740382562006162,0.021843253302419232
196,NW403,City of Matlosana,North West,70522,0.9669323048126826,0.029962281273928703
197,NW404,Maquassi Hills,North West,14123,0.9888125752318913,0.008709197762515046
198,NC061,Richtersveld,North West,1723,0.9930354033662218,0.003482298316889147
199,NC064,Kamiesberg,Northern Cape,1308,0.9946483180428135,0.0045871559633027525
200,NC065,Hantam,Northern Cape,3311,0.9915433403805497,0.005134400483237693
201,NC066,Karoo Hoogland,Northern Cape,1605,0.9975077881619938,0.0012461059190031153
202,NC067,Khâi-Ma,Northern Cape,2158,0.9888785912882299,0.006950880444856348
203,NC072,Umsobomvu,Northern Cape,4798,0.9889537307211338,0.010004168403501459
204,NC073,Emthanjeni,Northern Cape,7070,0.9892503536067893,0.009193776520509194
205,NC074,Kareeberg,Northern Cape,1739,0.9965497412305923,0.0034502587694077054
206,NC075,Renosterberg,Northern Cape,1727,0.9808917197452229,0.009264620729588882
207,NC076,Thembelihle,Northern Cape,2697,0.989618094178717,0.008898776418242492
208,NC078,Siyancuma,Northern Cape,6170,0.9884927066450567,0.007941653160453808
209,NC081,Mier,Northern Cape,1132,0.9885159010600707,0.01060070671378092
210,NC082,Kai !Garib,Northern Cape,14042,0.9925224327018943,0.005341119498646916
211,NC083,//Khara Hais,Northern Cape,16685,0.9842972729997004,0.013365298172010789
212,NC084,!Kheis,Northern Cape,2485,0.9891348088531187,0.010462776659959759
213,NC086,Kgatelopele,Northern Cape,3316,0.9930639324487334,0.006332931242460796
214,NC091,Sol Plaatjie,Northern Cape,43669,0.9858251849137832,0.011197874922714053
215,NC092,Dikgatlong,Northern Cape,8169,0.9837189374464439,0.013832782470314603
216,NC093,Magareng,Northern Cape,4382,0.9895025102692835,0.008900045641259699
217,NC451,Joe Morolong,Northern Cape,16163,0.9873785807090268,0.010332240301924148
218,NC452,Ga-Segonyana,Northern Cape,17881,0.982439460880264,0.014484648509591186
219,NC453,Gamagara,Northern Cape,7157,0.9804387313120022,0.01495039821154115
220,CPT,City of Cape Town,Northern Cape,661974,0.9542202563846919,0.038415406043137645
221,WC011,Matzikama,Western Cape,11327,0.9806656661075307,0.010859009446455372
222,WC013,Bergrivier,Western Cape,9517,0.9692129872859094,0.0212251760008406
223,WC014,Saldanha Bay,Western Cape,17073,0.9766883383119546,0.015521583787266443
224,WC015,Swartland,Western Cape,18028,0.9834701575327268,0.013035278455735523
225,WC022,Witzenberg,Western Cape,21404,0.955055129882265,0.038684358063913286
226,WC023,Drakenstein,Western Cape,45044,0.9753352277772844,0.01569576414172809
227,WC025,Breede Valley,Western Cape,29058,0.9583247298506435,0.036272283020166565
228,WC026,Langeberg,Western Cape,16930,0.9603662138216185,0.026993502658003543
229,WC031,Theewaterskloof,Western Cape,18629,0.9662891191153578,0.02012990498684846
230,WC032,Overstrand,Western Cape,11464,0.9567341242149338,0.03210048848569435
231,WC034,Swellendam,Western Cape,5870,0.9763202725724021,0.02129471890971039
232,WC041,Kannaland,Western Cape,4058,0.9857072449482503,0.007885657959586003
233,WC042,Hessequa,Western Cape,7627,0.985970892880556,0.009309033696079716
234,WC043,Mossel Bay,Western Cape,13729,0.9773472212105762,0.013912156748488601
