,geo_code,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male,province
109,KZN293,Ndwedwe,29382,19351,9493,9858,10031,5333,4698,KwaZulu-Natal
110,KZN294,Maphumulo,20518,15500,8032,7468,5018,2800,2218,KwaZulu-Natal
111,KZN431,Ingwe,20490,14591,7201,7390,5899,3146,2753,KwaZulu-Natal
112,KZN432,Kwa Sani,1506,1281,577,704,225,116,109,KwaZulu-Natal
113,KZN434,Ubuhlebezwe,20576,15286,7528,7758,5290,2838,2452,KwaZulu-Natal
114,KZN435,Umzimkhulu,38765,33093,17041,16052,5672,3263,2409,Limpopo
115,LIM331,Greater Giyani,56757,49482,24999,24483,7275,4063,3212,Limpopo
116,LIM332,Greater Letaba,49092,45115,22266,22849,3977,2116,1861,Limpopo
117,LIM333,Greater Tzaneen,81999,73725,36462,37263,8274,4698,3576,Limpopo
118,LIM335,Maruleng,20328,18844,9399,9445,1484,844,640,Limpopo
119,LIM341,Musina,11758,9134,4635,4499,2624,1522,1102,Limpopo
120,LIM342,Mutale,20148,17617,8739,8878,2531,1412,1119,Limpopo
121,LIM343,Thulamela,140302,121947,60598,61349,18355,10050,8305,Limpopo
122,LIM344,Makhado,107827,96722,47666,49056,11105,6153,4952,Limpopo
123,LIM351,Blouberg,36014,32154,16167,15987,3860,2145,1715,Limpopo
124,LIM353,Molemole,22272,20477,9985,10492,1795,988,807,Limpopo
125,LIM354,Polokwane,128257,117531,58974,58557,10726,6121,4605,Limpopo
126,LIM355,Lepele-Nkumpi,47073,43640,21626,22014,3433,1949,1484,Limpopo
127,LIM361,Thabazimbi,11155,9690,4489,5201,1465,792,673,Limpopo
128,LIM362,Lephalale,21068,19122,9116,10006,1946,1027,919,Limpopo
129,LIM365,Modimolle,11501,10445,5185,5260,1056,547,509,Limpopo
130,LIM366,Bela-Bela,10872,9349,4541,4808,1523,854,669,Eastern Cape
131,BUF,Buffalo City,129749,103934,51912,52022,25815,14213,11602,Eastern Cape
132,EC101,Camdeboo,8048,6582,3181,3401,1466,795,671,Eastern Cape
133,EC105,Ndlambe,9394,7979,3876,4103,1415,772,643,Eastern Cape
134,EC122,Mnquma,48577,29085,13635,15450,19492,10005,9487,Eastern Cape
135,EC128,Nxuba,3803,3207,1515,1692,596,310,286,Eastern Cape
136,EC135,Intsika Yethu,26064,12433,5421,7012,13631,6630,7001,Eastern Cape
137,EC144,Gariep,5726,4732,2240,2492,994,528,466,Eastern Cape
138,EC157,King Sabata Dalindyebo,96109,61723,30742,30981,34386,18623,15763,Eastern Cape
139,NMA,Nelson Mandela Bay,202187,183455,91604,91851,18732,10270,8462,Eastern Cape
140,FS164,Naledi,4735,4069,2027,2042,666,395,271,Free State
141,FS191,Setsoto,21085,18077,9158,8919,3008,1661,1347,Free State
142,FS196,Mantsopa,9551,8021,4026,3995,1530,832,698,Free State
143,MAN,Mangaung,141271,124823,62790,62033,16448,9152,7296,Free State
144,EKU,Ekurhuleni,523587,449400,218626,230774,74187,42246,31941,Gauteng
145,GT422,Midvaal,14222,12807,6204,6603,1415,760,655,Gauteng
146,GT484,Merafong City,31420,27251,13445,13806,4169,2356,1813,Gauteng
147,JHB,City of Johannesburg,683217,569573,281859,287714,113644,63173,50471,Gauteng
148,TSH,City of Tshwane,481203,434785,217481,217304,46418,25960,20458,Gauteng
149,ETH,eThekwini,661650,553496,273842,279654,108154,60721,47433,KwaZulu-Natal
150,KZN216,Hibiscus Coast,48101,39778,19832,19946,8323,4701,3622,KwaZulu-Natal
151,KZN227,Richmond,12394,10386,5048,5338,2008,1154,854,KwaZulu-Natal
152,KZN241,Endumeni,12475,10099,4902,5197,2376,1292,1084,KwaZulu-Natal
153,KZN253,Emadlangeni,6340,4767,2228,2539,1573,796,777,KwaZulu-Natal
154,KZN271,Umhlabuyalingana,33242,24183,12332,11851,9059,4856,4203,KwaZulu-Natal
155,KZN282,uMhlathuze,67000,54717,28342,26375,12283,6702,5581,KwaZulu-Natal
156,KZN292,KwaDukuza,44041,34761,17068,17693,9280,5319,3961,KwaZulu-Natal
157,KZN433,Greater Kokstad,12668,8556,4214,4342,4112,2359,1753,KwaZulu-Natal
158,LIM334,Ba-Phalaborwa,29766,26521,13302,13219,3245,1884,1361,KwaZulu-Natal
159,LIM352,Aganang,27380,25508,12519,12989,1872,1038,834,Limpopo
160,LIM364,Mookgopong,5425,4847,2301,2546,578,318,260,Limpopo
161,LIM367,Mogalakwena,63182,57187,28482,28705,5995,3342,2653,Limpopo
162,LIM471,Ephraim Mogale,24958,22416,10974,11442,2542,1370,1172,Limpopo
163,LIM472,Elias Motsoaledi,51155,47002,23471,23531,4153,2305,1848,Limpopo
164,LIM473,Makhuduthamaga,56018,50977,25698,25279,5041,2781,2260,Limpopo
165,LIM474,Fetakgomo,19131,17866,9079,8787,1265,716,549,Limpopo
166,LIM475,Greater Tubatse,70419,64345,32402,31943,6074,3446,2628,Limpopo
167,MP301,Albert Luthuli,41027,37928,19195,18733,3099,1776,1323,Limpopo
168,MP302,Msukaligwa,27764,24960,12435,12525,2804,1595,1209,Mpumalanga
169,MP304,Pixley Ka Seme,15712,13515,6753,6762,2197,1248,949,Mpumalanga
170,MP305,Lekwa,20240,18517,9001,9516,1723,932,791,Mpumalanga
171,MP306,Dipaleseng,7410,6827,3305,3522,583,349,234,Mpumalanga
172,MP307,Govan Mbeki,52896,47581,22616,24965,5315,2893,2422,Mpumalanga
173,MP312,Emalahleni,72793,66994,32098,34896,5799,3182,2617,Mpumalanga
174,MP313,Steve Tshwete,38362,34841,16784,18057,3521,1936,1585,Mpumalanga
175,MP314,Emakhazeni,8187,7364,3616,3748,823,451,372,Mpumalanga
176,MP315,Thembisile,64083,59504,29830,29674,4579,2589,1990,Mpumalanga
177,MP316,Dr JS Moroka,51658,48472,23929,24543,3186,1825,1361,Mpumalanga
178,MP321,Thaba Chweu,15912,14551,6993,7558,1361,766,595,Mpumalanga
179,MP323,Umjindi,11486,10334,5214,5120,1152,649,503,Mpumalanga
180,MP324,Nkomazi,90440,80190,40706,39484,10250,5661,4589,Mpumalanga
181,MP325,Bushbuckridge,125287,115727,58708,57019,9560,5592,3968,Mpumalanga
182,NW371,Moretele,34846,31521,15551,15970,3325,1837,1488,Mpumalanga
183,NW372,Madibeng,83702,72434,34249,38185,11268,6300,4968,North West
184,NW374,Kgetlengrivier,8038,7023,3334,3689,1015,566,449,North West
185,NW375,Moses Kotane,42135,37181,18116,19065,4954,2711,2243,North West
186,NW381,Ratlou,19577,15997,8013,7984,3580,1983,1597,North West
187,NW382,Tswaing,22948,17849,8727,9122,5099,2881,2218,North West
188,NW383,Mafikeng,55928,47783,24110,23673,8145,4553,3592,North West
189,NW385,Ramotshere Moiloa,25663,21025,10354,10671,4638,2555,2083,North West
190,NW392,Naledi,11084,8899,4353,4546,2185,1259,926,North West
191,NW393,Mamusa,10855,8961,4412,4549,1894,1049,845,North West
192,NW394,Greater Taung,33170,28491,14186,14305,4679,2752,1927,North West
193,NW397,Kagisano/Molopo,18289,14629,7306,7323,3660,2191,1469,North West
194,NW401,Ventersdorp,9705,7883,3862,4021,1822,995,827,North West
195,NW402,Tlokwe City Council,30812,28760,14667,14093,2052,1091,961,North West
196,NW403,City of Matlosana,68013,59927,29705,30222,8086,4454,3632,North West
197,NW404,Maquassi Hills,13520,12204,6093,6111,1316,739,577,North West
198,NC061,Richtersveld,1679,1538,725,813,141,64,77,North West
199,NC064,Kamiesberg,1272,1118,512,606,154,78,76,Northern Cape
200,NC065,Hantam,3259,2528,1211,1317,731,390,341,Northern Cape
201,NC066,Karoo Hoogland,1543,1221,616,605,322,176,146,Northern Cape
202,NC067,Khâi-Ma,2112,1662,763,899,450,211,239,Northern Cape
203,NC072,Umsobomvu,4708,3919,1902,2017,789,451,338,Northern Cape
204,NC073,Emthanjeni,6938,5753,2907,2846,1185,640,545,Northern Cape
205,NC074,Kareeberg,1667,1296,676,620,371,205,166,Northern Cape
206,NC075,Renosterberg,1635,1389,659,730,246,116,130,Northern Cape
207,NC076,Thembelihle,2672,2039,978,1061,633,363,270,Northern Cape
208,NC078,Siyancuma,6091,4894,2433,2461,1197,655,542,Northern Cape
209,NC081,Mier,1120,887,436,451,233,123,110,Northern Cape
210,NC082,Kai !Garib,10546,8186,3888,4298,2360,1147,1213,Northern Cape
211,NC083,//Khara Hais,16268,13548,6782,6766,2720,1431,1289,Northern Cape
212,NC084,!Kheis,2446,1673,807,866,773,418,355,Northern Cape
213,NC086,Kgatelopele,3251,2838,1366,1472,413,223,190,Northern Cape
214,NC091,Sol Plaatjie,42108,37171,18603,18568,4937,2733,2204,Northern Cape
215,NC092,Dikgatlong,7848,6598,3262,3336,1250,707,543,Northern Cape
216,NC093,Magareng,4319,3788,1844,1944,531,275,256,Northern Cape
217,NC451,Joe Morolong,15974,13362,6792,6570,2612,1524,1088,Northern Cape
218,NC452,Ga-Segonyana,17468,14631,7176,7455,2837,1585,1252,Northern Cape
219,NC453,Gamagara,6589,5492,2655,2837,1097,547,550,Northern Cape
220,CPT,City of Cape Town,618278,534614,270147,264467,83664,46696,36968,Northern Cape
221,WC011,Matzikama,11141,8086,3986,4100,3055,1602,1453,Western Cape
222,WC013,Bergrivier,9188,7209,3611,3598,1979,1069,910,Western Cape
223,WC014,Saldanha Bay,16405,13576,6662,6914,2829,1498,1331,Western Cape
224,WC015,Swartland,17662,13703,6790,6913,3959,2121,1838,Western Cape
225,WC022,Witzenberg,18893,15411,7567,7844,3482,1891,1591,Western Cape
226,WC023,Drakenstein,42133,34803,17243,17560,7330,3980,3350,Western Cape
227,WC025,Breede Valley,28471,23385,11869,11516,5086,2841,2245,Western Cape
228,WC026,Langeberg,16484,12280,6106,6174,4204,2223,1981,Western Cape
229,WC031,Theewaterskloof,17822,14759,7153,7606,3063,1592,1471,Western Cape
230,WC032,Overstrand,10265,8315,4170,4145,1950,1067,883,Western Cape
231,WC034,Swellendam,5773,4690,2228,2462,1083,543,540,Western Cape
232,WC041,Kannaland,4009,2943,1435,1508,1066,562,504,Western Cape
233,WC042,Hessequa,7502,6402,3259,3143,1100,573,527,Western Cape
234,WC043,Mossel Bay,11866,9740,4920,4820,2126,1218,908,Western Cape
