,municipality,province,Black,Coloured,Indian_Asian,White,Other
107,KZN286,KwaZulu-Natal,24742,32,12,33,14
108,KZN291,KwaZulu-Natal,28575,129,436,166,37
109,KZN293,KwaZulu-Natal,29340,50,159,41,117
110,KZN294,KwaZulu-Natal,20730,24,21,19,14
111,KZN431,KwaZulu-Natal,20791,30,24,57,20
112,KZN432,KwaZulu-Natal,2207,11,4,64,3
113,KZN434,KwaZulu-Natal,20851,188,59,80,19
114,KZN435,Limpopo,39345,109,43,25,34
115,LIM331,Limpopo,57480,39,114,39,29
116,LIM332,Limpopo,49774,45,32,233,74
117,LIM333,Limpopo,81273,124,241,1190,110
118,LIM335,Limpopo,20416,49,49,334,24
119,LIM341,Limpopo,12516,30,54,357,42
120,LIM342,Limpopo,20505,28,14,67,29
121,LIM343,Limpopo,143701,101,422,88,130
122,LIM344,Limpopo,108541,193,260,1105,136
123,LIM351,Limpopo,36402,9,46,73,83
124,LIM353,Limpopo,23181,56,39,150,51
125,LIM354,Limpopo,130331,1275,752,4253,284
126,LIM355,Limpopo,47954,35,51,51,40
127,LIM361,Limpopo,11679,79,30,1593,47
128,LIM362,Limpopo,22649,192,65,1187,54
129,LIM365,Limpopo,11712,52,59,684,30
130,LIM366,Eastern Cape,10791,209,64,718,26
131,BUF,Eastern Cape,125313,8511,933,7055,573
132,EC101,Eastern Cape,2579,6118,57,499,42
133,EC105,Eastern Cape,8266,754,28,616,77
134,EC122,Eastern Cape,51613,130,72,102,50
135,EC128,Eastern Cape,3183,872,24,98,30
136,EC135,Eastern Cape,27106,99,45,38,62
137,EC144,Eastern Cape,4722,944,13,249,28
138,EC157,Eastern Cape,104254,768,310,280,165
139,NMA,Eastern Cape,136261,50240,2222,22961,2234
140,FS164,Free State,4571,75,23,106,14
141,FS191,Free State,20715,217,152,636,37
142,FS196,Free State,9011,361,55,325,42
143,MAN,Free State,130141,7653,683,13864,457
144,EKU,Gauteng,478034,16129,9898,61368,2629
145,GT422,Gauteng,10584,305,123,4807,62
146,GT484,Gauteng,30376,382,106,3091,77
147,JHB,Gauteng,654540,45820,29439,58282,4379
148,TSH,Gauteng,447047,11442,8297,81257,2771
149,ETH,KwaZulu-Natal,562900,16572,102150,26385,2715
150,KZN216,KwaZulu-Natal,45174,737,2224,2201,93
151,KZN227,KwaZulu-Natal,12484,128,130,134,23
152,KZN241,KwaZulu-Natal,11801,354,598,518,33
153,KZN253,KwaZulu-Natal,6397,77,8,165,7
154,KZN271,KwaZulu-Natal,33556,22,36,29,31
