,electricity_access,toilet_access,water_access,internet_access,wellfare_measure,mun_code,province
0,0.5265645573435008,0.5408977035511271,0.7011306692830457,0.06775584170531557,0.4590871929707473,ZA,Western Cape
1,0.5437605872388481,0.8723467684235631,0.9157747234727647,0.09015410168865923,0.6055090452059588,WC044,Western Cape
2,0.45642201834862384,0.8521117774658671,0.8598596043395023,0.07444135924897527,0.5607086898507421,WC047,Western Cape
3,0.5857247976453275,0.74797197640118,0.8067846607669616,0.08715769593956563,0.5569097826882586,WC048,Western Cape
4,0.6806790622473726,0.8354943273905997,0.97165991902834,0.018739352640545145,0.6266431653267144,WC051,Western Cape
5,0.6268922528940338,0.8371886120996441,0.956386292834891,0.03816793893129771,0.6146587741899667,WC052,Western Cape
6,0.6826760222598597,0.9359301055697125,0.9719694211867492,0.05024691358024691,0.660205615649142,WC053,Mpumalanga
7,0.25224410720051665,0.37972302403269226,0.5546330230597087,0.029386599973673818,0.30399668856664785,MP303,Mpumalanga
8,0.34662576687116564,0.8172398589065256,0.8638100837865648,0.054130418618484645,0.5204515320456852,MP311,North West
9,0.7254301832458673,0.26302837175917526,0.6507154012399237,0.05617208939248839,0.4238365114093637,MP322,North West
10,0.7186900859669738,0.5861697499533881,0.8625482945423283,0.062214176829268296,0.5574055768229895,NW373,North West
11,0.49920308141851505,0.43873675794523287,0.6550851127619175,0.036019309320460456,0.40726106536153145,NW384,Northern Cape
12,0.5296394377673661,0.920751633986928,0.9740631063004187,0.025361559421504927,0.6124539343690545,NW396,Northern Cape
13,0.8312679934910502,0.7625673812210104,0.9859613938330408,0.04335028097404335,0.6557867623797862,NC062,Northern Cape
14,0.6474565357372827,0.7749113189293776,0.9403225806451613,0.024065040650406506,0.596688868990557,NC071,Northern Cape
15,0.5432029271038559,0.7437270933182971,0.9514946418499718,0.038694773317932425,0.5692798588975143,NC077,Northern Cape
16,0.7373271889400922,0.7916217464962267,0.8473270682483438,0.059640905542544885,0.6089792273068019,NC085,Western Cape
17,0.6592081111790927,0.7435403345887711,0.8162389419287028,0.035908691834942934,0.5637240198828773,NC094,Western Cape
18,0.6708424319043788,0.8533072136436967,0.9375432127218253,0.04404242046163444,0.6264338196828838,WC012,Western Cape
19,0.7084204474179385,0.9333543240973972,0.8648492640306457,0.15960262838279718,0.6665566659821947,WC024,Western Cape
20,0.6173440719235812,0.899024024024024,0.9070771541205181,0.09019682782342825,0.628410519472888,WC033,Eastern Cape
21,0.5561082832022212,0.7818128994770482,0.8764671702498548,0.05591397849462366,0.567575582855937,WC045,Eastern Cape
22,0.5821422565999663,0.8189175518462317,0.9007247598179673,0.045361177678877096,0.5867864364857606,EC102,Eastern Cape
23,0.5500899820035993,0.8405535499398316,0.9481927710843373,0.025981873111782478,0.5912045440348878,EC103,Eastern Cape
24,0.44994292237442923,0.8008358140599954,0.8837302495992673,0.08574764650076626,0.5550641581336145,EC104,Eastern Cape
25,0.5098752598752598,0.5757418011452369,0.73771345272803,0.026203208556149733,0.4623834305761691,EC106,Eastern Cape
26,0.37230340988169797,0.7662020905923345,0.9466898954703833,0.013256897169473307,0.5246130732784722,EC107,Eastern Cape
27,0.6040365815200253,0.7446660335549224,0.8345150671055963,0.06480653811773719,0.5620060550745704,EC108,Eastern Cape
28,0.5353248693054519,0.7371257485029941,0.9076485556054483,0.038900570741964555,0.5547499360389647,EC109,Eastern Cape
29,0.1440084411213593,0.07331559960645702,0.09731078963670153,0.008674973841910016,0.08082745105160696,EC121,Eastern Cape
30,0.3322884012539185,0.28353092415369235,0.33885714285714286,0.015937453014584272,0.2426534803198345,EC123,Eastern Cape
31,0.17231997893720655,0.22245166959578208,0.4007293176925443,0.014434861552428506,0.20248395694449034,EC124,Eastern Cape
32,0.26477658957141675,0.05166542071600631,0.23876381158095872,0.017939475228434906,0.14328632427420415,EC126,Eastern Cape
33,0.2472885032537961,0.4154354040017714,0.5031403494645301,0.02084531339850489,0.29667739252965064,EC127,Eastern Cape
34,0.5636474375706952,0.8780083711196373,0.9513513513513514,0.05508861684633656,0.6120239442220051,EC131,Eastern Cape
35,0.1809236629106491,0.17384395359923724,0.5518830446527888,0.018708026862807803,0.23133967200637073,EC132,Eastern Cape
36,0.21983273596176822,0.8866602223296278,0.9576988155668359,0.025521472392638037,0.5224283115627175,EC133,Eastern Cape
37,0.2774985891268711,0.6839030955585464,0.7402024117140397,0.04555714600308302,0.43679031060063506,EC134,Eastern Cape
38,0.2322995654766976,0.15519228306799265,0.3087067861715749,0.01831765606012872,0.17862907269409847,EC136,Eastern Cape
39,0.13269507253953733,0.048512736236647494,0.05607415198527478,0.007806979170171956,0.06127223498290788,EC137,Eastern Cape
40,0.21830603214036176,0.20878436258858343,0.4325208317109259,0.022615457863831137,0.22055667107592555,EC138,Eastern Cape
41,0.11710140884363231,0.09305910794996672,0.15738210356667368,0.014640874208720869,0.0955458736422484,EC141,Eastern Cape
42,0.23472437259208584,0.1247472559214327,0.4031629116117851,0.012555364398404042,0.1937974761309269,EC142,Eastern Cape
43,0.33674090300596327,0.7816540619663332,0.8117604001463951,0.04381188118811881,0.49349181157670263,EC143,Eastern Cape
44,0.14312891113892365,0.019864778926933762,0.04531838339887875,0.011408127447009586,0.054930050227936435,EC153,Eastern Cape
45,0.11918478418203399,0.018938623754611205,0.05420479302832244,0.01105859010270775,0.05084669776691884,EC154,Eastern Cape
46,0.12291817245144325,0.01787861040041922,0.05004315393625547,0.013703089395606952,0.05113575654593122,EC155,Eastern Cape
