,geo_code,name,total,At least one employed adult,No employed adult,province
105,KZN284,uMlalazi,44637,13911,30726,KwaZulu-Natal
106,KZN285,Mthonjaneni,9565,3643,5922,KwaZulu-Natal
107,KZN286,Nkandla,23740,5070,18670,KwaZulu-Natal
108,KZN291,Mandeni,28772,15788,12984,KwaZulu-Natal
109,KZN293,Ndwedwe,28993,7507,21486,KwaZulu-Natal
110,KZN294,Maphumulo,20146,4268,15878,KwaZulu-Natal
111,KZN431,Ingwe,20463,6481,13982,KwaZulu-Natal
112,KZN432,Kwa Sani,2222,1564,658,KwaZulu-Natal
113,KZN434,Ubuhlebezwe,20621,7424,13197,KwaZulu-Natal
114,KZN435,Umzimkhulu,38205,10333,27872,Limpopo
115,LIM331,Greater Giyani,55771,17794,37977,Limpopo
116,LIM332,Greater Letaba,48175,15246,32929,Limpopo
117,LIM333,Greater Tzaneen,81069,35693,45376,Limpopo
118,LIM335,Maruleng,20194,6324,13870,Limpopo
119,LIM341,Musina,12713,8856,3857,Limpopo
120,LIM342,Mutale,19775,6535,13240,Limpopo
121,LIM343,Thulamela,137935,51674,86261,Limpopo
122,LIM344,Makhado,106471,44255,62216,Limpopo
123,LIM351,Blouberg,35143,8353,26790,Limpopo
124,LIM353,Molemole,21737,7235,14502,Limpopo
125,LIM354,Polokwane,129342,71259,58083,Limpopo
126,LIM355,Lepele-Nkumpi,46219,15363,30856,Limpopo
127,LIM361,Thabazimbi,12877,9856,3021,Limpopo
128,LIM362,Lephalale,22125,13783,8342,Limpopo
129,LIM365,Modimolle,12245,8151,4094,Limpopo
130,LIM366,Bela-Bela,11181,7944,3237,Eastern Cape
131,BUF,Buffalo City,134844,79045,55799,Eastern Cape
132,EC101,Camdeboo,8206,5625,2581,Eastern Cape
133,EC105,Ndlambe,9437,5654,3783,Eastern Cape
134,EC122,Mnquma,47063,13000,34063,Eastern Cape
135,EC128,Nxuba,3816,1977,1839,Eastern Cape
136,EC135,Intsika Yethu,25313,5677,19636,Eastern Cape
137,EC144,Gariep,5718,3465,2253,Eastern Cape
138,EC157,King Sabata Dalindyebo,98031,34969,63062,Eastern Cape
139,NMA,Nelson Mandela Bay,207454,129609,77845,Eastern Cape
140,FS164,Naledi,4691,2096,2595,Free State
141,FS191,Setsoto,20934,9924,11010,Free State
142,FS196,Mantsopa,9471,5407,4064,Free State
